['p5', '00:00:58', 'pan', 'geo-0-1', '-1', '0', 'Question']
['p5', '00:00:58', 'pan', 'geo-0-1', '0', '0', 'Question']
['p5', '00:00:59', 'pan', 'geo-0-1', '1', '0', 'Question']
['p5', '00:00:59', 'pan', 'geo-0-1', '2', '0', 'Question']
['p5', '00:00:59', 'pan', 'geo-0-1', '2', '-1', 'Question']
['p5', '00:00:59', 'pan', 'geo-0-1', '1', '0', 'Question']
['p5', '00:01:00', 'pan', 'geo-0-1', '2', '-1', 'Question']
['p5', '00:01:00', 'pan', 'geo-0-1', '1', '0', 'Question']
['p5', '00:01:00', 'pan', 'geo-0-1', '1', '-1', 'Question']
['p5', '00:01:00', 'pan', 'geo-0-1', '1', '0', 'Question']
['p5', '00:01:00', 'pan', 'geo-0-1', '2', '0', 'Question']
['p5', '00:01:00', 'pan', 'geo-0-1', '1', '0', 'Question']
['p5', '00:01:00', 'pan', 'geo-0-1', '4', '0', 'Question']
['p5', '00:01:00', 'pan', 'geo-0-1', '1', '0', 'Question']
['p5', '00:01:00', 'pan', 'geo-0-1', '2', '0', 'Question']
['p5', '00:01:00', 'pan', 'geo-0-1', '1', '0', 'Question']
['p5', '00:01:00', 'pan', 'geo-0-1', '2', '0', 'Question']
['p5', '00:01:00', 'pan', 'geo-0-1', '3', '0', 'Question']
['p5', '00:01:00', 'pan', 'geo-0-1', '1', '0', 'Question']
['p5', '00:01:00', 'pan', 'geo-0-1', '2', '2', 'Question']
['p5', '00:01:01', 'pan', 'geo-0-1', '0', '0', 'Question']
['p5', '00:01:01', 'pan', 'geo-0-1', '3', '0', 'Question']
['p5', '00:01:01', 'pan', 'geo-0-1', '2', '1', 'Question']
['p5', '00:01:01', 'pan', 'geo-0-1', '3', '0', 'Question']
['p5', '00:01:01', 'pan', 'geo-0-1', '2', '1', 'Question']
['p5', '00:01:01', 'pan', 'geo-0-1', '3', '0', 'Question']
['p5', '00:01:01', 'pan', 'geo-0-1', '2', '1', 'Question']
['p5', '00:01:01', 'pan', 'geo-0-1', '3', '0', 'Question']
['p5', '00:01:01', 'pan', 'geo-0-1', '12', '2', 'Question']
['p5', '00:01:01', 'pan', 'geo-0-1', '5', '1', 'Question']
['p5', '00:01:01', 'pan', 'geo-0-1', '5', '0', 'Question']
['p5', '00:01:01', 'pan', 'geo-0-1', '4', '1', 'Question']
['p5', '00:01:01', 'pan', 'geo-0-1', '10', '2', 'Question']
['p5', '00:01:01', 'pan', 'geo-0-1', '4', '1', 'Question']
