17:37, range select, geo-0-1
17:42, pan, geo-0-1
17:42, zoom, geo-0-1
17:42, pan, geo-0-1
17:43, zoom, geo-0-1
17:43, pan, geo-0-1
17:43, zoom, geo-0-1
17:43, pan, geo-0-1
17:51, range select, hist-2
17:53, brush, hist-2
18:00, brush, bar-5
18:01, pan, geo-0-1
18:01, brush, hist-2
18:31, brush, hist-3
18:47, brush, hist-2
18:51, pan, geo-0-1
18:53, zoom, geo-0-1
18:53, pan, geo-0-1
18:54, zoom, geo-0-1
18:54, pan, geo-0-1
18:56, brush, hist-2
20:01, pan, geo-0-1
20:01, zoom, geo-0-1
20:01, pan, geo-0-1
20:01, brush, hist-3
20:05, brush, hist-4
20:10, brush, bar-5
20:35, pan, geo-0-1
20:35, zoom, geo-0-1
20:35, pan, geo-0-1
20:51, zoom, geo-0-1
20:51, pan, geo-0-1
22:08, zoom, geo-0-1
22:08, pan, geo-0-1
22:09, zoom, geo-0-1
22:09, pan, geo-0-1
22:19, zoom, geo-0-1
22:19, pan, geo-0-1
22:20, zoom, geo-0-1
22:20, pan, geo-0-1
22:21, zoom, geo-0-1
22:21, pan, geo-0-1
22:22, zoom, geo-0-1
22:22, pan, geo-0-1
22:27, brush, hist-3
22:27, brush, hist-4
22:28, brush, bar-5
22:44, brush, hist-3
22:51, brush, hist-4
22:51, brush, hist-3
