['p4', '00:38:47', 'brush', 'hist-2', '2-12-12-0_', 'Question']
['p4', '00:38:47', 'brush', 'hist-2', '2-11-11-0_', 'Question']
['p4', '00:38:47', 'brush', 'hist-2', '2-10-10-0_', 'Question']
['p4', '00:38:47', 'brush', 'hist-2', '2-9-9-0_', 'Question']
['p4', '00:38:47', 'brush', 'hist-2', '2-8-8-0_', 'Question']
['p4', '00:38:47', 'brush', 'hist-2', '2-7-7-0_', 'Question']
['p4', '00:38:47', 'brush', 'hist-2', '2-6-6-0_', 'Question']
['p4', '00:38:48', 'brush', 'hist-2', '2-5-5-0_', 'Question']
['p4', '00:38:48', 'brush', 'hist-2', '2-4-4-0_', 'Question']
['p4', '00:38:48', 'brush', 'hist-2', '2-3-3-0_', 'Question']
['p4', '00:38:48', 'brush', 'hist-2', '2-2-2-0_', 'Question']
['p4', '00:38:48', 'brush', 'hist-2', '2-1-1-0_', 'Question']
['p4', '00:38:48', 'brush', 'hist-2', '2-0-0-0_', 'Question']
['p4', '00:38:48', 'brush', 'hist-2', '2-1-1-0_', 'Question']
['p4', '00:38:48', 'brush', 'hist-2', '2-2-2-0_', 'Question']
['p4', '00:38:48', 'brush', 'hist-2', '2-3-3-0_', 'Question']
['p4', '00:38:48', 'brush', 'hist-2', '2-4-4-0_', 'Question']
['p4', '00:38:48', 'brush', 'hist-2', '2-5-5-0_', 'Question']
['p4', '00:38:48', 'brush', 'hist-2', '2-6-6-0_', 'Question']
['p4', '00:38:49', 'brush', 'hist-2', '2-7-7-0_', 'Question']
['p4', '00:38:49', 'brush', 'hist-2', '2-8-8-0_', 'Question']
['p4', '00:38:49', 'brush', 'hist-2', '2-9-9-0_', 'Question']
['p4', '00:38:49', 'brush', 'hist-2', '2-10-10-0_', 'Question']
['p4', '00:38:49', 'brush', 'hist-2', '2-11-11-0_', 'Question']
['p4', '00:38:49', 'brush', 'hist-2', '2-10-10-0_', 'Question']
['p4', '00:38:49', 'brush', 'hist-2', '2-9-9-0_', 'Question']
['p4', '00:38:49', 'brush', 'hist-2', '2-8-8-0_', 'Question']
['p4', '00:38:49', 'brush', 'hist-2', '2-7-7-0_', 'Question']
['p4', '00:38:49', 'brush', 'hist-2', '2-6-6-0_', 'Question']
['p4', '00:38:49', 'brush', 'hist-2', '2-5-5-0_', 'Question']
['p4', '00:38:49', 'brush', 'hist-2', '2-4-4-0_', 'Question']
['p4', '00:38:49', 'brush', 'hist-2', '2-3-3-0_', 'Question']
['p4', '00:38:49', 'brush', 'hist-2', '2-2-2-0_', 'Question']
['p4', '00:38:49', 'brush', 'hist-2', '2-1-1-0_', 'Question']
['p4', '00:38:49', 'brush', 'hist-2', '2-0-0-0_', 'Question']
['p4', '00:38:49', 'clear', 'undefined', 'undefined', 'Question']
['p4', '00:38:49', 'brush', 'hist-2', '2-0-0-0_', 'Question']
['p4', '00:38:49', 'brush', 'hist-2', '2-1-1-0_', 'Question']
['p4', '00:38:49', 'brush', 'hist-2', '2-2-2-0_', 'Question']
['p4', '00:38:49', 'brush', 'hist-2', '2-3-3-0_', 'Question']
['p4', '00:38:50', 'brush', 'hist-2', '2-4-4-0_', 'Question']
['p4', '00:38:50', 'brush', 'hist-2', '2-5-5-0_', 'Question']
['p4', '00:38:50', 'brush', 'hist-2', '2-6-6-0_', 'Question']
['p4', '00:38:50', 'brush', 'hist-2', '2-7-7-0_', 'Question']
['p4', '00:38:50', 'brush', 'hist-2', '2-8-8-0_', 'Question']
['p4', '00:38:50', 'brush', 'hist-2', '2-9-9-0_', 'Question']
['p4', '00:38:50', 'brush', 'hist-2', '2-10-10-0_', 'Question']
['p4', '00:38:50', 'brush', 'hist-2', '2-11-11-0_', 'Question']
['p4', '00:38:50', 'clear', 'undefined', 'undefined', 'Question']
['p4', '00:38:50', 'brush', 'hist-3', '3-0-0-0_', 'Question']
['p4', '00:38:50', 'brush', 'hist-3', '3-1-1-0_', 'Question']
['p4', '00:38:50', 'brush', 'hist-3', '3-2-2-0_', 'Question']
['p4', '00:38:50', 'brush', 'hist-3', '3-3-3-0_', 'Question']
['p4', '00:38:50', 'brush', 'hist-3', '3-4-4-0_', 'Question']
['p4', '00:38:50', 'brush', 'hist-3', '3-5-5-0_', 'Question']
['p4', '00:38:50', 'brush', 'hist-3', '3-6-6-0_', 'Question']
['p4', '00:38:51', 'brush', 'hist-3', '3-5-5-0_', 'Question']
['p4', '00:38:51', 'brush', 'hist-3', '3-4-4-0_', 'Question']
['p4', '00:38:51', 'brush', 'hist-3', '3-3-3-0_', 'Question']
['p4', '00:38:51', 'brush', 'hist-3', '3-2-2-0_', 'Question']
['p4', '00:38:51', 'brush', 'hist-3', '3-1-1-0_', 'Question']
['p4', '00:38:51', 'brush', 'hist-3', '3-0-0-0_', 'Question']
['p4', '00:38:51', 'clear', 'undefined', 'undefined', 'Question']
['p4', '00:38:51', 'brush', 'hist-3', '3-0-0-0_', 'Question']
['p4', '00:38:51', 'brush', 'hist-3', '3-1-1-0_', 'Question']
['p4', '00:38:51', 'brush', 'hist-3', '3-2-2-0_', 'Question']
['p4', '00:38:51', 'brush', 'hist-3', '3-3-3-0_', 'Question']
['p4', '00:38:51', 'brush', 'hist-3', '3-4-4-0_', 'Question']
['p4', '00:38:51', 'brush', 'hist-3', '3-5-5-0_', 'Question']
['p4', '00:38:51', 'brush', 'hist-3', '3-6-6-0_', 'Question']
['p4', '00:38:51', 'brush', 'hist-3', '3-7-7-0_', 'Question']
['p4', '00:38:51', 'brush', 'hist-3', '3-8-8-0_', 'Question']
['p4', '00:38:51', 'brush', 'hist-3', '3-9-9-0_', 'Question']
['p4', '00:38:51', 'brush', 'hist-3', '3-10-10-0_', 'Question']
['p4', '00:38:51', 'brush', 'hist-3', '3-11-11-0_', 'Question']
['p4', '00:38:51', 'brush', 'hist-3', '3-12-12-0_', 'Question']
['p4', '00:38:51', 'brush', 'hist-3', '3-13-13-0_', 'Question']
['p4', '00:38:51', 'brush', 'hist-3', '3-14-14-0_', 'Question']
['p4', '00:38:52', 'brush', 'hist-3', '3-13-13-0_', 'Question']
['p4', '00:38:52', 'brush', 'hist-3', '3-12-12-0_', 'Question']
['p4', '00:38:52', 'brush', 'hist-3', '3-13-13-0_', 'Question']
['p4', '00:38:52', 'brush', 'hist-3', '3-15-15-0_', 'Question']
['p4', '00:38:52', 'clear', 'undefined', 'undefined', 'Question']
['p4', '00:38:52', 'brush', 'bar-5', '5-8-8-1_', 'Question']
['p4', '00:38:52', 'brush', 'bar-5', '5-7-7-1_', 'Question']
['p4', '00:38:52', 'clear', 'undefined', 'undefined', 'Question']
['p4', '00:38:53', 'pan', 'geo-0-1', '-505', '-443', 'Question']
['p4', '00:38:53', 'zoom', 'geo-0-1', '3', 'Question']
['p4', '00:38:53', 'pan', 'geo-0-1', '0', '0', 'Question']
['p4', '00:38:53', 'pan', 'geo-0-1', '-253', '-221', 'Question']
