['p4', '00:22:45', 'pan', 'geo-0-1', '10', '0', 'Exploration']
['p4', '00:22:45', 'pan', 'geo-0-1', '31', '0', 'Exploration']
['p4', '00:22:45', 'pan', 'geo-0-1', '17', '0', 'Exploration']
['p4', '00:22:45', 'pan', 'geo-0-1', '19', '0', 'Exploration']
['p4', '00:22:45', 'pan', 'geo-0-1', '19', '1', 'Exploration']
['p4', '00:22:45', 'pan', 'geo-0-1', '16', '0', 'Exploration']
['p4', '00:22:45', 'pan', 'geo-0-1', '-476', '0', 'Exploration']
['p4', '00:22:45', 'pan', 'geo-0-1', '9', '1', 'Exploration']
['p4', '00:22:45', 'pan', 'geo-0-1', '6', '0', 'Exploration']
['p4', '00:22:45', 'pan', 'geo-0-1', '3', '0', 'Exploration']
['p4', '00:22:45', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p4', '00:22:46', 'pan', 'geo-0-1', '1', '1', 'Exploration']
['p4', '00:22:46', 'pan', 'geo-0-1', '1', '2', 'Exploration']
['p4', '00:22:46', 'pan', 'geo-0-1', '3', '2', 'Exploration']
['p4', '00:22:46', 'pan', 'geo-0-1', '2', '2', 'Exploration']
['p4', '00:22:46', 'pan', 'geo-0-1', '1', '1', 'Exploration']
['p4', '00:22:46', 'pan', 'geo-0-1', '0', '2', 'Exploration']
['p4', '00:22:46', 'pan', 'geo-0-1', '1', '1', 'Exploration']
['p4', '00:22:46', 'pan', 'geo-0-1', '0', '1', 'Exploration']
['p4', '00:22:46', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p4', '00:22:46', 'pan', 'geo-0-1', '0', '1', 'Exploration']
['p4', '00:22:46', 'pan', 'geo-0-1', '-1', '0', 'Exploration']
['p4', '00:22:47', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p4', '00:22:47', 'pan', 'geo-0-1', '-1', '4', 'Exploration']
['p4', '00:22:47', 'pan', 'geo-0-1', '-2', '2', 'Exploration']
['p4', '00:22:47', 'pan', 'geo-0-1', '-3', '3', 'Exploration']
['p4', '00:22:47', 'pan', 'geo-0-1', '-2', '1', 'Exploration']
['p4', '00:22:47', 'pan', 'geo-0-1', '-3', '1', 'Exploration']
['p4', '00:22:47', 'pan', 'geo-0-1', '-1', '0', 'Exploration']
['p4', '00:22:47', 'pan', 'geo-0-1', '-2', '0', 'Exploration']
