no, time, user, action, count_cum_action, fre_cum_action
0,00:27:25,p12,pan,209,0.02968
1,00:27:25,p12,zoom,1,0.00014
2,00:27:31,p12,pan,44,0.00625
3,00:27:31,p12,clear,1,0.00014
4,00:27:31,p12,pan,1,0.00014
5,00:27:32,p12,clear,1,0.00014
6,00:27:36,p12,pan,8,0.00114
7,00:27:36,p12,zoom,1,0.00014
8,00:27:37,p12,pan,5,0.00071
9,00:27:37,p12,clear,1,0.00014
10,00:27:37,p12,pan,1,0.00014
11,00:27:37,p12,clear,1,0.00014
12,00:27:53,p12,pan,76,0.01079
13,00:27:53,p12,zoom,1,0.00014
14,00:27:54,p12,pan,5,0.00071
15,00:27:55,p12,clear,1,0.00014
16,00:27:55,p12,pan,1,0.00014
17,00:27:55,p12,zoom,1,0.00014
18,00:27:59,p12,pan,44,0.00625
19,00:27:59,p12,clear,1,0.00014
20,00:27:59,p12,brush,1,0.00014
21,00:27:59,p12,clear,1,0.00014
22,00:28:01,p12,brush,7,0.00099
23,00:28:01,p12,clear,1,0.00014
24,00:28:01,p12,brush,3,0.00043
25,00:28:01,p12,clear,1,0.00014
26,00:28:27,p12,brush,68,0.00966
27,00:28:28,p12,clear,1,0.00014
28,00:28:30,p12,brush,24,0.00341
29,00:28:31,p12,clear,1,0.00014
30,00:28:36,p12,brush,24,0.00341
31,00:28:37,p12,clear,1,0.00014
32,00:28:43,p12,brush,50,0.00710
33,00:28:43,p12,clear,1,0.00014
34,00:28:43,p12,brush,7,0.00099
35,00:28:44,p12,clear,1,0.00014
36,00:28:46,p12,brush,26,0.00369
37,00:28:46,p12,clear,1,0.00014
38,00:28:46,p12,brush,2,0.00028
39,00:28:47,p12,clear,1,0.00014
40,00:28:51,p12,brush,63,0.00895
41,00:28:51,p12,clear,1,0.00014
42,00:28:55,p12,brush,12,0.00170
43,00:28:55,p12,clear,1,0.00014
44,00:28:56,p12,brush,10,0.00142
45,00:28:56,p12,clear,1,0.00014
46,00:28:57,p12,brush,11,0.00156
47,00:28:57,p12,clear,1,0.00014
48,00:29:11,p12,brush,29,0.00412
49,00:29:37,p12,range select,19,0.00270
50,00:29:40,p12,clear,1,0.00014
51,00:30:11,p12,pan,332,0.04715
52,00:30:11,p12,zoom,1,0.00014
53,00:30:12,p12,pan,1,0.00014
54,00:30:13,p12,clear,1,0.00014
55,00:30:13,p12,pan,1,0.00014
56,00:30:13,p12,zoom,1,0.00014
57,00:30:20,p12,pan,28,0.00398
58,00:30:20,p12,zoom,1,0.00014
59,00:30:21,p12,pan,1,0.00014
60,00:30:21,p12,zoom,1,0.00014
61,00:30:28,p12,pan,15,0.00213
62,00:30:28,p12,zoom,1,0.00014
63,00:30:31,p12,pan,7,0.00099
64,00:30:31,p12,zoom,1,0.00014
65,00:30:34,p12,pan,12,0.00170
66,00:30:34,p12,zoom,1,0.00014
67,00:30:38,p12,pan,13,0.00185
68,00:30:38,p12,zoom,1,0.00014
