no, time, user, action, count_cum_action, fre_cum_action
0, 00:00:00, p5, clear, 1, 0.00051
1, 00:00:01, p5, brush, 2, 0.00102
2, 00:00:32, p5, range select, 2, 0.00102
3, 00:00:53, p5, pan, 41, 0.02088
4, 00:00:53, p5, clear, 1, 0.00051
5, 00:00:54, p5, brush, 2, 0.00102
6, 00:00:57, p5, range select, 1, 0.00051
7, 00:01:29, p5, pan, 267, 0.13595
8, 00:01:52, p5, range select, 5, 0.00255
9, 00:02:20, p5, pan, 131, 0.06670
10, 00:02:55, p5, range select, 9, 0.00458
11, 00:03:02, p5, pan, 26, 0.01324
12, 00:03:27, p5, range select, 8, 0.00407
13, 00:03:29, p5, clear, 1, 0.00051
14, 00:03:31, p5, brush, 2, 0.00102
15, 00:03:32, p5, range select, 1, 0.00051
16, 00:03:42, p5, clear, 1, 0.00051
17, 00:03:56, p5, brush, 23, 0.01171
18, 00:04:32, p5, range select, 6, 0.00305
19, 00:04:43, p5, clear, 1, 0.00051
20, 00:05:02, p5, pan, 188, 0.09572
21, 00:05:02, p5, clear, 1, 0.00051
22, 00:05:03, p5, pan, 26, 0.01324
23, 00:05:04, p5, clear, 1, 0.00051
24, 00:05:15, p5, pan, 90, 0.04582
25, 00:05:15, p5, zoom, 1, 0.00051
26, 00:05:17, p5, pan, 1, 0.00051
27, 00:05:17, p5, zoom, 1, 0.00051
28, 00:05:36, p5, pan, 40, 0.02037
29, 00:05:36, p5, zoom, 1, 0.00051
30, 00:05:38, p5, pan, 1, 0.00051
31, 00:05:39, p5, clear, 1, 0.00051
32, 00:05:39, p5, pan, 1, 0.00051
33, 00:05:39, p5, zoom, 1, 0.00051
34, 00:05:41, p5, pan, 1, 0.00051
35, 00:05:41, p5, zoom, 1, 0.00051
36, 00:05:42, p5, pan, 1, 0.00051
37, 00:05:42, p5, zoom, 1, 0.00051
38, 00:05:46, p5, pan, 1, 0.00051
39, 00:05:46, p5, zoom, 1, 0.00051
40, 00:05:48, p5, pan, 1, 0.00051
41, 00:05:48, p5, zoom, 1, 0.00051
42, 00:05:49, p5, pan, 1, 0.00051
43, 00:05:49, p5, zoom, 1, 0.00051
44, 00:05:51, p5, pan, 1, 0.00051
45, 00:05:51, p5, zoom, 1, 0.00051
46, 00:05:52, p5, pan, 1, 0.00051
47, 00:05:52, p5, zoom, 1, 0.00051
48, 00:05:52, p5, pan, 1, 0.00051
49, 00:05:52, p5, zoom, 1, 0.00051
50, 00:05:58, p5, pan, 37, 0.01884
51, 00:05:58, p5, zoom, 1, 0.00051
52, 00:05:59, p5, pan, 1, 0.00051
53, 00:05:59, p5, zoom, 1, 0.00051
54, 00:06:01, p5, pan, 1, 0.00051
55, 00:06:01, p5, zoom, 1, 0.00051
56, 00:06:08, p5, pan, 14, 0.00713
57, 00:06:08, p5, zoom, 1, 0.00051
58, 00:06:25, p5, pan, 20, 0.01018
59, 00:06:25, p5, zoom, 1, 0.00051
60, 00:06:28, p5, pan, 1, 0.00051
61, 00:06:28, p5, zoom, 1, 0.00051
62, 00:06:30, p5, pan, 1, 0.00051
63, 00:06:30, p5, zoom, 1, 0.00051
64, 00:06:30, p5, pan, 1, 0.00051
