no, time, user, action, count_cum_action, fre_cum_action
0, 00:24:19, p4, pan, 189, 0.02504
1, 00:24:23, p4, clear, 1, 0.00013
2, 00:24:23, p4, pan, 1, 0.00013
3, 00:24:23, p4, zoom, 1, 0.00013
4, 00:24:27, p4, pan, 10, 0.00133
5, 00:24:27, p4, zoom, 1, 0.00013
6, 00:24:36, p4, pan, 7, 0.00093
7, 00:24:36, p4, zoom, 1, 0.00013
8, 00:25:07, p4, pan, 355, 0.04704
9, 00:25:07, p4, zoom, 1, 0.00013
10, 00:25:11, p4, pan, 1, 0.00013
11, 00:25:46, p4, range select, 2, 0.00027
12, 00:25:49, p4, clear, 1, 0.00013
13, 00:25:59, p4, range select, 8, 0.00106
14, 00:26:25, p4, pan, 1, 0.00013
15, 00:26:25, p4, zoom, 1, 0.00013
16, 00:26:27, p4, pan, 9, 0.00119
17, 00:26:46, p4, range select, 204, 0.02703
18, 00:26:48, p4, pan, 6, 0.00080
19, 00:27:02, p4, range select, 14, 0.00186
20, 00:27:04, p4, pan, 12, 0.00159
21, 00:27:12, p4, range select, 14, 0.00186
22, 00:27:12, p4, pan, 1, 0.00013
23, 00:27:12, p4, zoom, 1, 0.00013
24, 00:27:15, p4, pan, 1, 0.00013
25, 00:27:15, p4, zoom, 1, 0.00013
26, 00:27:25, p4, pan, 1, 0.00013
27, 00:27:38, p4, range select, 19, 0.00252
28, 00:27:42, p4, pan, 58, 0.00769
29, 00:28:20, p4, range select, 24, 0.00318
30, 00:28:20, p4, clear, 1, 0.00013
31, 00:28:25, p4, brush, 2, 0.00027
32, 00:28:25, p4, clear, 1, 0.00013
33, 00:28:25, p4, brush, 6, 0.00080
34, 00:28:26, p4, clear, 1, 0.00013
35, 00:28:26, p4, brush, 8, 0.00106
36, 00:28:26, p4, clear, 1, 0.00013
37, 00:28:26, p4, brush, 3, 0.00040
38, 00:28:26, p4, clear, 1, 0.00013
39, 00:28:26, p4, brush, 3, 0.00040
40, 00:28:29, p4, clear, 1, 0.00013
41, 00:29:00, p4, range select, 88, 0.01166
42, 00:29:00, p4, pan, 1, 0.00013
43, 00:29:00, p4, zoom, 1, 0.00013
44, 00:29:04, p4, pan, 38, 0.00504
45, 00:29:15, p4, range select, 32, 0.00424
46, 00:29:16, p4, clear, 1, 0.00013
47, 00:29:17, p4, brush, 1, 0.00013
48, 00:29:36, p4, range select, 68, 0.00901
49, 00:29:37, p4, clear, 1, 0.00013
50, 00:29:43, p4, range select, 17, 0.00225
51, 00:29:45, p4, clear, 1, 0.00013
52, 00:29:48, p4, range select, 22, 0.00292
53, 00:29:48, p4, clear, 1, 0.00013
54, 00:29:49, p4, brush, 2, 0.00027
55, 00:29:53, p4, clear, 1, 0.00013
56, 00:29:53, p4, pan, 1, 0.00013
57, 00:29:53, p4, zoom, 1, 0.00013
58, 00:29:55, p4, pan, 1, 0.00013
59, 00:29:55, p4, zoom, 1, 0.00013
60, 00:29:56, p4, pan, 1, 0.00013
61, 00:29:56, p4, zoom, 1, 0.00013
62, 00:29:59, p4, pan, 3, 0.00040
63, 00:29:59, p4, zoom, 1, 0.00013
64, 00:30:00, p4, pan, 1, 0.00013
65, 00:30:00, p4, zoom, 1, 0.00013
66, 00:30:08, p4, pan, 37, 0.00490
67, 00:30:43, p4, range select, 146, 0.01935
68, 00:30:43, p4, pan, 1, 0.00013
69, 00:30:43, p4, zoom, 1, 0.00013
70, 00:30:44, p4, pan, 1, 0.00013
71, 00:30:44, p4, zoom, 1, 0.00013
72, 00:30:46, p4, pan, 21, 0.00278
73, 00:30:46, p4, zoom, 1, 0.00013
74, 00:30:48, p4, pan, 1, 0.00013
75, 00:30:48, p4, zoom, 1, 0.00013
76, 00:30:51, p4, pan, 1, 0.00013
77, 00:30:58, p4, range select, 20, 0.00265
78, 00:30:58, p4, pan, 1, 0.00013
79, 00:30:58, p4, zoom, 1, 0.00013
80, 00:30:58, p4, pan, 1, 0.00013
81, 00:30:58, p4, zoom, 1, 0.00013
82, 00:30:59, p4, pan, 1, 0.00013
83, 00:30:59, p4, zoom, 1, 0.00013
84, 00:31:00, p4, pan, 1, 0.00013
85, 00:31:00, p4, zoom, 1, 0.00013
86, 00:31:03, p4, pan, 33, 0.00437
87, 00:31:03, p4, zoom, 1, 0.00013
88, 00:31:03, p4, pan, 1, 0.00013
89, 00:31:03, p4, zoom, 1, 0.00013
90, 00:31:05, p4, pan, 1, 0.00013
91, 00:31:05, p4, zoom, 1, 0.00013
92, 00:31:06, p4, pan, 1, 0.00013
93, 00:31:06, p4, zoom, 1, 0.00013
94, 00:31:11, p4, pan, 4, 0.00053
95, 00:31:34, p4, range select, 15, 0.00199
96, 00:31:34, p4, pan, 1, 0.00013
97, 00:31:34, p4, zoom, 1, 0.00013
98, 00:31:35, p4, pan, 1, 0.00013
99, 00:31:35, p4, zoom, 1, 0.00013
100, 00:31:36, p4, pan, 1, 0.00013
101, 00:31:36, p4, zoom, 1, 0.00013
102, 00:31:36, p4, pan, 1, 0.00013
103, 00:31:36, p4, zoom, 1, 0.00013
104, 00:31:37, p4, pan, 1, 0.00013
105, 00:31:37, p4, zoom, 1, 0.00013
106, 00:31:38, p4, pan, 1, 0.00013
107, 00:31:38, p4, zoom, 1, 0.00013
108, 00:31:38, p4, pan, 1, 0.00013
109, 00:31:38, p4, zoom, 1, 0.00013
110, 00:31:40, p4, pan, 1, 0.00013
111, 00:31:40, p4, zoom, 1, 0.00013
112, 00:31:40, p4, pan, 1, 0.00013
113, 00:31:40, p4, zoom, 1, 0.00013
114, 00:31:41, p4, pan, 1, 0.00013
115, 00:31:41, p4, zoom, 1, 0.00013
116, 00:31:42, p4, pan, 1, 0.00013
117, 00:31:42, p4, zoom, 1, 0.00013
118, 00:31:44, p4, pan, 14, 0.00186
119, 00:31:44, p4, zoom, 1, 0.00013
120, 00:31:45, p4, pan, 1, 0.00013
121, 00:31:45, p4, zoom, 1, 0.00013
122, 00:31:46, p4, pan, 1, 0.00013
123, 00:31:46, p4, zoom, 1, 0.00013
124, 00:31:56, p4, pan, 33, 0.00437
125, 00:32:13, p4, range select, 38, 0.00504
126, 00:32:15, p4, clear, 1, 0.00013
127, 00:32:15, p4, brush, 1, 0.00013
128, 00:32:21, p4, clear, 1, 0.00013
129, 00:32:21, p4, pan, 1, 0.00013
130, 00:32:21, p4, zoom, 1, 0.00013
131, 00:32:22, p4, pan, 1, 0.00013
132, 00:32:22, p4, zoom, 1, 0.00013
133, 00:32:25, p4, pan, 1, 0.00013
134, 00:32:45, p4, range select, 121, 0.01603
135, 00:32:49, p4, clear, 1, 0.00013
136, 00:32:49, p4, pan, 1, 0.00013
137, 00:32:49, p4, zoom, 1, 0.00013
138, 00:32:49, p4, pan, 1, 0.00013
139, 00:32:49, p4, zoom, 1, 0.00013
140, 00:32:50, p4, pan, 1, 0.00013
141, 00:32:50, p4, zoom, 1, 0.00013
142, 00:32:51, p4, pan, 1, 0.00013
143, 00:32:51, p4, zoom, 1, 0.00013
144, 00:32:51, p4, pan, 1, 0.00013
145, 00:32:51, p4, zoom, 1, 0.00013
146, 00:32:52, p4, pan, 1, 0.00013
147, 00:32:52, p4, zoom, 1, 0.00013
148, 00:32:53, p4, pan, 1, 0.00013
149, 00:32:53, p4, zoom, 1, 0.00013
150, 00:32:55, p4, pan, 1, 0.00013
151, 00:33:22, p4, range select, 93, 0.01232
152, 00:33:35, p4, pan, 32, 0.00424
153, 00:33:39, p4, range select, 2, 0.00027
154, 00:33:44, p4, pan, 44, 0.00583
155, 00:33:47, p4, range select, 1, 0.00013
156, 00:33:47, p4, pan, 1, 0.00013
157, 00:33:48, p4, zoom, 1, 0.00013
158, 00:33:49, p4, pan, 1, 0.00013
159, 00:33:49, p4, zoom, 1, 0.00013
160, 00:33:53, p4, pan, 20, 0.00265
161, 00:33:56, p4, range select, 15, 0.00199
162, 00:33:56, p4, clear, 1, 0.00013
163, 00:33:57, p4, brush, 3, 0.00040
164, 00:34:11, p4, range select, 8, 0.00106
165, 00:34:11, p4, pan, 1, 0.00013
166, 00:34:11, p4, zoom, 1, 0.00013
167, 00:34:11, p4, pan, 1, 0.00013
168, 00:34:11, p4, zoom, 1, 0.00013
169, 00:34:13, p4, pan, 1, 0.00013
170, 00:34:21, p4, range select, 3, 0.00040
171, 00:34:24, p4, clear, 1, 0.00013
172, 00:34:31, p4, brush, 68, 0.00901
173, 00:34:32, p4, clear, 1, 0.00013
174, 00:34:33, p4, brush, 12, 0.00159
175, 00:34:33, p4, clear, 1, 0.00013
176, 00:34:34, p4, brush, 5, 0.00066
177, 00:34:35, p4, clear, 1, 0.00013
178, 00:34:36, p4, brush, 1, 0.00013
179, 00:34:37, p4, clear, 1, 0.00013
180, 00:34:45, p4, brush, 22, 0.00292
181, 00:34:46, p4, range select, 1, 0.00013
182, 00:34:47, p4, pan, 1, 0.00013
183, 00:34:47, p4, zoom, 1, 0.00013
184, 00:34:48, p4, pan, 1, 0.00013
185, 00:34:48, p4, zoom, 1, 0.00013
186, 00:34:50, p4, pan, 1, 0.00013
187, 00:34:50, p4, zoom, 1, 0.00013
188, 00:35:00, p4, pan, 15, 0.00199
189, 00:35:00, p4, zoom, 1, 0.00013
190, 00:35:02, p4, pan, 1, 0.00013
191, 00:35:02, p4, zoom, 1, 0.00013
192, 00:35:03, p4, pan, 1, 0.00013
193, 00:35:03, p4, zoom, 1, 0.00013
194, 00:35:05, p4, pan, 1, 0.00013
195, 00:35:05, p4, zoom, 1, 0.00013
196, 00:35:06, p4, pan, 1, 0.00013
197, 00:35:06, p4, zoom, 1, 0.00013
198, 00:35:10, p4, pan, 1, 0.00013
199, 00:35:33, p4, range select, 121, 0.01603
200, 00:35:34, p4, pan, 1, 0.00013
201, 00:36:11, p4, range select, 119, 0.01577
202, 00:36:11, p4, pan, 1, 0.00013
203, 00:36:11, p4, zoom, 1, 0.00013
204, 00:36:15, p4, pan, 14, 0.00186
205, 00:36:22, p4, range select, 4, 0.00053
