no, time, user, action, count_cum_action, fre_cum_action
132, 00:50:21, p8, clear, 1, 0.00044
133, 00:50:21, p8, pan, 11, 0.00483
134, 00:50:21, p8, brush, 1, 0.00044
135, 00:50:21, p8, pan, 1, 0.00044
136, 00:50:21, p8, brush, 1, 0.00044
137, 00:50:21, p8, pan, 1, 0.00044
138, 00:50:21, p8, brush, 1, 0.00044
139, 00:50:21, p8, pan, 1, 0.00044
140, 00:50:21, p8, clear, 1, 0.00044
141, 00:50:21, p8, pan, 1, 0.00044
142, 00:50:21, p8, clear, 1, 0.00044
143, 00:50:22, p8, pan, 3, 0.00132
144, 00:50:22, p8, clear, 1, 0.00044
145, 00:50:22, p8, brush, 1, 0.00044
146, 00:50:22, p8, pan, 9, 0.00395
147, 00:50:22, p8, brush, 1, 0.00044
148, 00:50:22, p8, pan, 1, 0.00044
149, 00:50:22, p8, brush, 1, 0.00044
150, 00:50:22, p8, pan, 1, 0.00044
151, 00:50:22, p8, brush, 1, 0.00044
152, 00:50:22, p8, pan, 1, 0.00044
153, 00:50:22, p8, brush, 1, 0.00044
154, 00:50:22, p8, pan, 1, 0.00044
155, 00:50:22, p8, brush, 1, 0.00044
156, 00:50:22, p8, pan, 1, 0.00044
157, 00:50:22, p8, brush, 1, 0.00044
158, 00:50:22, p8, pan, 1, 0.00044
159, 00:50:23, p8, brush, 2, 0.00088
160, 00:50:23, p8, pan, 14, 0.00615
161, 00:50:23, p8, brush, 1, 0.00044
162, 00:50:23, p8, pan, 1, 0.00044
163, 00:50:23, p8, brush, 1, 0.00044
164, 00:50:23, p8, pan, 1, 0.00044
165, 00:50:23, p8, brush, 1, 0.00044
166, 00:50:23, p8, pan, 1, 0.00044
167, 00:50:23, p8, brush, 1, 0.00044
168, 00:50:23, p8, pan, 1, 0.00044
169, 00:50:23, p8, brush, 1, 0.00044
170, 00:50:23, p8, pan, 1, 0.00044
171, 00:50:23, p8, brush, 1, 0.00044
172, 00:50:23, p8, pan, 1, 0.00044
173, 00:50:23, p8, brush, 1, 0.00044
174, 00:50:23, p8, pan, 1, 0.00044
175, 00:50:23, p8, brush, 1, 0.00044
176, 00:50:23, p8, pan, 1, 0.00044
177, 00:50:23, p8, brush, 1, 0.00044
178, 00:50:23, p8, pan, 1, 0.00044
179, 00:50:23, p8, brush, 1, 0.00044
180, 00:50:25, p8, clear, 1, 0.00044
181, 00:50:30, p8, pan, 111, 0.04875
182, 00:50:30, p8, brush, 2, 0.00088
183, 00:50:32, p8, clear, 1, 0.00044
184, 00:50:38, p8, brush, 11, 0.00483
185, 00:50:39, p8, clear, 1, 0.00044
186, 00:50:46, p8, brush, 12, 0.00527
187, 00:50:47, p8, clear, 1, 0.00044
188, 00:50:47, p8, brush, 1, 0.00044
189, 00:50:47, p8, clear, 1, 0.00044
190, 00:50:50, p8, pan, 28, 0.01230
191, 00:50:50, p8, clear, 1, 0.00044
192, 00:50:51, p8, brush, 22, 0.00966
193, 00:50:51, p8, clear, 1, 0.00044
194, 00:50:51, p8, brush, 1, 0.00044
195, 00:51:00, p8, clear, 1, 0.00044
196, 00:51:00, p8, brush, 1, 0.00044
197, 00:51:31, p8, clear, 1, 0.00044
198, 00:51:42, p8, brush, 1, 0.00044
199, 00:51:54, p8, range select, 21, 0.00922
200, 00:52:06, p8, clear, 1, 0.00044
201, 00:53:19, p8, brush, 43, 0.01888
202, 00:53:25, p8, clear, 1, 0.00044
203, 00:53:31, p8, range select, 30, 0.01318
204, 00:53:34, p8, pan, 1, 0.00044
205, 00:53:34, p8, zoom, 1, 0.00044
206, 00:53:36, p8, pan, 1, 0.00044
207, 00:53:36, p8, zoom, 1, 0.00044
208, 00:53:38, p8, pan, 1, 0.00044
209, 00:53:38, p8, zoom, 1, 0.00044
210, 00:53:43, p8, pan, 1, 0.00044
211, 00:53:43, p8, zoom, 1, 0.00044
212, 00:53:48, p8, pan, 1, 0.00044
213, 00:54:35, p8, range select, 19, 0.00834
214, 00:54:35, p8, pan, 1, 0.00044
215, 00:54:35, p8, zoom, 1, 0.00044
216, 00:54:36, p8, pan, 1, 0.00044
217, 00:54:36, p8, zoom, 1, 0.00044
218, 00:54:36, p8, pan, 1, 0.00044
219, 00:54:37, p8, zoom, 1, 0.00044
220, 00:54:37, p8, pan, 1, 0.00044
221, 00:54:37, p8, zoom, 1, 0.00044
222, 00:54:42, p8, pan, 1, 0.00044
223, 00:54:52, p8, clear, 1, 0.00044
224, 00:54:52, p8, brush, 1, 0.00044
225, 00:54:52, p8, clear, 1, 0.00044
226, 00:54:52, p8, brush, 5, 0.00220
227, 00:54:52, p8, clear, 1, 0.00044
228, 00:54:52, p8, brush, 2, 0.00088
229, 00:55:04, p8, clear, 1, 0.00044
230, 00:55:05, p8, brush, 9, 0.00395
231, 00:55:05, p8, clear, 1, 0.00044
232, 00:55:05, p8, brush, 11, 0.00483
233, 00:55:06, p8, clear, 1, 0.00044
234, 00:55:07, p8, brush, 12, 0.00527
235, 00:55:12, p8, clear, 1, 0.00044
236, 00:55:12, p8, brush, 3, 0.00132
237, 00:55:15, p8, clear, 1, 0.00044
238, 00:55:31, p8, pan, 131, 0.05753
239, 00:55:32, p8, clear, 1, 0.00044
240, 00:55:32, p8, pan, 1, 0.00044
241, 00:55:32, p8, zoom, 1, 0.00044
242, 00:55:33, p8, pan, 1, 0.00044
243, 00:55:33, p8, zoom, 1, 0.00044
244, 00:55:40, p8, pan, 1, 0.00044
245, 00:55:58, p8, range select, 62, 0.02723
246, 00:55:58, p8, clear, 1, 0.00044
247, 00:55:58, p8, brush, 1, 0.00044
248, 00:56:03, p8, clear, 1, 0.00044
249, 00:56:18, p8, range select, 97, 0.04260
250, 00:56:37, p8, clear, 1, 0.00044
251, 00:56:37, p8, brush, 1, 0.00044
252, 00:56:37, p8, clear, 1, 0.00044
253, 00:56:38, p8, brush, 7, 0.00307
254, 00:56:42, p8, clear, 1, 0.00044
255, 00:56:42, p8, brush, 8, 0.00351
256, 00:56:42, p8, clear, 1, 0.00044
257, 00:56:44, p8, brush, 11, 0.00483
258, 00:56:51, p8, clear, 1, 0.00044
259, 00:56:52, p8, brush, 1, 0.00044
260, 00:56:52, p8, clear, 1, 0.00044
261, 00:56:52, p8, brush, 3, 0.00132
262, 00:56:52, p8, clear, 1, 0.00044
263, 00:56:52, p8, brush, 4, 0.00176
264, 00:57:06, p8, clear, 1, 0.00044
265, 00:57:06, p8, brush, 5, 0.00220
266, 00:57:07, p8, clear, 1, 0.00044
267, 00:57:19, p8, brush, 15, 0.00659
268, 00:57:19, p8, clear, 1, 0.00044
269, 00:57:19, p8, brush, 1, 0.00044
270, 00:57:22, p8, clear, 1, 0.00044
271, 00:57:22, p8, pan, 1, 0.00044
272, 00:57:22, p8, zoom, 1, 0.00044
273, 00:57:24, p8, pan, 1, 0.00044
274, 00:57:24, p8, zoom, 1, 0.00044
275, 00:57:26, p8, pan, 1, 0.00044
276, 00:57:26, p8, clear, 1, 0.00044
277, 00:57:26, p8, brush, 3, 0.00132
278, 00:57:26, p8, clear, 1, 0.00044
279, 00:57:37, p8, brush, 8, 0.00351
280, 00:57:37, p8, clear, 1, 0.00044
281, 00:57:38, p8, brush, 3, 0.00132
282, 00:58:13, p8, clear, 1, 0.00044
283, 00:58:13, p8, brush, 1, 0.00044
284, 00:58:18, p8, clear, 1, 0.00044
285, 00:58:18, p8, brush, 3, 0.00132
286, 00:58:24, p8, clear, 1, 0.00044
287, 00:58:34, p8, brush, 14, 0.00615
288, 00:58:35, p8, clear, 1, 0.00044
289, 00:58:35, p8, brush, 3, 0.00132
290, 00:58:35, p8, clear, 1, 0.00044
291, 00:58:35, p8, brush, 7, 0.00307
292, 00:58:36, p8, clear, 1, 0.00044
293, 00:59:40, p8, brush, 19, 0.00834
294, 00:59:41, p8, clear, 1, 0.00044
295, 01:01:06, p8, brush, 25, 0.01098
296, 01:01:17, p8, clear, 1, 0.00044
297, 01:01:21, p8, brush, 4, 0.00176
298, 01:01:21, p8, clear, 1, 0.00044
299, 01:01:38, p8, brush, 9, 0.00395
300, 01:01:42, p8, clear, 1, 0.00044
301, 01:01:43, p8, brush, 3, 0.00132
302, 01:01:46, p8, clear, 1, 0.00044
303, 01:01:47, p8, brush, 2, 0.00088
304, 01:01:53, p8, clear, 1, 0.00044
305, 01:01:56, p8, brush, 21, 0.00922
306, 01:01:56, p8, clear, 1, 0.00044
307, 01:02:11, p8, brush, 12, 0.00527
308, 01:02:12, p8, pan, 20, 0.00878
309, 01:02:12, p8, clear, 1, 0.00044
310, 01:02:13, p8, brush, 8, 0.00351
311, 01:02:13, p8, clear, 1, 0.00044
312, 01:02:36, p8, brush, 16, 0.00703
313, 01:02:37, p8, clear, 1, 0.00044
314, 01:02:37, p8, brush, 1, 0.00044
315, 01:02:37, p8, clear, 1, 0.00044
316, 01:02:37, p8, brush, 1, 0.00044
317, 01:02:43, p8, clear, 1, 0.00044
318, 01:02:46, p8, brush, 2, 0.00088
319, 01:03:22, p8, range select, 1, 0.00044
320, 01:03:22, p8, clear, 1, 0.00044
321, 01:03:23, p8, brush, 10, 0.00439
322, 01:03:23, p8, clear, 1, 0.00044
323, 01:03:38, p8, brush, 31, 0.01361
324, 01:03:38, p8, clear, 1, 0.00044
325, 01:04:32, p8, brush, 52, 0.02284
326, 01:04:32, p8, clear, 1, 0.00044
327, 01:04:33, p8, brush, 2, 0.00088
