brush, 2, 0.00
clear, 1, 0.00
brush, 3, 0.00
clear, 1, 0.00
brush, 1, 0.00
clear, 1, 0.00
brush, 7, 0.00
clear, 1, 0.00
brush, 1, 0.00
clear, 1, 0.00
brush, 32, 0.01
clear, 1, 0.00
brush, 21, 0.01
clear, 1, 0.00
brush, 5, 0.00
clear, 1, 0.00
pan, 37, 0.02
zoom, 1, 0.00
pan, 1, 0.00
zoom, 1, 0.00
pan, 1, 0.00
clear, 1, 0.00
brush, 3, 0.00
clear, 1, 0.00
brush, 1, 0.00
clear, 1, 0.00
brush, 23, 0.01
clear, 1, 0.00
pan, 1, 0.00
zoom, 1, 0.00
pan, 1, 0.00
zoom, 1, 0.00
pan, 1, 0.00
brush, 3, 0.00
clear, 1, 0.00
brush, 3, 0.00
clear, 1, 0.00
brush, 25, 0.01
clear, 1, 0.00
brush, 17, 0.01
clear, 1, 0.00
brush, 1, 0.00
clear, 1, 0.00
brush, 1, 0.00
clear, 1, 0.00
pan, 1, 0.00
zoom, 1, 0.00
pan, 24, 0.01
zoom, 1, 0.00
pan, 24, 0.01
range select, 49, 0.02
clear, 1, 0.00
brush, 1, 0.00
clear, 1, 0.00
pan, 80, 0.04
range select, 59, 0.03
pan, 52, 0.02
range select, 43, 0.02
clear, 1, 0.00
pan, 75, 0.03
range select, 39, 0.02
clear, 1, 0.00
brush, 1, 0.00
clear, 1, 0.00
brush, 1, 0.00
clear, 1, 0.00
brush, 1, 0.00
clear, 1, 0.00
pan, 1, 0.00
zoom, 1, 0.00
pan, 1, 0.00
zoom, 1, 0.00
pan, 25, 0.01
range select, 49, 0.02
clear, 1, 0.00
brush, 3, 0.00
clear, 1, 0.00
pan, 203, 0.09
clear, 1, 0.00
brush, 5, 0.00
clear, 1, 0.00
brush, 8, 0.00
clear, 1, 0.00
brush, 1, 0.00
clear, 1, 0.00
brush, 1, 0.00
clear, 1, 0.00
brush, 44, 0.02
clear, 1, 0.00
brush, 2, 0.00
clear, 1, 0.00
brush, 1, 0.00
clear, 1, 0.00
brush, 1, 0.00
clear, 1, 0.00
brush, 1, 0.00
range select, 19, 0.01
clear, 1, 0.00
brush, 5, 0.00
clear, 1, 0.00
brush, 1, 0.00
range select, 6, 0.00
clear, 1, 0.00
brush, 5, 0.00
clear, 1, 0.00
brush, 29, 0.01
clear, 1, 0.00
brush, 2, 0.00
clear, 1, 0.00
brush, 12, 0.01
clear, 1, 0.00
brush, 23, 0.01
clear, 1, 0.00
brush, 24, 0.01
clear, 1, 0.00
brush, 1, 0.00
clear, 1, 0.00
brush, 5, 0.00
clear, 1, 0.00
brush, 5, 0.00
clear, 1, 0.00
pan, 67, 0.03
clear, 1, 0.00
brush, 26, 0.01
clear, 1, 0.00
brush, 3, 0.00
clear, 1, 0.00
brush, 12, 0.01
clear, 1, 0.00
brush, 6, 0.00
clear, 1, 0.00
brush, 1, 0.00
clear, 1, 0.00
pan, 11, 0.00
brush, 1, 0.00
pan, 1, 0.00
brush, 1, 0.00
pan, 1, 0.00
brush, 1, 0.00
pan, 1, 0.00
clear, 1, 0.00
pan, 1, 0.00
clear, 1, 0.00
pan, 3, 0.00
clear, 1, 0.00
brush, 1, 0.00
pan, 9, 0.00
brush, 1, 0.00
pan, 1, 0.00
brush, 1, 0.00
pan, 1, 0.00
brush, 1, 0.00
pan, 1, 0.00
brush, 1, 0.00
pan, 1, 0.00
brush, 1, 0.00
pan, 1, 0.00
brush, 1, 0.00
pan, 1, 0.00
brush, 2, 0.00
pan, 14, 0.01
brush, 1, 0.00
pan, 1, 0.00
brush, 1, 0.00
pan, 1, 0.00
brush, 1, 0.00
pan, 1, 0.00
brush, 1, 0.00
pan, 1, 0.00
brush, 1, 0.00
pan, 1, 0.00
brush, 1, 0.00
pan, 1, 0.00
