['p8', '00:58:35', 'brush', 'hist-2', '2-11-11-0_', 'Question']
['p8', '00:58:35', 'brush', 'hist-2', '2-10-10-0_', 'Question']
['p8', '00:58:35', 'brush', 'hist-2', '2-9-9-0_', 'Question']
['p8', '00:58:35', 'brush', 'hist-2', '2-7-7-0_', 'Question']
['p8', '00:58:35', 'brush', 'hist-2', '2-5-5-0_', 'Question']
['p8', '00:58:35', 'brush', 'hist-2', '2-3-3-0_', 'Question']
['p8', '00:58:35', 'brush', 'hist-2', '2-1-1-0_', 'Question']
['p8', '00:58:35', 'brush', 'hist-2', '2-0-0-0_', 'Question']
['p8', '00:58:35', 'clear', 'undefined', 'undefined', 'Question']
['p8', '00:58:36', 'brush', 'hist-2', '2-0-0-0_', 'Question']
['p8', '00:58:41', 'brush', 'hist-2', '2-1-1-0_', 'Question']
['p8', '00:58:42', 'brush', 'hist-2', '2-0-0-0_', 'Question']
['p8', '00:58:43', 'brush', 'hist-2', '2-1-1-0_', 'Question']
['p8', '00:58:44', 'brush', 'hist-2', '2-0-0-0_', 'Question']
['p8', '00:58:44', 'brush', 'hist-2', '2-1-1-0_', 'Question']
['p8', '00:58:44', 'brush', 'hist-2', '2-0-0-0_', 'Question']
['p8', '00:58:52', 'brush', 'hist-2', '2-1-1-0_', 'Question']
['p8', '00:58:53', 'brush', 'hist-2', '2-0-0-0_', 'Question']
['p8', '00:58:55', 'brush', 'hist-2', '2-1-1-0_', 'Sensemaking']
['p8', '00:58:58', 'brush', 'hist-2', '2-2-2-0_', 'Sensemaking']
['p8', '00:59:00', 'brush', 'hist-2', '2-3-3-0_', 'Sensemaking']
['p8', '00:59:03', 'brush', 'hist-2', '2-4-4-0_', 'Sensemaking']
['p8', '00:59:20', 'brush', 'hist-2', '2-5-5-0_', 'Sensemaking']
['p8', '00:59:21', 'brush', 'hist-2', '2-6-6-0_', 'Sensemaking']
['p8', '00:59:24', 'brush', 'hist-2', '2-7-7-0_', 'Sensemaking']
['p8', '00:59:26', 'brush', 'hist-2', '2-8-8-0_', 'Sensemaking']
['p8', '00:59:28', 'brush', 'hist-2', '2-9-9-0_', 'Sensemaking']
['p8', '00:59:39', 'brush', 'hist-2', '2-10-10-0_', 'Sensemaking']
['p8', '00:59:40', 'brush', 'hist-2', '2-11-11-0_', 'Sensemaking']
['p8', '00:59:40', 'clear', 'undefined', 'undefined', 'Sensemaking']
['p8', '00:59:41', 'brush', 'hist-2', '2-12-12-0_', 'Sensemaking']
['p8', '00:59:41', 'brush', 'hist-2', '2-11-11-0_', 'Sensemaking']
['p8', '00:59:42', 'brush', 'hist-2', '2-10-10-0_', 'Sensemaking']
['p8', '00:59:42', 'brush', 'hist-2', '2-9-9-0_', 'Sensemaking']
['p8', '00:59:44', 'brush', 'hist-2', '2-10-10-0_', 'Sensemaking']
['p8', '00:59:45', 'brush', 'hist-2', '2-9-9-0_', 'Sensemaking']
['p8', '00:59:53', 'brush', 'hist-2', '2-8-8-0_', 'Sensemaking']
['p8', '00:59:55', 'brush', 'hist-2', '2-9-9-0_', 'Sensemaking']
['p8', '00:59:55', 'brush', 'hist-2', '2-10-10-0_', 'Sensemaking']
['p8', '00:59:56', 'brush', 'hist-2', '2-11-11-0_', 'Sensemaking']
['p8', '00:59:56', 'brush', 'hist-2', '2-12-12-0_', 'Sensemaking']
['p8', '00:59:56', 'brush', 'hist-2', '2-11-11-0_', 'Sensemaking']
['p8', '00:59:56', 'brush', 'hist-2', '2-10-10-0_', 'Sensemaking']
['p8', '00:59:57', 'brush', 'hist-2', '2-9-9-0_', 'Sensemaking']
['p8', '00:59:58', 'brush', 'hist-2', '2-8-8-0_', 'Sensemaking']
['p8', '00:59:59', 'brush', 'hist-2', '2-9-9-0_', 'None']
['p8', '01:00:00', 'brush', 'hist-2', '2-10-10-0_', 'None']
['p8', '01:00:01', 'brush', 'hist-2', '2-9-9-0_', 'None']
['p8', '01:00:02', 'brush', 'hist-2', '2-8-8-0_', 'None']
['p8', '01:00:09', 'brush', 'hist-2', '2-9-9-0_', 'None']
['p8', '01:00:10', 'brush', 'hist-2', '2-8-8-0_', 'None']
['p8', '01:00:26', 'brush', 'hist-2', '2-9-9-0_', 'None']
['p8', '01:01:04', 'brush', 'hist-2', '2-10-10-0_', 'Exploration']
['p8', '01:01:04', 'brush', 'hist-2', '2-11-11-0_', 'Exploration']
['p8', '01:01:04', 'brush', 'hist-2', '2-10-10-0_', 'Exploration']
['p8', '01:01:05', 'brush', 'hist-2', '2-11-11-0_', 'Exploration']
['p8', '01:01:06', 'clear', 'undefined', 'undefined', 'Exploration']
['p8', '01:01:17', 'brush', 'hist-2', '2-12-12-0_', 'Exploration']
['p8', '01:01:17', 'brush', 'hist-2', '2-11-11-0_', 'Exploration']
['p8', '01:01:19', 'brush', 'hist-2', '2-10-10-0_', 'Exploration']
['p8', '01:01:20', 'brush', 'hist-2', '2-11-11-0_', 'Exploration']
['p8', '01:01:21', 'brush', 'hist-2', '2-12-12-0_', 'Exploration']
['p8', '01:01:21', 'clear', 'undefined', 'undefined', 'Exploration']
['p8', '01:01:21', 'brush', 'hist-2', '2-12-12-0_', 'Exploration']
['p8', '01:01:21', 'brush', 'hist-2', '2-11-11-0_', 'Exploration']
['p8', '01:01:22', 'brush', 'hist-2', '2-10-10-0_', 'Exploration']
['p8', '01:01:26', 'brush', 'hist-2', '2-9-9-0_', 'Exploration']
['p8', '01:01:33', 'brush', 'hist-2', '2-8-8-0_', 'Interface-feedback']
['p8', '01:01:34', 'brush', 'hist-2', '2-7-7-0_', 'Interface-feedback']
['p8', '01:01:38', 'brush', 'hist-2', '2-8-8-0_', 'Interface-feedback']
['p8', '01:01:38', 'brush', 'hist-2', '2-9-9-0_', 'Interface-feedback']
['p8', '01:01:38', 'brush', 'hist-2', '2-10-10-0_', 'Interface-feedback']
['p8', '01:01:38', 'brush', 'hist-2', '2-11-11-0_', 'Interface-feedback']
['p8', '01:01:38', 'clear', 'undefined', 'undefined', 'Interface-feedback']
['p8', '01:01:42', 'brush', 'hist-3', '3-1-1-0_', 'Interface-feedback']
['p8', '01:01:42', 'brush', 'hist-3', '3-2-2-0_', 'Interface-feedback']
['p8', '01:01:42', 'brush', 'hist-3', '3-1-1-0_', 'Interface-feedback']
['p8', '01:01:42', 'brush', 'hist-3', '3-0-0-0_', 'Interface-feedback']
['p8', '01:01:43', 'clear', 'undefined', 'undefined', 'Interface-feedback']
['p8', '01:01:46', 'brush', 'hist-3', '3-0-0-0_', 'Interface-feedback']
['p8', '01:01:46', 'brush', 'hist-3', '3-1-1-0_', 'Interface-feedback']
['p8', '01:01:46', 'brush', 'hist-3', '3-0-0-0_', 'Interface-feedback']
['p8', '01:01:47', 'clear', 'undefined', 'undefined', 'Interface-feedback']
['p8', '01:01:53', 'brush', 'hist-3', '3-0-0-0_', 'Interface-feedback']
['p8', '01:01:55', 'brush', 'hist-3', '3-1-1-0_', 'Interface-feedback']
['p8', '01:01:55', 'brush', 'hist-3', '3-2-2-0_', 'Interface-feedback']
['p8', '01:01:55', 'brush', 'hist-3', '3-3-3-0_', 'Interface-feedback']
['p8', '01:01:55', 'brush', 'hist-3', '3-5-5-0_', 'Interface-feedback']
['p8', '01:01:55', 'brush', 'hist-3', '3-7-7-0_', 'Interface-feedback']
['p8', '01:01:55', 'brush', 'hist-3', '3-10-10-0_', 'Interface-feedback']
['p8', '01:01:55', 'brush', 'hist-3', '3-13-13-0_', 'Interface-feedback']
['p8', '01:01:55', 'brush', 'hist-3', '3-16-16-0_', 'Interface-feedback']
['p8', '01:01:55', 'brush', 'hist-3', '3-18-18-0_', 'Interface-feedback']
['p8', '01:01:55', 'brush', 'hist-3', '3-15-15-0_', 'Interface-feedback']
['p8', '01:01:55', 'brush', 'hist-3', '3-12-12-0_', 'Interface-feedback']
['p8', '01:01:55', 'brush', 'hist-3', '3-10-10-0_', 'Interface-feedback']
['p8', '01:01:55', 'brush', 'hist-3', '3-9-9-0_', 'Interface-feedback']
['p8', '01:01:55', 'brush', 'hist-3', '3-8-8-0_', 'Interface-feedback']
['p8', '01:01:55', 'brush', 'hist-3', '3-7-7-0_', 'Interface-feedback']
['p8', '01:01:55', 'brush', 'hist-3', '3-6-6-0_', 'Interface-feedback']
['p8', '01:01:55', 'brush', 'hist-3', '3-5-5-0_', 'Interface-feedback']
['p8', '01:01:55', 'brush', 'hist-3', '3-3-3-0_', 'Interface-feedback']
['p8', '01:01:55', 'brush', 'hist-3', '3-2-2-0_', 'Interface-feedback']
['p8', '01:01:55', 'brush', 'hist-3', '3-1-1-0_', 'Interface-feedback']
