So we're only showing data for the top 30 travelers, or we are showing all data? ,00:32:00,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:32:01,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:32:01,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:32:01,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:32:01,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:32:01,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:32:01,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:32:01,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:32:01,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:32:01,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:32:01,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:32:01,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:32:01,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:32:01,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:32:01,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:32:01,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:32:01,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:32:01,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:32:01,(Question+hist-3),brush,0.0,hist-3,2
 user 8483 the top traveler, does almost all his or her traveling in the winter. ,00:32:02,(Sensemaking+hist-3),brush,0.25,hist-3,2
 user 8483 the top traveler, does almost all his or her traveling in the winter. ,00:32:02,(Sensemaking+hist-3),brush,0.25,hist-3,2
 user 8483 the top traveler, does almost all his or her traveling in the winter. ,00:32:02,(Sensemaking+hist-3),brush,0.25,hist-3,2
 user 8483 the top traveler, does almost all his or her traveling in the winter. ,00:32:02,(Sensemaking+hist-3),brush,0.25,hist-3,2
 user 8483 the top traveler, does almost all his or her traveling in the winter. ,00:32:02,(Sensemaking+hist-3),brush,0.25,hist-3,2
 user 8483 the top traveler, does almost all his or her traveling in the winter. ,00:32:02,(Sensemaking+hist-3),brush,0.25,hist-3,2
 user 8483 the top traveler, does almost all his or her traveling in the winter. ,00:32:02,(Sensemaking+hist-3),brush,0.25,hist-3,2
 user 8483 the top traveler, does almost all his or her traveling in the winter. ,00:32:03,(Sensemaking+hist-3),brush,0.25,hist-3,2
 user 8483 the top traveler, does almost all his or her traveling in the winter. ,00:32:03,(Sensemaking+hist-3),brush,0.25,hist-3,2
 user 8483 the top traveler, does almost all his or her traveling in the winter. ,00:32:03,(Sensemaking+hist-3),brush,0.25,hist-3,2
 user 8483 the top traveler, does almost all his or her traveling in the winter. ,00:32:04,(Sensemaking+hist-3),brush,0.25,hist-3,2
 user 8483 the top traveler, does almost all his or her traveling in the winter. ,00:32:04,(Sensemaking+hist-3),brush,0.25,hist-3,2
 user 8483 the top traveler, does almost all his or her traveling in the winter. ,00:32:04,(Sensemaking+hist-3),brush,0.25,hist-3,2
 user 8483 the top traveler, does almost all his or her traveling in the winter. ,00:32:06,(Sensemaking+hist-3),brush,0.25,hist-3,2
 user 8483 the top traveler, does almost all his or her traveling in the winter. ,00:32:06,(Sensemaking+hist-3),brush,0.25,hist-3,2
 user 8483 the top traveler, does almost all his or her traveling in the winter. ,00:32:07,(Sensemaking+hist-3),brush,0.25,hist-3,2
 user 8483 the top traveler, does almost all his or her traveling in the winter. ,00:32:07,(Sensemaking+hist-3),brush,0.25,hist-3,2
 user 8483 the top traveler, does almost all his or her traveling in the winter. ,00:32:07,(Sensemaking+hist-3),brush,0.25,hist-3,2
 user 8483 the top traveler, does almost all his or her traveling in the winter. ,00:32:07,(Sensemaking+hist-3),brush,0.25,hist-3,2
 user 8483 the top traveler, does almost all his or her traveling in the winter. ,00:32:07,(Sensemaking+hist-3),brush,0.25,hist-3,2
 user 8483 the top traveler, does almost all his or her traveling in the winter. ,00:32:07,(Sensemaking+hist-3),brush,0.25,hist-3,2
 user 8483 the top traveler, does almost all his or her traveling in the winter. ,00:32:07,(Sensemaking+hist-3),brush,0.25,hist-3,2
 user 8483 the top traveler, does almost all his or her traveling in the winter. ,00:32:07,(Sensemaking+hist-3),brush,0.25,hist-3,2
 user 8483 the top traveler, does almost all his or her traveling in the winter. ,00:32:07,(Sensemaking+hist-3),brush,0.25,hist-3,2
 user 8483 the top traveler, does almost all his or her traveling in the winter. ,00:32:07,(Sensemaking+hist-3),brush,0.25,hist-3,2
 user 8483 the top traveler, does almost all his or her traveling in the winter. ,00:32:07,(Sensemaking+hist-3),brush,0.25,hist-3,2
 user 8483 the top traveler, does almost all his or her traveling in the winter. ,00:32:07,(Sensemaking+hist-3),brush,0.25,hist-3,2
 user 8483 the top traveler, does almost all his or her traveling in the winter. ,00:32:07,(Sensemaking+hist-3),brush,0.25,hist-3,2
 user 8483 the top traveler, does almost all his or her traveling in the winter. ,00:32:07,(Sensemaking+hist-3),brush,0.25,hist-3,2
 user 8483 the top traveler, does almost all his or her traveling in the winter. ,00:32:07,(Sensemaking+undefined),clear,0.25,undefined,2
 user 8483 the top traveler, does almost all his or her traveling in the winter. ,00:32:08,(Sensemaking+hist-2),brush,0.25,hist-2,2
 user 8483 the top traveler, does almost all his or her traveling in the winter. ,00:32:08,(Sensemaking+hist-2),brush,0.25,hist-2,2
 user 8483 the top traveler, does almost all his or her traveling in the winter. ,00:32:08,(Sensemaking+hist-2),brush,0.25,hist-2,2
 user 8483 the top traveler, does almost all his or her traveling in the winter. ,00:32:08,(Sensemaking+hist-2),brush,0.25,hist-2,2
 user 8483 the top traveler, does almost all his or her traveling in the winter. ,00:32:08,(Sensemaking+hist-2),brush,0.25,hist-2,2
 user 8483 the top traveler, does almost all his or her traveling in the winter. ,00:32:08,(Sensemaking+hist-2),brush,0.25,hist-2,2
 user 8483 the top traveler, does almost all his or her traveling in the winter. ,00:32:08,(Sensemaking+hist-2),brush,0.25,hist-2,2
 user 8483 the top traveler, does almost all his or her traveling in the winter. ,00:32:08,(Sensemaking+hist-2),brush,0.25,hist-2,2
 user 8483 the top traveler, does almost all his or her traveling in the winter. ,00:32:09,(Sensemaking+hist-2),brush,0.25,hist-2,2
 user 8483 the top traveler, does almost all his or her traveling in the winter. ,00:32:09,(Sensemaking+hist-2),brush,0.25,hist-2,2
 user 8483 the top traveler, does almost all his or her traveling in the winter. ,00:32:10,(Sensemaking+hist-2),brush,0.25,hist-2,2
 user 8483 the top traveler, does almost all his or her traveling in the winter. ,00:32:10,(Sensemaking+hist-2),brush,0.25,hist-2,2
 user 8483 the top traveler, does almost all his or her traveling in the winter. ,00:32:11,(Sensemaking+hist-2),brush,0.25,hist-2,2
 user 8483 the top traveler, does almost all his or her traveling in the winter. ,00:32:11,(Sensemaking+hist-2),brush,0.25,hist-2,2
 user 8483 the top traveler, does almost all his or her traveling in the winter. ,00:32:11,(Sensemaking+hist-2),brush,0.25,hist-2,2
 user 8483 the top traveler, does almost all his or her traveling in the winter. ,00:32:11,(Sensemaking+hist-2),brush,0.25,hist-2,2
 user 8483 the top traveler, does almost all his or her traveling in the winter. ,00:32:12,(Sensemaking+hist-2),brush,0.25,hist-2,2
 user 8483 the top traveler, does almost all his or her traveling in the winter. ,00:32:12,(Sensemaking+hist-2),brush,0.25,hist-2,2
 user 8483 the top traveler, does almost all his or her traveling in the winter. ,00:32:12,(Sensemaking+hist-2),brush,0.25,hist-2,2
 user 8483 the top traveler, does almost all his or her traveling in the winter. ,00:32:12,(Sensemaking+hist-2),brush,0.25,hist-2,2
 user 8483 the top traveler, does almost all his or her traveling in the winter. ,00:32:13,(Sensemaking+hist-2),brush,0.25,hist-2,2
 user 8483 the top traveler, does almost all his or her traveling in the winter. ,00:32:13,(Sensemaking+hist-2),brush,0.25,hist-2,2
And the next one is more evenly distributed.,00:32:34,(Sensemaking+hist-2),brush,0.0,hist-2,2
And the next one is more evenly distributed.,00:32:35,(Sensemaking+hist-2),brush,0.0,hist-2,2
And the next one is more evenly distributed.,00:32:36,(Sensemaking+hist-2),brush,0.0,hist-2,2
And the next one is more evenly distributed.,00:32:36,(Sensemaking+hist-2),brush,0.0,hist-2,2
And the next one is more evenly distributed.,00:32:36,(Sensemaking+undefined),clear,0.0,undefined,2
And the next one is more evenly distributed.,00:32:37,(Sensemaking+hist-2),brush,0.0,hist-2,2
And the next one is more evenly distributed.,00:32:38,(Sensemaking+hist-2),brush,0.0,hist-2,2
And the next one is more evenly distributed.,00:32:38,(Sensemaking+hist-2),brush,0.0,hist-2,2
And the next one is more evenly distributed.,00:32:38,(Sensemaking+hist-2),brush,0.0,hist-2,2
And the top traveler seems to be quite ... quite well traveled in Asia and North America.,00:32:43,(Sensemaking+hist-2),brush,0.25,hist-2,2
The next one (u69) in Europe and North America.,00:32:52,(Sensemaking+hist-2),brush,0.25,hist-2,2
The next one (u69) in Europe and North America.,00:32:52,(Sensemaking+hist-2),brush,0.25,hist-2,2
The next one (u69) in Europe and North America.,00:32:52,(Sensemaking+hist-2),brush,0.25,hist-2,2
The next one (u69) in Europe and North America.,00:32:52,(Sensemaking+hist-2),brush,0.25,hist-2,2
The next one (u69) in Europe and North America.,00:32:52,(Sensemaking+undefined),clear,0.25,undefined,2
The next one (u69) in Europe and North America.,00:32:52,(Sensemaking+hist-3),brush,0.25,hist-3,2
The next one (u69) in Europe and North America.,00:32:52,(Sensemaking+hist-3),brush,0.25,hist-3,2
The next one (u69) in Europe and North America.,00:32:52,(Sensemaking+hist-3),brush,0.25,hist-3,2
The next one (u69) in Europe and North America.,00:32:52,(Sensemaking+hist-3),brush,0.25,hist-3,2
The next one (u69) in Europe and North America.,00:32:52,(Sensemaking+hist-3),brush,0.25,hist-3,2
The next one (u69) in Europe and North America.,00:32:52,(Sensemaking+hist-3),brush,0.25,hist-3,2
The next one (u69) in Europe and North America.,00:32:52,(Sensemaking+hist-3),brush,0.25,hist-3,2
The next one (u69) in Europe and North America.,00:32:52,(Sensemaking+hist-3),brush,0.25,hist-3,2
The next one (u69) in Europe and North America.,00:32:53,(Sensemaking+hist-3),brush,0.25,hist-3,2
The next one (u69) in Europe and North America.,00:32:53,(Sensemaking+hist-3),brush,0.25,hist-3,2
The next one (u69) in Europe and North America.,00:32:53,(Sensemaking+hist-3),brush,0.25,hist-3,2
The next one (u69) in Europe and North America.,00:32:53,(Sensemaking+hist-3),brush,0.25,hist-3,2
The next one (u69) in Europe and North America.,00:32:53,(Sensemaking+hist-3),brush,0.25,hist-3,2
The next one (u69) in Europe and North America.,00:32:53,(Sensemaking+hist-3),brush,0.25,hist-3,2
The next one (u69) in Europe and North America.,00:32:53,(Sensemaking+hist-3),brush,0.25,hist-3,2
The next one (u69) in Europe and North America.,00:32:53,(Sensemaking+hist-3),brush,0.25,hist-3,2
The next one (u69) in Europe and North America.,00:32:53,(Sensemaking+hist-3),brush,0.25,hist-3,2
