['p12', '00:27:09', 'pan', 'geo-0-1', '1', '1', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '2', '0', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '6', '0', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '4', '-1', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '5', '0', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '4', '0', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '2', '-1', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '2', '0', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '3', '-1', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '2', '-1', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '1', '-1', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '4', '0', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '2', '-1', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '2', '0', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '2', '-1', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '2', '0', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '3', '0', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '2', '0', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '3', '0', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '2', '0', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '3', '0', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '4', '0', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '7', '0', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '5', '0', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '4', '0', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '2', '0', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p12', '00:27:16', 'pan', 'geo-0-1', '-1', '2', 'Exploration']
['p12', '00:27:16', 'pan', 'geo-0-1', '-5', '5', 'Exploration']
['p12', '00:27:16', 'pan', 'geo-0-1', '-2', '5', 'Exploration']
['p12', '00:27:16', 'pan', 'geo-0-1', '0', '2', 'Exploration']
['p12', '00:27:16', 'pan', 'geo-0-1', '0', '1', 'Exploration']
['p12', '00:27:16', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p12', '00:27:16', 'pan', 'geo-0-1', '0', '1', 'Exploration']
['p12', '00:27:17', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p12', '00:27:17', 'pan', 'geo-0-1', '-1', '0', 'Exploration']
['p12', '00:27:17', 'pan', 'geo-0-1', '-2', '0', 'Exploration']
['p12', '00:27:17', 'pan', 'geo-0-1', '-3', '0', 'Exploration']
['p12', '00:27:17', 'pan', 'geo-0-1', '-6', '0', 'Exploration']
['p12', '00:27:17', 'pan', 'geo-0-1', '-4', '1', 'Exploration']
['p12', '00:27:17', 'pan', 'geo-0-1', '-2', '1', 'Exploration']
['p12', '00:27:17', 'pan', 'geo-0-1', '-2', '0', 'Exploration']
['p12', '00:27:17', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p12', '00:27:17', 'pan', 'geo-0-1', '-3', '0', 'Exploration']
['p12', '00:27:17', 'pan', 'geo-0-1', '-4', '1', 'Exploration']
