['p13', '00:13:29', 'tile cached', 'undefined', '0-3072-3327-8x1-6912-7167-8x5-0-29-1', 'Sensemaking']
['p13', '00:13:29', 'tile cached', 'undefined', '0-3328-3583-8x1-7168-7423-8x5-0-29-1', 'Sensemaking']
['p13', '00:13:29', 'tile cached', 'undefined', '0-3584-3839-8x1-6912-7167-8x5-0-29-1', 'Sensemaking']
['p13', '00:13:29', 'tile cached', 'undefined', '0-3584-3839-8x1-7168-7423-8x5-0-29-1', 'Sensemaking']
['p13', '00:13:29', 'tile cached', 'undefined', '0-3328-3583-8x1-6912-7167-8x5-0-29-1', 'Sensemaking']
['p13', '00:13:30', 'pan', 'geo-0-1', '-1757', '-3553', 'Sensemaking']
['p13', '00:13:30', 'zoom', 'geo-0-1', '6', 'Sensemaking']
['p13', '00:13:30', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p13', '00:13:30', 'tile cached', 'undefined', '0-1280-1535-7x1-3584-3839-7x4-0-23-0', 'Sensemaking']
['p13', '00:13:30', 'tile cached', 'undefined', '0-1792-2047-7x1-3584-3839-7x4-0-23-0', 'Sensemaking']
['p13', '00:13:30', 'tile cached', 'undefined', '0-1536-1791-7x1-3584-3839-7x4-0-23-0', 'Sensemaking']
['p13', '00:13:30', 'tile cached', 'undefined', '0-1280-1535-7x1-3328-3583-7x4-0-23-0', 'Sensemaking']
['p13', '00:13:30', 'tile cached', 'undefined', '0-1536-1791-7x1-3328-3583-7x4-0-23-0', 'Sensemaking']
['p13', '00:13:30', 'tile cached', 'undefined', '0-1792-2047-7x1-3328-3583-7x4-0-23-0', 'Sensemaking']
['p13', '00:13:30', 'tile cached', 'undefined', '0-2816-3071-8x1-6656-6911-8x4-0-23-0', 'Sensemaking']
['p13', '00:13:30', 'tile cached', 'undefined', '0-2816-3071-8x1-6912-7167-8x4-0-23-0', 'Sensemaking']
['p13', '00:13:30', 'tile cached', 'undefined', '0-3072-3327-8x1-6656-6911-8x4-0-23-0', 'Sensemaking']
['p13', '00:13:30', 'tile cached', 'undefined', '0-2816-3071-8x1-7168-7423-8x4-0-23-0', 'Sensemaking']
['p13', '00:13:30', 'tile cached', 'undefined', '0-3328-3583-8x1-6656-6911-8x4-0-23-0', 'Sensemaking']
['p13', '00:13:30', 'tile cached', 'undefined', '0-3840-4095-8x1-6656-6911-8x4-0-23-0', 'Sensemaking']
['p13', '00:13:30', 'tile cached', 'undefined', '0-3584-3839-8x1-6656-6911-8x4-0-23-0', 'Sensemaking']
['p13', '00:13:30', 'tile cached', 'undefined', '0-3840-4095-8x1-6912-7167-8x4-0-23-0', 'Sensemaking']
['p13', '00:13:30', 'tile cached', 'undefined', '0-3840-4095-8x1-7168-7423-8x4-0-23-0', 'Sensemaking']
['p13', '00:13:30', 'tile cached', 'undefined', '0-1280-1535-7x1-3328-3583-7x2-0-11-0', 'Sensemaking']
['p13', '00:13:30', 'tile cached', 'undefined', '0-1280-1535-7x1-3584-3839-7x2-0-11-0', 'Sensemaking']
['p13', '00:13:30', 'tile cached', 'undefined', '0-1536-1791-7x1-3328-3583-7x2-0-11-0', 'Sensemaking']
['p13', '00:13:30', 'tile cached', 'undefined', '0-1536-1791-7x1-3584-3839-7x2-0-11-0', 'Sensemaking']
['p13', '00:13:30', 'tile cached', 'undefined', '0-1792-2047-7x1-3328-3583-7x2-0-11-0', 'Sensemaking']
['p13', '00:13:30', 'tile cached', 'undefined', '0-1792-2047-7x1-3584-3839-7x2-0-11-0', 'Sensemaking']
['p13', '00:13:30', 'tile cached', 'undefined', '0-1280-1535-7x1-3328-3583-7x3-0-30-0', 'Sensemaking']
['p13', '00:13:30', 'tile cached', 'undefined', '0-1280-1535-7x1-3584-3839-7x3-0-30-0', 'Sensemaking']
['p13', '00:13:30', 'tile cached', 'undefined', '0-1536-1791-7x1-3328-3583-7x3-0-30-0', 'Sensemaking']
['p13', '00:13:30', 'tile cached', 'undefined', '0-1536-1791-7x1-3584-3839-7x3-0-30-0', 'Sensemaking']
['p13', '00:13:30', 'tile cached', 'undefined', '0-1792-2047-7x1-3328-3583-7x3-0-30-0', 'Sensemaking']
['p13', '00:13:30', 'tile cached', 'undefined', '0-1792-2047-7x1-3584-3839-7x3-0-30-0', 'Sensemaking']
['p13', '00:13:30', 'tile cached', 'undefined', '0-1280-1535-7x1-3584-3839-7x5-0-29-1', 'Sensemaking']
['p13', '00:13:30', 'tile cached', 'undefined', '0-1280-1535-7x1-3328-3583-7x5-0-29-1', 'Sensemaking']
['p13', '00:13:30', 'tile cached', 'undefined', '0-1536-1791-7x1-3328-3583-7x5-0-29-1', 'Sensemaking']
['p13', '00:13:30', 'tile cached', 'undefined', '0-1536-1791-7x1-3584-3839-7x5-0-29-1', 'Sensemaking']
['p13', '00:13:30', 'tile cached', 'undefined', '0-1792-2047-7x1-3328-3583-7x5-0-29-1', 'Sensemaking']
['p13', '00:13:30', 'tile cached', 'undefined', '0-1792-2047-7x1-3584-3839-7x5-0-29-1', 'Sensemaking']
['p13', '00:13:30', 'pan', 'geo-0-1', '-879', '-1777', 'Sensemaking']
['p13', '00:13:32', 'zoom', 'geo-0-1', '5', 'Sensemaking']
['p13', '00:13:32', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p13', '00:13:33', 'tile cached', 'undefined', '0-512-767-6x1-1792-2047-6x4-0-23-0', 'Sensemaking']
['p13', '00:13:33', 'tile cached', 'undefined', '0-512-767-6x1-1792-2047-6x2-0-11-0', 'Sensemaking']
['p13', '00:13:33', 'tile cached', 'undefined', '0-768-1023-6x1-1792-2047-6x4-0-23-0', 'Sensemaking']
['p13', '00:13:33', 'tile cached', 'undefined', '0-1024-1279-6x1-1792-2047-6x4-0-23-0', 'Sensemaking']
['p13', '00:13:33', 'tile cached', 'undefined', '0-512-767-6x1-1536-1791-6x2-0-11-0', 'Sensemaking']
['p13', '00:13:33', 'tile cached', 'undefined', '0-768-1023-6x1-1536-1791-6x2-0-11-0', 'Sensemaking']
['p13', '00:13:33', 'tile cached', 'undefined', '0-768-1023-6x1-1792-2047-6x2-0-11-0', 'Sensemaking']
['p13', '00:13:33', 'tile cached', 'undefined', '0-512-767-6x1-1536-1791-6x3-0-30-0', 'Sensemaking']
['p13', '00:13:33', 'tile cached', 'undefined', '0-1024-1279-6x1-1792-2047-6x2-0-11-0', 'Sensemaking']
['p13', '00:13:33', 'tile cached', 'undefined', '0-1024-1279-6x1-1536-1791-6x2-0-11-0', 'Sensemaking']
['p13', '00:13:33', 'tile cached', 'undefined', '0-512-767-6x1-1792-2047-6x3-0-30-0', 'Sensemaking']
['p13', '00:13:33', 'tile cached', 'undefined', '0-768-1023-6x1-1536-1791-6x3-0-30-0', 'Sensemaking']
['p13', '00:13:33', 'tile cached', 'undefined', '0-768-1023-6x1-1792-2047-6x3-0-30-0', 'Sensemaking']
['p13', '00:13:33', 'tile cached', 'undefined', '0-1024-1279-6x1-1792-2047-6x3-0-30-0', 'Sensemaking']
['p13', '00:13:33', 'tile cached', 'undefined', '0-1024-1279-6x1-1536-1791-6x3-0-30-0', 'Sensemaking']
['p13', '00:13:33', 'tile cached', 'undefined', '0-512-767-6x1-1536-1791-6x4-0-23-0', 'Sensemaking']
['p13', '00:13:33', 'tile cached', 'undefined', '0-768-1023-6x1-1536-1791-6x4-0-23-0', 'Sensemaking']
['p13', '00:13:33', 'tile cached', 'undefined', '0-512-767-6x1-1792-2047-6x5-0-29-1', 'Sensemaking']
['p13', '00:13:33', 'tile cached', 'undefined', '0-512-767-6x1-1536-1791-6x5-0-29-1', 'Sensemaking']
['p13', '00:13:33', 'tile cached', 'undefined', '0-1024-1279-6x1-1536-1791-6x4-0-23-0', 'Sensemaking']
['p13', '00:13:33', 'tile cached', 'undefined', '0-768-1023-6x1-1792-2047-6x5-0-29-1', 'Sensemaking']
['p13', '00:13:33', 'tile cached', 'undefined', '0-1024-1279-6x1-1792-2047-6x5-0-29-1', 'Sensemaking']
['p13', '00:13:33', 'tile cached', 'undefined', '0-1024-1279-6x1-1536-1791-6x5-0-29-1', 'Sensemaking']
['p13', '00:13:33', 'tile cached', 'undefined', '0-768-1023-6x1-1536-1791-6x5-0-29-1', 'Sensemaking']
['p13', '00:13:33', 'tile cached', 'undefined', '0-1024-1279-7x1-3072-3327-7x4-0-23-0', 'Sensemaking']
['p13', '00:13:33', 'tile cached', 'undefined', '0-1024-1279-7x1-3328-3583-7x4-0-23-0', 'Sensemaking']
['p13', '00:13:33', 'tile cached', 'undefined', '0-1280-1535-7x1-3072-3327-7x4-0-23-0', 'Sensemaking']
['p13', '00:13:33', 'tile cached', 'undefined', '0-1536-1791-7x1-3072-3327-7x4-0-23-0', 'Sensemaking']
['p13', '00:13:33', 'tile cached', 'undefined', '0-1024-1279-7x1-3584-3839-7x4-0-23-0', 'Sensemaking']
['p13', '00:13:33', 'tile cached', 'undefined', '0-1792-2047-7x1-3072-3327-7x4-0-23-0', 'Sensemaking']
['p13', '00:13:33', 'tile cached', 'undefined', '0-2048-2303-7x1-3072-3327-7x4-0-23-0', 'Sensemaking']
['p13', '00:13:33', 'tile cached', 'undefined', '0-2048-2303-7x1-3328-3583-7x4-0-23-0', 'Sensemaking']
['p13', '00:13:33', 'tile cached', 'undefined', '0-2304-2559-7x1-3072-3327-7x4-0-23-0', 'Sensemaking']
['p13', '00:13:33', 'tile cached', 'undefined', '0-2048-2303-7x1-3584-3839-7x4-0-23-0', 'Sensemaking']
['p13', '00:13:33', 'tile cached', 'undefined', '0-2304-2559-7x1-3328-3583-7x4-0-23-0', 'Sensemaking']
['p13', '00:13:33', 'tile cached', 'undefined', '0-1024-1279-5x1-3072-3327-5x4-0-23-0', 'Sensemaking']
['p13', '00:13:33', 'tile cached', 'undefined', '0-2304-2559-7x1-3584-3839-7x4-0-23-0', 'Sensemaking']
['p13', '00:13:33', 'tile cached', 'undefined', '0-1024-1279-5x1-3584-3839-5x4-0-23-0', 'Sensemaking']
['p13', '00:13:33', 'tile cached', 'undefined', '0-1024-1279-5x1-3328-3583-5x4-0-23-0', 'Sensemaking']
['p13', '00:13:33', 'tile cached', 'undefined', '0-1024-1279-6x1-3072-3327-6x4-0-23-0', 'Sensemaking']
['p13', '00:13:33', 'tile cached', 'undefined', '0-1024-1279-6x1-3584-3839-6x4-0-23-0', 'Sensemaking']
['p13', '00:13:33', 'tile cached', 'undefined', '0-1024-1279-6x1-3328-3583-6x4-0-23-0', 'Sensemaking']
['p13', '00:13:36', 'range select', 'geo-0-1', '0-805-805-5_1-1727-1728-5_', 'Sensemaking']
['p13', '00:13:36', 'range select', 'geo-0-1', '0-805-822-5_1-1727-1748-5_', 'Sensemaking']
['p13', '00:13:36', 'range select', 'geo-0-1', '0-805-838-5_1-1727-1765-5_', 'Sensemaking']
['p13', '00:13:36', 'range select', 'geo-0-1', '0-805-853-5_1-1727-1780-5_', 'Sensemaking']
['p13', '00:13:36', 'range select', 'geo-0-1', '0-805-863-5_1-1727-1792-5_', 'Sensemaking']
['p13', '00:13:36', 'range select', 'geo-0-1', '0-805-913-5_1-1727-1838-5_', 'Sensemaking']
['p13', '00:13:36', 'range select', 'geo-0-1', '0-805-917-5_1-1727-1842-5_', 'Sensemaking']
['p13', '00:13:36', 'range select', 'geo-0-1', '0-805-920-5_1-1727-1844-5_', 'Sensemaking']
['p13', '00:13:36', 'range select', 'geo-0-1', '0-805-927-5_1-1727-1849-5_', 'Sensemaking']
['p13', '00:13:36', 'range select', 'geo-0-1', '0-805-927-5_1-1727-1848-5_', 'Sensemaking']
['p13', '00:13:36', 'range select', 'geo-0-1', '0-805-927-5_1-1727-1849-5_', 'Sensemaking']
['p13', '00:13:36', 'range select', 'geo-0-1', '0-805-928-5_1-1727-1850-5_', 'Sensemaking']
['p13', '00:13:36', 'range select', 'geo-0-1', '0-805-929-5_1-1727-1850-5_', 'Sensemaking']
['p13', '00:13:36', 'range select', 'geo-0-1', '0-805-929-5_1-1727-1851-5_', 'Sensemaking']
['p13', '00:13:36', 'range select', 'geo-0-1', '0-805-932-5_1-1727-1852-5_', 'Sensemaking']
['p13', '00:13:36', 'range select', 'geo-0-1', '0-805-949-5_1-1727-1861-5_', 'Sensemaking']
['p13', '00:13:36', 'range select', 'geo-0-1', '0-805-950-5_1-1727-1861-5_', 'Sensemaking']
['p13', '00:13:36', 'range select', 'geo-0-1', '0-805-954-5_1-1727-1861-5_', 'Sensemaking']
['p13', '00:13:36', 'range select', 'geo-0-1', '0-805-962-5_1-1727-1861-5_', 'Sensemaking']
['p13', '00:13:36', 'range select', 'geo-0-1', '0-805-964-5_1-1727-1861-5_', 'Sensemaking']
['p13', '00:13:37', 'range select', 'geo-0-1', '0-805-975-5_1-1727-1859-5_', 'Sensemaking']
['p13', '00:13:37', 'range select', 'geo-0-1', '0-805-975-5_1-1727-1858-5_', 'Sensemaking']
['p13', '00:13:37', 'range select', 'geo-0-1', '0-805-975-5_1-1727-1857-5_', 'Sensemaking']
['p13', '00:13:37', 'range select', 'geo-0-1', '0-805-975-5_1-1727-1856-5_', 'Sensemaking']
['p13', '00:13:37', 'range select', 'geo-0-1', '0-805-974-5_1-1727-1856-5_', 'Sensemaking']
['p13', '00:13:37', 'range select', 'geo-0-1', '0-805-974-5_1-1727-1855-5_', 'Sensemaking']
['p13', '00:13:37', 'range select', 'geo-0-1', '0-805-974-5_1-1727-1854-5_', 'Sensemaking']
['p13', '00:13:37', 'range select', 'geo-0-1', '0-805-974-5_1-1727-1853-5_', 'Sensemaking']
['p13', '00:13:37', 'range select', 'geo-0-1', '0-805-973-5_1-1727-1853-5_', 'Sensemaking']
['p13', '00:13:37', 'range select', 'geo-0-1', '0-805-973-5_1-1727-1852-5_', 'Sensemaking']
