['p13', '00:02:06', 'zoom', 'geo-0-1', '4', 'Question / Hypothesis']
['p13', '00:02:07', 'tile cached', 'undefined', '0-256-511-3x1-256-511-3x2-0-11-0', 'Question / Hypothesis']
['p13', '00:02:07', 'tile cached', 'undefined', '0-0-255-3x1-256-511-3x3-0-30-0', 'Question / Hypothesis']
['p13', '00:02:07', 'tile cached', 'undefined', '0-768-1023-3x1-256-511-3x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:07', 'tile cached', 'undefined', '0-0-255-3x1-256-511-3x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:07', 'tile cached', 'undefined', '0-256-511-3x1-256-511-3x3-0-30-0', 'Question / Hypothesis']
['p13', '00:02:07', 'tile cached', 'undefined', '0-256-511-3x1-256-511-3x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:07', 'tile cached', 'undefined', '0-768-1023-3x1-256-511-3x5-0-29-1', 'Question / Hypothesis']
['p13', '00:02:07', 'tile cached', 'undefined', '0-0-255-3x1-256-511-3x5-0-29-1', 'Question / Hypothesis']
['p13', '00:02:07', 'tile cached', 'undefined', '0-256-511-3x1-256-511-3x5-0-29-1', 'Question / Hypothesis']
['p13', '00:02:07', 'tile cached', 'undefined', '0-1792-2047-4x1-512-767-4x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:07', 'tile cached', 'undefined', '0-1792-2047-4x1-768-1023-4x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:07', 'tile cached', 'undefined', '0-0-255-4x1-512-767-4x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:07', 'tile cached', 'undefined', '0-256-511-4x1-512-767-4x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:07', 'tile cached', 'undefined', '0-0-255-4x1-768-1023-4x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:07', 'tile cached', 'undefined', '0-256-511-4x1-768-1023-4x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:07', 'tile cached', 'undefined', '0-512-767-4x1-768-1023-4x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:07', 'tile cached', 'undefined', '0-512-767-4x1-512-767-4x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:07', 'tile cached', 'undefined', '0-768-1023-4x1-512-767-4x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:07', 'tile cached', 'undefined', '0-768-1023-4x1-768-1023-4x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:07', 'pan', 'geo-0-1', '-81', '-189', 'Question / Hypothesis']
['p13', '00:02:07', 'zoom', 'geo-0-1', '2', 'Question / Hypothesis']
