['p13', '00:00:16', 'pan', 'geo-0-1', '-1', '-1', 'Sensemaking']
['p13', '00:00:16', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p13', '00:00:16', 'pan', 'geo-0-1', '-1', '-2', 'Sensemaking']
['p13', '00:00:16', 'pan', 'geo-0-1', '-2', '-1', 'Sensemaking']
['p13', '00:00:16', 'pan', 'geo-0-1', '-1', '-1', 'Sensemaking']
['p13', '00:00:16', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p13', '00:00:16', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p13', '00:00:16', 'pan', 'geo-0-1', '-1', '1', 'Sensemaking']
['p13', '00:00:16', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p13', '00:00:16', 'pan', 'geo-0-1', '0', '1', 'Sensemaking']
['p13', '00:00:16', 'pan', 'geo-0-1', '-1', '1', 'Sensemaking']
['p13', '00:00:16', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p13', '00:00:16', 'pan', 'geo-0-1', '-1', '1', 'Sensemaking']
['p13', '00:00:16', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p13', '00:00:16', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p13', '00:00:16', 'pan', 'geo-0-1', '-1', '1', 'Sensemaking']
['p13', '00:00:16', 'pan', 'geo-0-1', '0', '1', 'Sensemaking']
['p13', '00:00:16', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p13', '00:00:18', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p13', '00:00:18', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p13', '00:00:18', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p13', '00:00:18', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p13', '00:00:18', 'pan', 'geo-0-1', '2', '1', 'Sensemaking']
['p13', '00:00:18', 'pan', 'geo-0-1', '4', '0', 'Sensemaking']
['p13', '00:00:18', 'pan', 'geo-0-1', '5', '0', 'Sensemaking']
['p13', '00:00:18', 'pan', 'geo-0-1', '6', '0', 'Sensemaking']
['p13', '00:00:18', 'pan', 'geo-0-1', '4', '0', 'Sensemaking']
['p13', '00:00:18', 'pan', 'geo-0-1', '9', '-1', 'Sensemaking']
['p13', '00:00:18', 'pan', 'geo-0-1', '3', '0', 'Sensemaking']
['p13', '00:00:18', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p13', '00:00:18', 'pan', 'geo-0-1', '3', '0', 'Sensemaking']
['p13', '00:00:18', 'pan', 'geo-0-1', '3', '-1', 'Sensemaking']
['p13', '00:00:18', 'pan', 'geo-0-1', '9', '-2', 'Sensemaking']
['p13', '00:00:18', 'pan', 'geo-0-1', '4', '0', 'Sensemaking']
['p13', '00:00:18', 'pan', 'geo-0-1', '3', '-1', 'Sensemaking']
['p13', '00:00:18', 'pan', 'geo-0-1', '4', '0', 'Sensemaking']
['p13', '00:00:18', 'pan', 'geo-0-1', '6', '-1', 'Sensemaking']
['p13', '00:00:18', 'pan', 'geo-0-1', '7', '0', 'Sensemaking']
['p13', '00:00:18', 'pan', 'geo-0-1', '5', '0', 'Sensemaking']
['p13', '00:00:18', 'pan', 'geo-0-1', '4', '-1', 'Sensemaking']
['p13', '00:00:18', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p13', '00:00:18', 'pan', 'geo-0-1', '2', '-1', 'Sensemaking']
['p13', '00:00:18', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p13', '00:00:18', 'pan', 'geo-0-1', '1', '-1', 'Sensemaking']
['p13', '00:00:18', 'pan', 'geo-0-1', '0', '-1', 'Sensemaking']
['p13', '00:00:18', 'pan', 'geo-0-1', '1', '-1', 'Sensemaking']
['p13', '00:00:18', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p13', '00:00:19', 'pan', 'geo-0-1', '0', '-1', 'Sensemaking']
['p13', '00:00:19', 'pan', 'geo-0-1', '1', '-1', 'Sensemaking']
['p13', '00:00:19', 'pan', 'geo-0-1', '2', '-2', 'Sensemaking']
['p13', '00:00:19', 'pan', 'geo-0-1', '1', '-1', 'Sensemaking']
['p13', '00:00:19', 'pan', 'geo-0-1', '2', '-4', 'Sensemaking']
['p13', '00:00:19', 'pan', 'geo-0-1', '1', '-1', 'Sensemaking']
['p13', '00:00:19', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p13', '00:00:19', 'pan', 'geo-0-1', '1', '-1', 'Sensemaking']
['p13', '00:00:19', 'pan', 'geo-0-1', '0', '-1', 'Sensemaking']
['p13', '00:00:19', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p13', '00:00:20', 'pan', 'geo-0-1', '0', '1', 'Sensemaking']
['p13', '00:00:20', 'pan', 'geo-0-1', '-1', '1', 'Sensemaking']
['p13', '00:00:20', 'pan', 'geo-0-1', '0', '1', 'Sensemaking']
['p13', '00:00:20', 'pan', 'geo-0-1', '-1', '2', 'Sensemaking']
['p13', '00:00:20', 'pan', 'geo-0-1', '0', '3', 'Sensemaking']
