time, action, visualization
0:00:00,brush,hist-4
0:00:00,brush,hist-3
0:00:00,brush,hist-2
0:00:17,brush,hist-3
0:00:42,brush,hist-2
0:01:55,brush,hist-3
0:01:57,pan,geo-0-1
0:02:00,zoom,geo-0-1
0:02:00,pan,geo-0-1
0:02:01,zoom,geo-0-1
0:02:01,pan,geo-0-1
0:02:02,brush,hist-3
0:02:06,brush,hist-2
0:02:48,pan,geo-0-1
0:02:48,zoom,geo-0-1
0:02:48,pan,geo-0-1
0:02:49,zoom,geo-0-1
0:02:49,pan,geo-0-1
0:02:53,brush,hist-3
0:02:57,brush,hist-4
0:04:18,brush,hist-3
0:04:41,pan,geo-0-1
0:04:42,zoom,geo-0-1
0:04:42,pan,geo-0-1
0:04:45,zoom,geo-0-1
0:04:45,pan,geo-0-1
0:04:52,range select,geo-0-1
0:05:18,brush,hist-4
0:05:20,pan,geo-0-1
0:05:30,range select,geo-0-1
0:05:36,pan,geo-0-1
0:05:40,range select,geo-0-1
0:05:54,pan,geo-0-1
0:05:59,range select,geo-0-1
0:06:07,brush,hist-4
0:06:10,brush,bar-5
0:06:11,pan,geo-0-1
0:06:11,zoom,geo-0-1
0:06:11,pan,geo-0-1
0:06:12,zoom,geo-0-1
0:06:12,pan,geo-0-1
0:06:16,range select,geo-0-1
0:06:43,brush,hist-4
0:06:45,pan,geo-0-1
0:07:45,brush,hist-3
0:07:45,brush,hist-4
0:07:47,brush,bar-5
0:10:50,range select,bar-5
0:11:20,brush,bar-5
0:11:21,range select,bar-5
0:15:50,brush,hist-4
0:17:15,brush,hist-3
0:17:16,brush,hist-4
0:17:17,pan,geo-0-1
0:17:23,brush,hist-2
0:17:53,brush,hist-3
0:17:54,pan,geo-0-1
0:17:54,brush,hist-3
0:17:54,pan,geo-0-1
0:17:54,brush,hist-3
0:17:54,pan,geo-0-1
0:17:54,brush,hist-3
0:17:54,pan,geo-0-1
0:17:54,brush,hist-3
0:17:55,pan,geo-0-1
0:17:55,brush,hist-3
0:17:55,pan,geo-0-1
0:17:55,brush,hist-3
0:17:55,pan,geo-0-1
0:17:55,brush,hist-3
0:17:55,pan,geo-0-1
0:17:55,brush,hist-3
0:17:55,pan,geo-0-1
0:17:55,brush,hist-3
0:17:55,pan,geo-0-1
0:17:55,brush,hist-3
0:17:55,pan,geo-0-1
0:17:55,brush,hist-3
0:17:55,pan,geo-0-1
0:17:56,brush,hist-3
0:17:56,pan,geo-0-1
0:17:56,brush,hist-3
0:17:56,pan,geo-0-1
0:17:56,brush,hist-3
0:17:56,pan,geo-0-1
0:17:56,brush,hist-3
0:17:56,pan,geo-0-1
0:17:56,brush,hist-3
0:17:56,pan,geo-0-1
0:17:56,brush,hist-3
0:17:56,pan,geo-0-1
0:17:56,brush,hist-3
0:17:56,pan,geo-0-1
0:17:56,brush,hist-3
0:17:56,pan,geo-0-1
0:17:56,brush,hist-3
0:17:56,pan,geo-0-1
0:17:56,brush,hist-3
0:17:58,pan,geo-0-1
0:18:03,brush,hist-3
0:18:04,brush,hist-2
0:18:20,brush,hist-3
0:18:20,pan,geo-0-1
0:18:23,brush,hist-3
0:18:24,brush,hist-4
0:18:33,brush,bar-5
0:19:04,brush,hist-3
0:19:15,range select,geo-0-1
0:19:39,brush,bar-5
0:20:57,range select,geo-0-1
0:21:04,pan,geo-0-1
0:21:06,zoom,geo-0-1
0:21:06,pan,geo-0-1
0:21:09,zoom,geo-0-1
0:21:09,pan,geo-0-1
0:21:10,zoom,geo-0-1
0:21:10,pan,geo-0-1
0:21:15,zoom,geo-0-1
0:21:15,pan,geo-0-1
0:21:21,range select,bar-5
0:22:07,pan,geo-0-1
0:22:07,zoom,geo-0-1
0:22:08,pan,geo-0-1
0:22:08,zoom,geo-0-1
0:22:08,pan,geo-0-1
0:22:09,zoom,geo-0-1
0:22:09,pan,geo-0-1
0:22:10,zoom,geo-0-1
0:22:10,pan,geo-0-1
0:22:25,brush,hist-2
0:22:25,brush,hist-3
0:22:37,brush,hist-2
0:22:45,brush,hist-3
0:22:47,pan,geo-0-1
0:23:05,zoom,geo-0-1
0:23:05,pan,geo-0-1
0:23:06,zoom,geo-0-1
0:23:06,pan,geo-0-1
0:23:13,range select,geo-0-1
0:23:31,brush,hist-2
0:23:36,range select,geo-0-1
0:24:10,brush,hist-3
0:24:10,brush,hist-2
0:24:24,brush,hist-3
0:24:24,brush,bar-5
0:24:38,brush,hist-2
0:24:52,brush,hist-3
0:24:54,pan,geo-0-1
0:24:54,zoom,geo-0-1
0:24:54,pan,geo-0-1
0:24:56,zoom,geo-0-1
0:24:56,pan,geo-0-1
0:24:58,brush,hist-3
0:24:59,brush,hist-2
0:25:46,brush,hist-4
0:25:50,brush,bar-5
0:26:07,brush,hist-3
0:26:08,brush,hist-2
0:29:15,brush,hist-3
0:29:44,pan,geo-0-1
0:29:45,brush,hist-3
0:30:10,brush,hist-2
0:30:19,range select,hist-2
0:30:55,brush,hist-4
0:30:55,brush,hist-3
0:32:05,brush,bar-5
0:32:06,range select,bar-5
