time, action, visualization
0:00:00,pan,geo-0-1
0:00:20,zoom,geo-0-1
0:00:20,pan,geo-0-1
0:00:30,zoom,geo-0-1
0:00:30,pan,geo-0-1
0:00:47,zoom,geo-0-1
0:00:47,pan,geo-0-1
0:00:49,zoom,geo-0-1
0:00:49,pan,geo-0-1
0:00:53,brush,bar-5
0:00:55,brush,hist-4
0:01:38,brush,hist-3
0:01:46,brush,hist-2
0:01:50,brush,hist-3
0:01:52,brush,hist-2
0:02:05,range select,hist-2
0:02:08,range select,bar-5
0:02:12,range select,hist-2
0:02:35,pan,geo-0-1
0:03:06,zoom,geo-0-1
0:03:06,pan,geo-0-1
0:03:08,zoom,geo-0-1
0:03:08,pan,geo-0-1
0:03:15,zoom,geo-0-1
0:03:15,pan,geo-0-1
0:03:16,zoom,geo-0-1
0:03:16,pan,geo-0-1
0:03:23,zoom,geo-0-1
0:03:23,pan,geo-0-1
0:03:25,zoom,geo-0-1
0:03:25,pan,geo-0-1
0:03:28,zoom,geo-0-1
0:03:28,pan,geo-0-1
0:03:32,zoom,geo-0-1
0:03:32,pan,geo-0-1
0:03:35,range select,geo-0-1
0:04:04,pan,geo-0-1
0:04:04,zoom,geo-0-1
0:04:04,pan,geo-0-1
0:04:06,zoom,geo-0-1
0:04:06,pan,geo-0-1
0:04:08,range select,geo-0-1
0:04:14,pan,geo-0-1
0:04:16,range select,geo-0-1
0:04:33,range select,bar-5
0:04:36,pan,geo-0-1
0:04:36,zoom,geo-0-1
0:04:36,pan,geo-0-1
0:04:37,zoom,geo-0-1
0:04:38,pan,geo-0-1
0:04:38,zoom,geo-0-1
0:04:38,pan,geo-0-1
0:04:42,zoom,geo-0-1
0:04:42,pan,geo-0-1
0:04:43,zoom,geo-0-1
0:04:43,pan,geo-0-1
0:04:44,zoom,geo-0-1
0:04:44,pan,geo-0-1
0:04:45,zoom,geo-0-1
0:04:45,pan,geo-0-1
0:04:47,zoom,geo-0-1
0:04:47,pan,geo-0-1
0:04:58,brush,bar-5
0:05:00,pan,geo-0-1
0:05:10,brush,hist-3
0:05:11,brush,hist-4
0:05:15,pan,geo-0-1
0:05:16,brush,hist-4
0:05:23,pan,geo-0-1
0:05:24,brush,hist-4
0:05:28,pan,geo-0-1
0:05:31,zoom,geo-0-1
0:05:31,pan,geo-0-1
0:05:32,zoom,geo-0-1
0:05:32,pan,geo-0-1
0:05:35,zoom,geo-0-1
0:05:35,pan,geo-0-1
0:05:41,range select,geo-0-1
0:06:19,pan,geo-0-1
0:06:20,zoom,geo-0-1
0:06:20,pan,geo-0-1
0:06:20,zoom,geo-0-1
0:06:20,pan,geo-0-1
0:06:21,zoom,geo-0-1
0:06:21,pan,geo-0-1
0:06:27,brush,hist-3
0:06:32,pan,geo-0-1
0:06:35,brush,hist-3
0:06:36,brush,hist-4
0:06:53,pan,geo-0-1
0:06:53,zoom,geo-0-1
0:06:53,pan,geo-0-1
0:06:56,brush,hist-4
0:06:59,pan,geo-0-1
0:07:03,range select,geo-0-1
0:07:08,pan,geo-0-1
0:07:10,range select,geo-0-1
0:07:15,brush,bar-5
0:07:17,pan,geo-0-1
0:07:17,zoom,geo-0-1
0:07:17,pan,geo-0-1
0:07:18,range select,geo-0-1
0:07:33,pan,geo-0-1
0:07:36,zoom,geo-0-1
0:07:36,pan,geo-0-1
0:07:37,zoom,geo-0-1
0:07:37,pan,geo-0-1
0:07:39,range select,geo-0-1
0:07:46,pan,geo-0-1
0:07:47,zoom,geo-0-1
0:07:47,pan,geo-0-1
0:07:48,zoom,geo-0-1
0:07:48,pan,geo-0-1
0:07:48,zoom,geo-0-1
0:07:48,pan,geo-0-1
0:07:56,zoom,geo-0-1
0:07:56,pan,geo-0-1
0:07:58,zoom,geo-0-1
0:07:58,pan,geo-0-1
0:07:59,zoom,geo-0-1
0:07:59,pan,geo-0-1
0:08:03,zoom,geo-0-1
0:08:03,pan,geo-0-1
0:08:08,range select,geo-0-1
0:08:20,brush,bar-5
0:08:22,pan,geo-0-1
0:08:22,zoom,geo-0-1
0:08:22,pan,geo-0-1
0:08:30,zoom,geo-0-1
0:08:30,pan,geo-0-1
0:08:40,zoom,geo-0-1
0:08:40,pan,geo-0-1
0:08:43,zoom,geo-0-1
0:08:43,pan,geo-0-1
0:08:46,zoom,geo-0-1
0:08:46,pan,geo-0-1
0:08:47,zoom,geo-0-1
0:08:47,pan,geo-0-1
0:08:48,zoom,geo-0-1
0:08:48,pan,geo-0-1
0:08:52,zoom,geo-0-1
0:08:52,pan,geo-0-1
0:08:56,zoom,geo-0-1
0:08:56,pan,geo-0-1
0:09:05,zoom,geo-0-1
0:09:05,pan,geo-0-1
0:09:08,zoom,geo-0-1
0:09:08,pan,geo-0-1
0:09:23,zoom,geo-0-1
0:09:23,pan,geo-0-1
0:09:26,zoom,geo-0-1
0:09:26,pan,geo-0-1
0:09:29,zoom,geo-0-1
0:09:29,pan,geo-0-1
0:09:48,zoom,geo-0-1
0:09:48,pan,geo-0-1
0:09:49,zoom,geo-0-1
0:09:49,pan,geo-0-1
0:09:52,zoom,geo-0-1
0:09:52,pan,geo-0-1
0:09:57,range select,geo-0-1
0:10:12,pan,geo-0-1
0:10:13,zoom,geo-0-1
0:10:13,pan,geo-0-1
0:10:13,zoom,geo-0-1
0:10:13,pan,geo-0-1
0:10:15,zoom,geo-0-1
0:10:15,pan,geo-0-1
0:10:18,brush,bar-5
0:10:21,pan,geo-0-1
0:10:58,brush,hist-4
0:11:00,pan,geo-0-1
0:11:44,zoom,geo-0-1
0:11:44,pan,geo-0-1
0:12:01,zoom,geo-0-1
0:12:01,pan,geo-0-1
0:12:03,zoom,geo-0-1
0:12:03,pan,geo-0-1
0:12:06,brush,bar-5
0:12:07,range select,bar-5
0:12:07,pan,geo-0-1
0:12:27,zoom,geo-0-1
0:12:27,pan,geo-0-1
0:12:31,zoom,geo-0-1
0:12:31,pan,geo-0-1
0:12:34,zoom,geo-0-1
0:12:34,pan,geo-0-1
0:12:34,zoom,geo-0-1
0:12:34,pan,geo-0-1
0:13:20,range select,bar-5
0:13:21,pan,geo-0-1
0:14:05,range select,bar-5
0:14:26,range select,hist-4
0:14:28,range select,bar-5
0:14:29,pan,geo-0-1
0:14:49,range select,bar-5
0:14:52,pan,geo-0-1
0:15:02,range select,bar-5
0:15:05,pan,geo-0-1
0:15:08,range select,bar-5
0:15:37,pan,geo-0-1
0:15:43,range select,bar-5
0:16:56,pan,geo-0-1
0:16:58,range select,bar-5
0:17:00,pan,geo-0-1
0:17:04,range select,bar-5
0:17:15,pan,geo-0-1
0:17:36,zoom,geo-0-1
0:17:36,pan,geo-0-1
0:17:37,zoom,geo-0-1
0:17:37,pan,geo-0-1
0:17:41,range select,geo-0-1
0:17:48,pan,geo-0-1
0:17:48,zoom,geo-0-1
0:17:48,pan,geo-0-1
0:17:50,zoom,geo-0-1
0:17:50,pan,geo-0-1
0:17:51,range select,geo-0-1
0:18:04,range select,hist-2
0:18:19,range select,geo-0-1
0:18:26,range select,hist-2
0:18:34,pan,geo-0-1
0:18:36,range select,geo-0-1
0:18:46,range select,hist-2
0:18:51,range select,hist-3
0:18:53,range select,hist-2
0:18:57,pan,geo-0-1
0:18:59,range select,geo-0-1
0:19:06,pan,geo-0-1
0:19:14,brush,bar-5
0:19:22,range select,bar-5
0:19:39,brush,bar-5
0:19:40,pan,geo-0-1
0:19:45,range select,geo-0-1
0:20:01,pan,geo-0-1
0:20:09,zoom,geo-0-1
0:20:09,pan,geo-0-1
0:20:09,zoom,geo-0-1
0:20:09,pan,geo-0-1
0:20:12,range select,geo-0-1
0:20:32,range select,hist-2
0:20:34,brush,hist-4
0:20:34,brush,hist-3
0:20:35,brush,hist-2
0:20:35,brush,hist-3
0:21:19,brush,hist-4
0:21:20,brush,hist-2
0:21:21,brush,hist-3
0:21:23,pan,geo-0-1
0:21:23,zoom,geo-0-1
0:21:23,pan,geo-0-1
0:21:23,zoom,geo-0-1
0:21:23,pan,geo-0-1
0:21:33,zoom,geo-0-1
0:21:33,pan,geo-0-1
0:21:36,zoom,geo-0-1
0:21:36,pan,geo-0-1
0:21:41,range select,geo-0-1
0:21:48,pan,geo-0-1
0:21:51,zoom,geo-0-1
0:21:51,pan,geo-0-1
0:21:52,zoom,geo-0-1
0:21:52,pan,geo-0-1
0:22:01,zoom,geo-0-1
0:22:01,pan,geo-0-1
0:22:23,zoom,geo-0-1
0:22:23,pan,geo-0-1
0:22:55,zoom,geo-0-1
0:22:55,pan,geo-0-1
0:22:56,zoom,geo-0-1
0:22:56,pan,geo-0-1
0:23:10,zoom,geo-0-1
0:23:10,pan,geo-0-1
0:23:11,zoom,geo-0-1
0:23:11,pan,geo-0-1
0:23:14,zoom,geo-0-1
0:23:14,pan,geo-0-1
0:23:23,zoom,geo-0-1
0:23:23,pan,geo-0-1
0:23:48,zoom,geo-0-1
0:23:48,pan,geo-0-1
0:23:52,zoom,geo-0-1
0:23:52,pan,geo-0-1
0:23:53,zoom,geo-0-1
0:23:53,pan,geo-0-1
0:24:21,range select,geo-0-1
0:24:36,pan,geo-0-1
0:24:40,zoom,geo-0-1
0:24:40,pan,geo-0-1
0:24:42,zoom,geo-0-1
0:24:42,pan,geo-0-1
0:24:47,zoom,geo-0-1
