time, action, visualization
0:00:00,brush,bar-5
0:00:09,range select,bar-5
0:00:12,pan,geo-0-1
0:00:39,zoom,geo-0-1
0:00:39,pan,geo-0-1
0:00:40,zoom,geo-0-1
0:00:40,pan,geo-0-1
0:00:43,zoom,geo-0-1
0:00:43,pan,geo-0-1
0:00:44,zoom,geo-0-1
0:00:44,pan,geo-0-1
0:00:46,zoom,geo-0-1
0:00:46,pan,geo-0-1
0:00:49,zoom,geo-0-1
0:00:49,pan,geo-0-1
0:00:52,zoom,geo-0-1
0:00:52,pan,geo-0-1
0:01:20,zoom,geo-0-1
0:01:20,pan,geo-0-1
0:01:20,zoom,geo-0-1
0:01:20,pan,geo-0-1
0:01:21,zoom,geo-0-1
0:01:21,pan,geo-0-1
0:01:22,zoom,geo-0-1
0:01:22,pan,geo-0-1
0:01:23,zoom,geo-0-1
0:01:23,pan,geo-0-1
0:01:23,zoom,geo-0-1
0:01:23,pan,geo-0-1
0:01:24,zoom,geo-0-1
0:01:24,pan,geo-0-1
0:01:30,range select,bar-5
0:01:44,pan,geo-0-1
0:01:48,zoom,geo-0-1
0:01:48,pan,geo-0-1
0:01:52,zoom,geo-0-1
0:01:52,pan,geo-0-1
0:01:54,zoom,geo-0-1
0:01:54,pan,geo-0-1
0:01:57,zoom,geo-0-1
0:01:57,pan,geo-0-1
0:01:59,zoom,geo-0-1
0:01:59,pan,geo-0-1
0:02:00,zoom,geo-0-1
0:02:00,pan,geo-0-1
0:02:02,zoom,geo-0-1
0:02:02,pan,geo-0-1
0:02:19,zoom,geo-0-1
0:02:19,pan,geo-0-1
0:02:20,zoom,geo-0-1
0:02:20,pan,geo-0-1
0:02:21,zoom,geo-0-1
0:02:21,pan,geo-0-1
0:02:21,zoom,geo-0-1
0:02:21,pan,geo-0-1
0:02:23,zoom,geo-0-1
0:02:23,pan,geo-0-1
0:02:23,zoom,geo-0-1
0:02:23,pan,geo-0-1
0:02:24,zoom,geo-0-1
0:02:24,pan,geo-0-1
0:02:26,range select,bar-5
0:03:23,pan,geo-0-1
0:03:53,range select,bar-5
0:03:54,pan,geo-0-1
0:04:02,range select,bar-5
0:05:10,brush,hist-4
0:05:56,brush,hist-3
0:06:21,brush,hist-2
0:06:43,range select,hist-2
0:06:48,range select,geo-0-1
0:07:10,pan,geo-0-1
0:07:10,zoom,geo-0-1
0:07:10,pan,geo-0-1
0:07:14,zoom,geo-0-1
