1380140464188, pan, geo-0-1
1380140476149, brush, bar-5
1380140504615, brush, hist-3
1380140506330, brush, hist-2
1380140533585, brush, hist-3
1380140554884, brush, hist-4
1380140555063, brush, hist-3
1380140555786, brush, hist-2
1380140555868, brush, hist-3
1380140557870, brush, hist-4
1380140558720, brush, bar-5
1380140559852, brush, hist-3
1380140594908, brush, hist-2
1380140602331, range select, hist-2
1380140723976, range select, bar-5
1380140753648, pan, geo-0-1
1380140781971, range select, geo-0-1
1380140785751, range select, bar-5
1380140788766, pan, geo-0-1
1380140789131, zoom, geo-0-1
1380140789140, pan, geo-0-1
1380140790422, zoom, geo-0-1
1380140790429, pan, geo-0-1
1380140817557, zoom, geo-0-1
1380140817566, pan, geo-0-1
1380140818367, zoom, geo-0-1
1380140818374, pan, geo-0-1
1380140994119, zoom, geo-0-1
1380140994162, pan, geo-0-1
1380140995401, zoom, geo-0-1
1380140995444, pan, geo-0-1
1380140998733, zoom, geo-0-1
1380140998747, pan, geo-0-1
1380141001833, zoom, geo-0-1
1380141001847, pan, geo-0-1
1380141006124, zoom, geo-0-1
1380141006132, pan, geo-0-1
1380141011415, zoom, geo-0-1
1380141011423, pan, geo-0-1
1380141017751, zoom, geo-0-1
1380141017759, pan, geo-0-1
1380141030405, zoom, geo-0-1
1380141030413, pan, geo-0-1
1380141031428, zoom, geo-0-1
1380141031437, pan, geo-0-1
1380141053854, zoom, geo-0-1
1380141053867, pan, geo-0-1
1380141054386, zoom, geo-0-1
1380141054394, pan, geo-0-1
1380141055246, zoom, geo-0-1
1380141055253, pan, geo-0-1
1380141057007, zoom, geo-0-1
1380141057015, pan, geo-0-1
1380141061357, zoom, geo-0-1
1380141061364, pan, geo-0-1
1380141065214, range select, geo-0-1
1380141066982, pan, geo-0-1
1380141068642, range select, bar-5
1380141071466, pan, geo-0-1
1380141071549, zoom, geo-0-1
1380141071556, pan, geo-0-1
1380141072196, zoom, geo-0-1
1380141072204, pan, geo-0-1
1380141074263, zoom, geo-0-1
1380141074272, pan, geo-0-1
1380141075120, zoom, geo-0-1
1380141075129, pan, geo-0-1
1380141078110, zoom, geo-0-1
1380141078120, pan, geo-0-1
1380141082451, zoom, geo-0-1
1380141082459, pan, geo-0-1
1380141088383, zoom, geo-0-1
1380141088394, pan, geo-0-1
1380141088888, zoom, geo-0-1
1380141088897, pan, geo-0-1
