1379186398783, range select, bar-5
1379186427065, pan, geo-0-1
1379186433341, range select, bar-5
1379186506018, pan, geo-0-1
1379186508014, range select, bar-5
1379186510179, pan, geo-0-1
1379186514862, range select, bar-5
1379186525829, pan, geo-0-1
1379186546229, zoom, geo-0-1
1379186546237, pan, geo-0-1
1379186546913, zoom, geo-0-1
1379186546927, pan, geo-0-1
1379186551241, range select, geo-0-1
1379186558229, pan, geo-0-1
1379186558264, zoom, geo-0-1
1379186558272, pan, geo-0-1
1379186560305, zoom, geo-0-1
1379186560310, pan, geo-0-1
1379186561765, range select, geo-0-1
1379186574863, range select, hist-2
1379186589251, range select, geo-0-1
1379186596038, range select, hist-2
1379186604712, pan, geo-0-1
1379186606053, range select, geo-0-1
1379186616807, range select, hist-2
1379186621674, range select, hist-3
1379186623381, range select, hist-2
1379186627212, pan, geo-0-1
1379186629290, range select, geo-0-1
1379186635914, pan, geo-0-1
1379186644159, brush, bar-5
1379186652798, range select, bar-5
1379186669610, brush, bar-5
1379186670055, pan, geo-0-1
1379186675313, range select, geo-0-1
1379186691088, pan, geo-0-1
1379186699239, zoom, geo-0-1
1379186699248, pan, geo-0-1
1379186699820, zoom, geo-0-1
1379186699828, pan, geo-0-1
1379186702542, range select, geo-0-1
1379186722669, range select, hist-2
1379186724351, brush, hist-4
1379186724577, brush, hist-3
1379186725250, brush, hist-2
1379186725551, brush, hist-3
1379186769208, brush, hist-4
1379186770892, brush, hist-2
1379186771525, brush, hist-3
1379186772984, pan, geo-0-1
1379186773050, zoom, geo-0-1
1379186773057, pan, geo-0-1
1379186773823, zoom, geo-0-1
1379186773831, pan, geo-0-1
1379186782979, zoom, geo-0-1
1379186782987, pan, geo-0-1
1379186786773, zoom, geo-0-1
1379186786788, pan, geo-0-1
1379186791041, range select, geo-0-1
1379186797992, pan, geo-0-1
1379186801214, zoom, geo-0-1
1379186801228, pan, geo-0-1
1379186802019, zoom, geo-0-1
1379186802027, pan, geo-0-1
1379186811450, zoom, geo-0-1
1379186811464, pan, geo-0-1
1379186833203, zoom, geo-0-1
1379186833216, pan, geo-0-1
1379186865445, zoom, geo-0-1
1379186865457, pan, geo-0-1
1379186866084, zoom, geo-0-1
1379186866094, pan, geo-0-1
1379186880382, zoom, geo-0-1
1379186880391, pan, geo-0-1
1379186881447, zoom, geo-0-1
1379186881457, pan, geo-0-1
1379186883945, zoom, geo-0-1
