['p9', '00:04:51', 'pan', 'geo-0-1', '-3', '3', 'Exploration']
['p9', '00:04:51', 'pan', 'geo-0-1', '-4', '5', 'Exploration']
['p9', '00:04:51', 'pan', 'geo-0-1', '-6', '5', 'Exploration']
['p9', '00:04:51', 'pan', 'geo-0-1', '-5', '4', 'Exploration']
['p9', '00:04:51', 'pan', 'geo-0-1', '-4', '5', 'Exploration']
['p9', '00:04:51', 'pan', 'geo-0-1', '-8', '11', 'Exploration']
['p9', '00:04:51', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p9', '00:04:53', 'pan', 'geo-0-1', '-1', '0', 'Exploration']
['p9', '00:04:53', 'pan', 'geo-0-1', '-6', '-2', 'Exploration']
['p9', '00:04:53', 'pan', 'geo-0-1', '-11', '-2', 'Exploration']
['p9', '00:04:53', 'pan', 'geo-0-1', '-31', '-6', 'Exploration']
['p9', '00:04:53', 'pan', 'geo-0-1', '-26', '-3', 'Exploration']
['p9', '00:04:53', 'pan', 'geo-0-1', '-73', '7', 'Exploration']
['p9', '00:04:54', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p9', '00:04:58', 'range select', 'bar-5', '5-7-7-1_', 'Sensemaking']
['p9', '00:04:59', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p9', '00:04:59', 'pan', 'geo-0-1', '18', '-2', 'Exploration']
['p9', '00:04:59', 'pan', 'geo-0-1', '57', '-2', 'Exploration']
['p9', '00:04:59', 'pan', 'geo-0-1', '27', '-1', 'Exploration']
['p9', '00:04:59', 'pan', 'geo-0-1', '36', '-2', 'Exploration']
['p9', '00:05:00', 'pan', 'geo-0-1', '11', '0', 'Exploration']
['p9', '00:05:00', 'pan', 'geo-0-1', '9', '0', 'Exploration']
['p9', '00:05:00', 'pan', 'geo-0-1', '4', '0', 'Exploration']
['p9', '00:05:00', 'pan', 'geo-0-1', '27', '-4', 'Exploration']
['p9', '00:05:00', 'pan', 'geo-0-1', '4', '-1', 'Exploration']
['p9', '00:05:00', 'pan', 'geo-0-1', '7', '-2', 'Exploration']
['p9', '00:05:00', 'pan', 'geo-0-1', '1', '0', 'Exploration']
