['p9', '00:06:31', 'brush', 'hist-4', '4-21-21-0_', 'Sensemaking']
['p9', '00:06:32', 'brush', 'hist-4', '4-20-20-0_', 'Sensemaking']
['p9', '00:06:32', 'brush', 'hist-4', '4-19-19-0_', 'Sensemaking']
['p9', '00:06:32', 'brush', 'hist-4', '4-18-18-0_', 'Sensemaking']
['p9', '00:06:32', 'brush', 'hist-4', '4-17-17-0_', 'Sensemaking']
['p9', '00:06:32', 'brush', 'hist-4', '4-16-16-0_', 'Sensemaking']
['p9', '00:06:32', 'brush', 'hist-4', '4-15-15-0_', 'Sensemaking']
['p9', '00:06:32', 'brush', 'hist-4', '4-14-14-0_', 'Sensemaking']
['p9', '00:06:33', 'brush', 'hist-4', '4-13-13-0_', 'Sensemaking']
['p9', '00:06:33', 'brush', 'hist-4', '4-12-12-0_', 'Sensemaking']
['p9', '00:06:33', 'brush', 'hist-4', '4-11-11-0_', 'Sensemaking']
['p9', '00:06:33', 'brush', 'hist-4', '4-10-10-0_', 'Sensemaking']
['p9', '00:06:33', 'brush', 'hist-4', '4-9-9-0_', 'Sensemaking']
['p9', '00:06:33', 'brush', 'hist-4', '4-8-8-0_', 'Sensemaking']
['p9', '00:06:33', 'brush', 'hist-4', '4-7-7-0_', 'Sensemaking']
['p9', '00:06:33', 'brush', 'hist-4', '4-6-6-0_', 'Sensemaking']
['p9', '00:06:33', 'brush', 'hist-4', '4-5-5-0_', 'Sensemaking']
['p9', '00:06:34', 'brush', 'hist-4', '4-4-4-0_', 'Sensemaking']
['p9', '00:06:34', 'brush', 'hist-4', '4-3-3-0_', 'Sensemaking']
['p9', '00:06:34', 'brush', 'hist-4', '4-2-2-0_', 'Sensemaking']
['p9', '00:06:34', 'brush', 'hist-4', '4-1-1-0_', 'Sensemaking']
['p9', '00:06:35', 'brush', 'hist-4', '4-0-0-0_', 'Sensemaking']
['p9', '00:06:35', 'clear', 'undefined', 'undefined', 'Sensemaking']
['p9', '00:06:35', 'brush', 'hist-4', '4-0-0-0_', 'Sensemaking']
['p9', '00:06:35', 'brush', 'hist-4', '4-1-1-0_', 'Sensemaking']
['p9', '00:06:35', 'brush', 'hist-4', '4-2-2-0_', 'Sensemaking']
['p9', '00:06:36', 'brush', 'hist-4', '4-1-1-0_', 'Sensemaking']
['p9', '00:06:36', 'brush', 'hist-4', '4-0-0-0_', 'Sensemaking']
['p9', '00:06:37', 'clear', 'undefined', 'undefined', 'Sensemaking']
['p9', '00:06:37', 'brush', 'hist-4', '4-0-0-0_', 'Sensemaking']
['p9', '00:06:37', 'brush', 'hist-4', '4-1-1-0_', 'Sensemaking']
['p9', '00:06:37', 'brush', 'hist-4', '4-2-2-0_', 'Sensemaking']
['p9', '00:06:38', 'brush', 'hist-4', '4-1-1-0_', 'Sensemaking']
['p9', '00:06:39', 'brush', 'hist-4', '4-2-2-0_', 'Sensemaking']
['p9', '00:06:39', 'brush', 'hist-4', '4-3-3-0_', 'Sensemaking']
['p9', '00:06:39', 'brush', 'hist-4', '4-4-4-0_', 'Sensemaking']
