['p9', '00:00:20', 'clear', 'undefined', 'undefined', 'Exploration']
['p9', '00:01:21', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p9', '00:01:21', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p9', '00:01:21', 'pan', 'geo-0-1', '0', '-1', 'Sensemaking']
['p9', '00:01:21', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p9', '00:01:21', 'pan', 'geo-0-1', '-1', '-1', 'Sensemaking']
['p9', '00:01:21', 'pan', 'geo-0-1', '-2', '-1', 'Sensemaking']
['p9', '00:01:21', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p9', '00:01:21', 'pan', 'geo-0-1', '-3', '0', 'Sensemaking']
['p9', '00:01:21', 'pan', 'geo-0-1', '-4', '0', 'Sensemaking']
['p9', '00:01:21', 'pan', 'geo-0-1', '-4', '-1', 'Sensemaking']
['p9', '00:01:21', 'pan', 'geo-0-1', '-3', '0', 'Sensemaking']
['p9', '00:01:21', 'pan', 'geo-0-1', '-4', '0', 'Sensemaking']
['p9', '00:01:23', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p9', '00:01:44', 'pan', 'geo-0-1', '155', '172', 'Sensemaking']
['p9', '00:01:45', 'zoom', 'geo-0-1', '3', 'Sensemaking']
['p9', '00:01:45', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p9', '00:01:45', 'tile cached', 'undefined', '0-768-1023-3x1-768-1023-3x4-0-23-0', 'Sensemaking']
['p9', '00:01:45', 'tile cached', 'undefined', '0-0-255-3x1-768-1023-3x4-0-23-0', 'Sensemaking']
['p9', '00:01:45', 'tile cached', 'undefined', '0-256-511-3x1-768-1023-3x4-0-23-0', 'Exploration']
['p9', '00:01:45', 'tile cached', 'undefined', '0-512-767-3x1-768-1023-3x4-0-23-0', 'Exploration']
['p9', '00:01:45', 'tile cached', 'undefined', '0-768-1023-3x1-256-511-3x5-0-29-1', 'Exploration']
['p9', '00:01:45', 'tile cached', 'undefined', '0-768-1023-3x1-512-767-3x5-0-29-1', 'Exploration']
['p9', '00:01:45', 'tile cached', 'undefined', '0-0-255-3x1-512-767-3x5-0-29-1', 'Exploration']
['p9', '00:01:45', 'tile cached', 'undefined', '0-0-255-3x1-256-511-3x5-0-29-1', 'Exploration']
['p9', '00:01:45', 'tile cached', 'undefined', '0-256-511-3x1-256-511-3x5-0-29-1', 'Exploration']
['p9', '00:01:45', 'tile cached', 'undefined', '0-768-1023-3x1-256-511-3x2-0-11-0', 'Exploration']
['p9', '00:01:45', 'tile cached', 'undefined', '0-256-511-3x1-512-767-3x5-0-29-1', 'Exploration']
['p9', '00:01:45', 'tile cached', 'undefined', '0-768-1023-3x1-512-767-3x2-0-11-0', 'Exploration']
['p9', '00:01:45', 'tile cached', 'undefined', '0-0-255-3x1-256-511-3x2-0-11-0', 'Exploration']
['p9', '00:01:45', 'tile cached', 'undefined', '0-0-255-3x1-512-767-3x2-0-11-0', 'Exploration']
['p9', '00:01:45', 'tile cached', 'undefined', '0-256-511-3x1-512-767-3x2-0-11-0', 'Exploration']
['p9', '00:01:45', 'tile cached', 'undefined', '0-256-511-3x1-256-511-3x2-0-11-0', 'Exploration']
['p9', '00:01:45', 'tile cached', 'undefined', '0-768-1023-3x1-256-511-3x3-0-30-0', 'Exploration']
['p9', '00:01:45', 'tile cached', 'undefined', '0-768-1023-3x1-512-767-3x3-0-30-0', 'Exploration']
['p9', '00:01:45', 'tile cached', 'undefined', '0-0-255-3x1-512-767-3x3-0-30-0', 'Exploration']
['p9', '00:01:45', 'tile cached', 'undefined', '0-256-511-3x1-512-767-3x3-0-30-0', 'Exploration']
['p9', '00:01:45', 'tile cached', 'undefined', '0-0-255-3x1-256-511-3x3-0-30-0', 'Exploration']
['p9', '00:01:45', 'tile cached', 'undefined', '0-256-511-3x1-256-511-3x3-0-30-0', 'Exploration']
['p9', '00:01:45', 'tile cached', 'undefined', '0-768-1023-3x1-256-511-3x4-0-23-0', 'Exploration']
['p9', '00:01:45', 'tile cached', 'undefined', '0-768-1023-3x1-512-767-3x4-0-23-0', 'Exploration']
['p9', '00:01:45', 'tile cached', 'undefined', '0-0-255-3x1-256-511-3x4-0-23-0', 'Exploration']
