['p17', '00:19:20', 'pan', 'geo-0-1', '-9', '3', 'Sensemaking']
['p17', '00:19:20', 'pan', 'geo-0-1', '-17', '5', 'Sensemaking']
['p17', '00:19:20', 'pan', 'geo-0-1', '-18', '4', 'Sensemaking']
['p17', '00:19:20', 'pan', 'geo-0-1', '-16', '4', 'Sensemaking']
['p17', '00:19:20', 'pan', 'geo-0-1', '-7', '2', 'Sensemaking']
['p17', '00:19:20', 'pan', 'geo-0-1', '-3', '1', 'Sensemaking']
['p17', '00:19:21', 'pan', 'geo-0-1', '-1', '1', 'Sensemaking']
['p17', '00:19:21', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p17', '00:19:22', 'pan', 'geo-0-1', '2', '3', 'Sensemaking']
['p17', '00:19:22', 'pan', 'geo-0-1', '3', '4', 'Sensemaking']
['p17', '00:19:22', 'pan', 'geo-0-1', '1', '4', 'Sensemaking']
['p17', '00:19:22', 'pan', 'geo-0-1', '1', '3', 'Sensemaking']
['p17', '00:19:22', 'pan', 'geo-0-1', '0', '2', 'Sensemaking']
['p17', '00:19:22', 'pan', 'geo-0-1', '0', '5', 'Sensemaking']
['p17', '00:19:22', 'pan', 'geo-0-1', '1', '2', 'Sensemaking']
['p17', '00:19:22', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p17', '00:19:23', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p17', '00:19:23', 'pan', 'geo-0-1', '0', '1', 'Sensemaking']
['p17', '00:19:23', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p17', '00:19:24', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p17', '00:19:24', 'pan', 'geo-0-1', '-3', '0', 'Sensemaking']
['p17', '00:19:24', 'pan', 'geo-0-1', '-11', '0', 'Sensemaking']
['p17', '00:19:24', 'pan', 'geo-0-1', '-6', '0', 'Sensemaking']
['p17', '00:19:24', 'pan', 'geo-0-1', '-5', '0', 'Sensemaking']
['p17', '00:19:24', 'pan', 'geo-0-1', '-4', '0', 'Sensemaking']
['p17', '00:19:24', 'pan', 'geo-0-1', '-3', '0', 'Sensemaking']
['p17', '00:19:24', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p17', '00:19:24', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p17', '00:19:38', 'pan', 'geo-0-1', '-2', '1', 'Sensemaking']
['p17', '00:19:38', 'pan', 'geo-0-1', '-3', '3', 'Sensemaking']
['p17', '00:19:38', 'pan', 'geo-0-1', '-4', '3', 'Sensemaking']
['p17', '00:19:38', 'pan', 'geo-0-1', '-5', '3', 'Sensemaking']
['p17', '00:19:38', 'pan', 'geo-0-1', '-6', '4', 'Sensemaking']
['p17', '00:19:38', 'pan', 'geo-0-1', '-15', '8', 'Sensemaking']
['p17', '00:19:39', 'pan', 'geo-0-1', '-2', '0', 'Sensemaking']
['p17', '00:19:39', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p17', '00:19:39', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p17', '00:19:40', 'range select', 'bar-5', '5-2-2-1_', 'Sensemaking']
['p17', '00:19:44', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p17', '00:19:44', 'pan', 'geo-0-1', '2', '-1', 'Sensemaking']
['p17', '00:19:44', 'pan', 'geo-0-1', '1', '-1', 'Sensemaking']
['p17', '00:19:44', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p17', '00:19:44', 'pan', 'geo-0-1', '6', '-6', 'Sensemaking']
['p17', '00:19:44', 'pan', 'geo-0-1', '9', '-9', 'Sensemaking']
['p17', '00:19:44', 'pan', 'geo-0-1', '3', '-2', 'Sensemaking']
['p17', '00:19:44', 'pan', 'geo-0-1', '3', '-1', 'Sensemaking']
['p17', '00:19:44', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p17', '00:19:44', 'pan', 'geo-0-1', '5', '-1', 'Sensemaking']
['p17', '00:19:44', 'pan', 'geo-0-1', '3', '0', 'Sensemaking']
['p17', '00:19:44', 'pan', 'geo-0-1', '3', '-1', 'Sensemaking']
['p17', '00:19:44', 'pan', 'geo-0-1', '3', '0', 'Sensemaking']
['p17', '00:19:44', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p17', '00:19:44', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p17', '00:19:44', 'pan', 'geo-0-1', '5', '-1', 'Sensemaking']
['p17', '00:19:44', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p17', '00:19:44', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p17', '00:19:44', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p17', '00:19:44', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p17', '00:19:45', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p17', '00:19:45', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p17', '00:19:45', 'pan', 'geo-0-1', '-2', '-1', 'Sensemaking']
['p17', '00:19:45', 'pan', 'geo-0-1', '-2', '0', 'Sensemaking']
['p17', '00:19:45', 'pan', 'geo-0-1', '-2', '-1', 'Sensemaking']
['p17', '00:19:45', 'pan', 'geo-0-1', '-2', '0', 'Sensemaking']
['p17', '00:19:45', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p17', '00:19:46', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p17', '00:19:46', 'pan', 'geo-0-1', '-5', '0', 'Sensemaking']
['p17', '00:19:46', 'pan', 'geo-0-1', '-7', '0', 'Sensemaking']
['p17', '00:19:46', 'pan', 'geo-0-1', '-13', '0', 'Sensemaking']
['p17', '00:19:46', 'pan', 'geo-0-1', '-15', '0', 'Sensemaking']
['p17', '00:19:46', 'pan', 'geo-0-1', '-18', '0', 'Sensemaking']
['p17', '00:19:46', 'pan', 'geo-0-1', '-13', '0', 'Sensemaking']
['p17', '00:19:46', 'pan', 'geo-0-1', '-10', '0', 'Sensemaking']
['p17', '00:19:46', 'pan', 'geo-0-1', '-8', '0', 'Sensemaking']
['p17', '00:19:46', 'pan', 'geo-0-1', '-2', '0', 'Sensemaking']
['p17', '00:19:46', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p17', '00:19:46', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p17', '00:19:47', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p17', '00:19:47', 'pan', 'geo-0-1', '-2', '0', 'Sensemaking']
['p17', '00:19:47', 'pan', 'geo-0-1', '-9', '0', 'Sensemaking']
['p17', '00:19:47', 'pan', 'geo-0-1', '-12', '0', 'Sensemaking']
