Time,State,action,reward,visualization,subtask,raw_actions
00:33:21,(Question+bar-4),steer,0.0,bar-4,Null,brush
00:33:21,(Sensemaking +bar-4),observation,0.0,bar-4,2,brush
00:33:22,(Sensemaking +bar-4),observation,0.25,bar-4,2,brush
00:33:23,(Sensemaking +bar-4),observation,0.25,bar-4,2,brush
00:33:23,(Sensemaking +bar-2),observation,0.25,bar-2,2,brush
00:33:23,(Sensemaking +bar-4),observation,0.25,bar-4,2,brush
00:33:24,(Sensemaking +bar-4),observation,0.25,bar-4,2,brush
00:33:25,(Sensemaking +bar-4),observation,0.25,bar-4,2,brush
00:33:26,(Sensemaking +bar-4),observation,0.25,bar-4,2,brush
00:33:40,(Sensemaking +bar-4),observation,0.25,bar-4,2,brush
00:33:43,(Sensemaking +bar-4),observation,0.25,bar-4,2,brush
00:33:45,(Sensemaking +bar-4),observation,0.25,bar-4,2,brush
00:33:46,(Sensemaking +bar-4),observation,0.25,bar-4,2,brush
00:33:47,(Sensemaking +bar-4),observation,0.25,bar-4,2,brush
00:33:48,(Sensemaking +bar-4),observation,0.25,bar-4,2,brush
00:33:49,(Sensemaking +bar-4),observation,0.25,bar-4,2,brush
00:33:53,(Sensemaking +bar-4),observation,0.25,bar-4,2,brush
00:33:54,(Sensemaking +bar-4),observation,0.25,bar-4,2,brush
00:33:55,(Sensemaking +bar-4),observation,0.25,bar-4,2,brush
00:33:56,(Sensemaking +bar-4),observation,0.25,bar-4,2,brush
00:33:57,(Sensemaking +bar-4),observation,0.25,bar-4,2,brush
00:33:58,(Sensemaking +bar-4),observation,0.25,bar-4,2,brush
00:33:59,(Sensemaking +bar-4),observation,0.25,bar-4,2,brush
00:34:00,(Sensemaking +bar-4),observation,0.25,bar-4,2,brush
00:34:01,(Sensemaking +bar-4),observation,0.25,bar-4,2,brush
00:34:02,(Sensemaking +bar-4),observation,0.25,bar-4,2,brush
00:34:04,(Sensemaking +bar-4),observation,0.25,bar-4,2,brush
00:34:05,(Sensemaking +bar-4),observation,0.25,bar-4,2,brush
00:34:06,(Sensemaking +bar-4),observation,0.25,bar-4,2,brush
00:34:07,(Sensemaking +bar-4),observation,0.25,bar-4,2,brush
00:34:08,(Sensemaking +bar-4),observation,0.25,bar-4,2,brush
00:34:09,(Sensemaking +bar-4),observation,0.25,bar-4,2,brush
00:34:10,(Sensemaking +bar-4),observation,0.25,bar-4,2,brush
00:34:11,(Sensemaking +bar-4),observation,0.25,bar-4,2,brush
00:34:12,(Sensemaking +bar-4),observation,0.25,bar-4,2,brush
00:34:13,(Sensemaking +bar-4),observation,0.25,bar-4,2,brush
00:34:14,(Sensemaking +bar-4),observation,0.25,bar-4,2,brush
00:34:15,(Sensemaking +bar-4),observation,0.25,bar-4,2,brush
00:34:19,(Sensemaking +bar-4),observation,0.25,bar-4,2,range select
00:34:41,(Sensemaking +bar-4),observation,0.25,bar-4,2,brush
00:34:41,(Question+bar-4),steer,0.0,bar-4,2,brush
00:34:42,(Question+bar-4),steer,0.0,bar-4,2,brush
00:35:02,(Sensemaking +bar-4),observation,0.0,bar-4,2,brush
00:35:06,(Sensemaking +bar-4),explanation,0.0,bar-4,2,brush
00:35:10,(Question+bar-4),steer,0.0,bar-4,2,brush
00:35:11,(Sensemaking +bar-4),observation,0.25,bar-4,2,brush
00:35:16,(Sensemaking +bar-4),observation,0.0,bar-4,2,brush
00:35:19,(Sensemaking +bar-4),observation,0.0,bar-4,2,brush
00:35:20,(Sensemaking +bar-4),observation,0.25,bar-4,2,brush
00:35:21,(Sensemaking +bar-4),observation,0.25,bar-4,2,brush
00:35:22,(Sensemaking +bar-4),observation,0.25,bar-4,2,brush
00:35:23,(Sensemaking +bar-4),observation,0.25,bar-4,2,brush
00:35:24,(Sensemaking +bar-4),observation,0.25,bar-4,2,brush
00:35:31,(Sensemaking +bar-4),observation,0.0,bar-4,2,brush
00:35:32,(Sensemaking +bar-4),observation,0.25,bar-4,2,brush
00:35:33,(Sensemaking +bar-4),observation,0.25,bar-4,2,brush
00:35:34,(Sensemaking +bar-4),observation,0.25,bar-4,2,brush
00:35:39,(Sensemaking +bar-4),observation,0.25,bar-4,2,brush
00:35:40,(Sensemaking +bar-4),observation,0.25,bar-4,2,brush
00:35:49,(Sensemaking +bar-4),generalization,0.5,bar-4,2,brush
00:35:54,(Sensemaking +bar-4),observation,0.25,bar-4,2,brush
00:35:57,(Sensemaking +bar-4),observation,0.25,bar-4,2,brush
00:35:58,(Sensemaking +bar-4),observation,0.25,bar-4,2,brush
00:35:59,(Sensemaking +bar-4),observation,0.25,bar-4,2,brush
00:36:01,(Sensemaking +bar-4),steer,1.0,bar-4,2,brush
00:36:09,(Question+bar-4),explanation,0.0,bar-4,2,brush
00:36:19,(Question+bar-4),explanation,0.0,bar-4,2,brush
00:36:23,(Sensemaking +bar-4),explanation,0.5,bar-4,2,brush
00:36:26,(Sensemaking +bar-4),explanation,0.5,bar-4,2,brush
00:36:29,(Sensemaking +bar-4),generalization,1.0,bar-4,2,brush
00:36:30,(Sensemaking +bar-4),generalization,1.0,bar-4,2,brush
00:36:31,(Sensemaking +bar-4),generalization,1.0,bar-4,2,brush
00:36:38,(Sensemaking +bar-4),generalization,1.0,bar-4,2,brush
00:36:42,(Sensemaking +bar-4),steer,0.0,bar-4,2,brush
00:36:46,(Sensemaking +bar-4),steer,0.0,bar-4,2,brush
00:36:51,(Sensemaking +bar-4),observation,0.0,bar-4,2,brush
00:37:00,(Sensemaking +bar-4),observation,0.0,bar-4,2,brush
00:37:01,(Sensemaking +bar-4),observation,0.0,bar-4,2,brush
00:37:03,(Sensemaking +bar-4),observation,0.0,bar-4,2,brush
00:37:14,(Sensemaking +bar-4),observation,0.25,bar-4,2,brush
00:37:17,(Sensemaking +bar-4),explanation,0.25,bar-4,2,brush
00:37:21,(Sensemaking +bar-4),explanation,0.25,bar-4,2,brush
00:37:22,(Question+bar-4),steer,0.0,bar-4,3,brush
00:37:26,(Question+bar-4),steer,0.0,bar-4,3,brush
00:37:27,(Question+bar-4),steer,0.0,bar-4,3,brush
00:37:28,(Question+bar-4),steer,0.0,bar-4,3,brush
00:37:30,(Question+bar-4),steer,0.0,bar-4,3,brush
00:37:31,(Question+bar-4),steer,0.0,bar-4,3,brush
00:37:32,(Question+bar-4),steer,0.0,bar-4,3,brush
00:37:33,(Question+bar-4),steer,0.0,bar-4,3,brush
00:37:34,(Question+bar-4),steer,0.0,bar-4,3,brush
00:37:35,(Question+bar-4),steer,0.0,bar-4,3,brush
00:37:36,(Question+bar-4),steer,0.0,bar-4,3,brush
00:37:41,(Question+bar-4),steer,0.0,bar-4,3,brush
00:37:42,(Question+bar-4),steer,0.0,bar-4,3,brush
00:37:43,(Question+bar-4),steer,0.0,bar-4,3,brush
00:37:44,(Question+bar-4),steer,0.0,bar-4,3,brush
00:37:45,(Question+bar-4),steer,0.0,bar-4,3,brush
00:37:47,(Question+bar-4),steer,0.0,bar-4,3,brush
00:37:52,(Question+bar-4),steer,0.0,bar-4,3,brush
00:37:53,(Question+bar-4),steer,0.0,bar-4,3,brush
00:38:15,(Sensemaking +bar-4),observation,0.0,bar-4,3,brush
00:38:16,(Sensemaking +bar-4),observation,0.25,bar-4,3,brush
00:38:18,(Sensemaking +bar-4),observation,0.25,bar-4,3,brush
00:38:19,(Sensemaking +bar-4),observation,0.25,bar-4,3,brush
00:38:20,(Sensemaking +bar-4),observation,0.25,bar-4,3,brush
00:38:21,(Question+bar-4),explanation,0.0,bar-4,3,brush
00:38:32,(Question+bar-4),explanation,0.0,bar-4,3,brush
00:38:33,(Question+bar-4),explanation,0.0,bar-4,3,brush
00:38:34,(Question+bar-4),explanation,0.0,bar-4,3,brush
00:38:35,(Question+bar-4),explanation,0.0,bar-4,3,brush
00:38:40,(Question+bar-4),explanation,0.0,bar-4,3,brush
00:38:41,(Question+bar-4),explanation,0.0,bar-4,3,brush
00:38:42,(Question+bar-4),explanation,0.0,bar-4,3,brush
00:38:43,(Question+bar-4),explanation,0.0,bar-4,3,brush
00:38:44,(Question+bar-4),explanation,0.0,bar-4,3,brush
00:38:45,(Question+bar-4),explanation,0.0,bar-4,3,brush
00:38:46,(Question+bar-4),explanation,0.0,bar-4,3,brush
00:38:47,(Question+bar-4),explanation,0.0,bar-4,3,brush
00:38:48,(Question+bar-4),explanation,0.0,bar-4,3,brush
00:38:49,(Question+bar-4),explanation,0.0,bar-4,3,brush
00:38:50,(Question+bar-4),explanation,0.0,bar-4,3,brush
00:38:51,(Question+bar-4),explanation,0.0,bar-4,3,brush
00:38:52,(Question+bar-4),explanation,0.0,bar-4,3,brush
00:38:53,(Question+bar-4),explanation,0.0,bar-4,3,brush
00:38:54,(Question+bar-4),explanation,0.0,bar-4,3,brush
00:38:55,(Question+bar-4),explanation,0.0,bar-4,3,brush
00:38:56,(Question+bar-4),explanation,0.0,bar-4,3,brush
00:38:57,(Question+bar-4),explanation,0.0,bar-4,3,brush
00:38:58,(Question+bar-4),explanation,0.0,bar-4,3,brush
00:38:59,(Question+bar-4),steer,0.0,bar-4,3,brush
00:39:00,(Question+bar-4),steer,0.0,bar-4,3,brush
00:39:06,(Sensemaking +bar-4),steer,0.5,bar-4,3,range select
00:39:55,(Sensemaking +bar-4),observation,0.25,bar-4,3,brush
00:39:56,(Sensemaking +bar-4),steer,0.0,bar-4,3,brush
00:39:57,(Sensemaking +bar-4),steer,0.0,bar-4,3,brush
00:39:58,(Sensemaking +bar-4),steer,0.0,bar-4,3,brush
00:39:59,(Sensemaking +bar-4),steer,0.0,bar-4,3,brush
00:40:00,(Sensemaking +bar-4),steer,0.0,bar-4,3,brush
00:40:01,(Sensemaking +bar-4),steer,0.0,bar-4,3,brush
00:40:02,(Sensemaking +bar-4),steer,0.0,bar-4,3,brush
00:40:04,(Sensemaking +bar-4),steer,0.0,bar-4,3,brush
00:40:07,(Sensemaking +bar-4),steer,0.0,bar-4,3,brush
00:40:08,(Sensemaking +bar-4),steer,0.0,bar-4,3,brush
00:40:09,(Sensemaking +bar-4),steer,0.0,bar-4,3,brush
00:40:10,(Sensemaking +bar-4),steer,0.0,bar-4,3,brush
00:40:11,(Sensemaking +bar-4),steer,0.0,bar-4,3,brush
00:40:12,(Sensemaking +bar-4),steer,0.0,bar-4,3,brush
00:40:14,(Sensemaking +bar-4),steer,0.0,bar-4,3,range select
00:40:24,(Sensemaking +scatterplot-0-1),observation,0.0,scatterplot-0-1,3,range select
00:40:25,(Sensemaking +scatterplot-0-1),observation,0.0,scatterplot-0-1,3,range select
00:40:26,(Sensemaking +scatterplot-0-1),observation,0.0,scatterplot-0-1,3,range select
00:40:34,(Sensemaking +scatterplot-0-1),observation,0.0,scatterplot-0-1,3,pan
00:40:35,(Sensemaking +scatterplot-0-1),observation,0.0,scatterplot-0-1,3,range select
00:40:36,(Sensemaking +scatterplot-0-1),observation,0.0,scatterplot-0-1,3,range select
00:40:58,(Sensemaking +bar-4),observation,0.0,bar-4,3,brush
00:40:59,(Sensemaking +bar-4),observation,0.0,bar-4,3,brush
00:41:11,(Sensemaking +bar-4),observation,0.5,bar-4,3,brush
00:41:13,(Sensemaking +bar-4),observation,0.0,bar-4,3,brush
00:41:14,(Sensemaking +bar-2),observation,0.0,bar-2,3,brush
00:41:15,(Sensemaking +bar-4),observation,0.0,bar-4,3,brush
00:41:19,(Sensemaking +scatterplot-0-1),explanation,0.5,scatterplot-0-1,3,range select
00:41:33,(Sensemaking +scatterplot-0-1),observation,0.25,scatterplot-0-1,3,range select
00:41:34,(Sensemaking +scatterplot-0-1),observation,0.25,scatterplot-0-1,3,range select
00:41:35,(Sensemaking +scatterplot-0-1),observation,0.25,scatterplot-0-1,3,range select
00:41:53,(Sensemaking +bar-4),observation,0.5,bar-4,3,range select
00:41:54,(Question+bar-4),steer,0.0,bar-4,3,range select
00:41:56,(Question+bar-4),steer,0.0,bar-4,3,range select
00:41:58,(Question+bar-4),steer,0.0,bar-4,3,range select
00:42:11,(Sensemaking +scatterplot-0-1),observation,0.5,scatterplot-0-1,3,range select
00:42:12,(Sensemaking +scatterplot-0-1),observation,0.25,scatterplot-0-1,3,range select
00:42:13,(Sensemaking +scatterplot-0-1),observation,0.25,scatterplot-0-1,3,range select
00:42:14,(Sensemaking +scatterplot-0-1),observation,0.25,scatterplot-0-1,3,range select
00:42:24,(Question+scatterplot-0-1),explanation,0.0,scatterplot-0-1,3,range select
00:42:25,(Question+scatterplot-0-1),explanation,0.0,scatterplot-0-1,3,range select
00:42:26,(Question+scatterplot-0-1),explanation,0.0,scatterplot-0-1,3,range select
00:42:47,(Sensemaking +scatterplot-0-1),generalization,1.0,scatterplot-0-1,3,range select
00:42:48,(Sensemaking +scatterplot-0-1),generalization,1.0,scatterplot-0-1,3,range select
00:43:01,(Sensemaking +scatterplot-0-1),generalization,0.5,scatterplot-0-1,3,range select
00:43:02,(Sensemaking +scatterplot-0-1),generalization,0.5,scatterplot-0-1,3,range select
00:43:03,(Sensemaking +scatterplot-0-1),generalization,0.5,scatterplot-0-1,3,range select
00:43:10,(Sensemaking +scatterplot-0-1),observation,1.0,scatterplot-0-1,3,range select
00:43:27,(Sensemaking +bar-4),steer,0.0,bar-4,3,brush
00:43:27,(Sensemaking +bar-2),steer,0.0,bar-2,3,brush
00:43:28,(Sensemaking +bar-2),steer,0.0,bar-2,3,brush
00:43:29,(Sensemaking +bar-2),steer,0.0,bar-2,3,brush
00:43:30,(Sensemaking +bar-2),steer,0.0,bar-2,3,brush
00:43:31,(Sensemaking +bar-2),steer,0.0,bar-2,3,brush
00:43:32,(Sensemaking +bar-2),steer,0.0,bar-2,3,brush
00:43:33,(Sensemaking +bar-2),steer,0.0,bar-2,3,brush
00:43:35,(Sensemaking +bar-2),steer,0.0,bar-2,3,brush
00:43:36,(Sensemaking +bar-2),steer,0.0,bar-2,3,brush
00:43:37,(Sensemaking +bar-2),steer,0.0,bar-2,3,brush
00:43:38,(Sensemaking +bar-2),observation,0.25,bar-2,3,brush
00:43:39,(Sensemaking +bar-2),observation,0.25,bar-2,3,brush
00:43:40,(Sensemaking +bar-2),observation,0.25,bar-2,3,brush
00:43:41,(Sensemaking +bar-2),observation,0.25,bar-2,3,brush
00:43:42,(Sensemaking +bar-2),observation,0.25,bar-2,3,brush
00:43:43,(Sensemaking +bar-2),observation,0.25,bar-2,3,brush
00:43:44,(Sensemaking +bar-2),observation,0.25,bar-2,3,brush
00:43:45,(Sensemaking +bar-2),observation,0.25,bar-2,3,brush
00:43:46,(Sensemaking +bar-2),observation,0.25,bar-2,3,brush
00:43:47,(Sensemaking +bar-2),observation,0.25,bar-2,3,brush
00:43:48,(Sensemaking +bar-2),generalization,1.0,bar-2,3,brush
00:43:49,(Sensemaking +bar-2),generalization,1.0,bar-2,3,brush
00:43:50,(Sensemaking +bar-2),generalization,1.0,bar-2,3,brush
00:43:51,(Sensemaking +bar-2),generalization,1.0,bar-2,3,brush
00:43:52,(Sensemaking +bar-2),generalization,1.0,bar-2,3,brush
00:43:53,(Sensemaking +bar-2),generalization,1.0,bar-2,3,brush
00:43:54,(Sensemaking +bar-2),generalization,1.0,bar-2,3,brush
00:43:55,(Sensemaking +bar-2),generalization,1.0,bar-2,3,brush
00:43:56,(Sensemaking +bar-2),generalization,1.0,bar-2,3,brush
00:43:57,(Sensemaking +bar-2),generalization,1.0,bar-2,3,brush
00:43:58,(Sensemaking +bar-2),generalization,1.0,bar-2,3,brush
00:43:59,(Sensemaking +bar-2),generalization,1.0,bar-2,3,brush
