Time,State,action,reward,visualization,subtask
00:00:00,(Sensemaking+bar-2),brush,0.0,bar-2,1.0
00:00:00,(Sensemaking+bar-4),brush,0.0,bar-4,1.0
00:01:07,(Sensemaking+bar-2),brush,0.0,bar-2,1.0
00:01:08,(Sensemaking+bar-2),brush,0.0,bar-2,1.0
00:01:08,(Sensemaking+bar-4),brush,0.0,bar-4,1.0
00:01:12,(Sensemaking+scatterplot-0-1),zoom,0.0,scatterplot-0-1,1.0
00:01:14,(Sensemaking+scatterplot-0-1),pan,0.0,scatterplot-0-1,1.0
00:01:15,(Sensemaking+scatterplot-0-1),pan,0.0,scatterplot-0-1,1.0
00:01:21,(Sensemaking+bar-4),brush,0.0,bar-4,1.0
00:01:27,(Sensemaking+scatterplot-0-1),zoom,0.0,scatterplot-0-1,1.0
00:01:28,(Sensemaking+scatterplot-0-1),zoom,0.0,scatterplot-0-1,1.0
00:02:15,(Sensemaking+scatterplot-0-1),zoom,0.5,scatterplot-0-1,1.0
00:02:21,(Sensemaking+scatterplot-0-1),pan,0.5,scatterplot-0-1,1.0
00:02:22,(Sensemaking+scatterplot-0-1),pan,0.5,scatterplot-0-1,1.0
00:02:23,(Sensemaking+scatterplot-0-1),pan,0.5,scatterplot-0-1,1.0
00:03:47,(Question+bar-4),brush,0.0,bar-4,1.0
00:03:51,(Question+scatterplot-0-1),zoom,0.0,scatterplot-0-1,1.0
00:07:46,(Sensemaking+bar-4),brush,0.5,bar-4,1.0
00:07:47,(Sensemaking+bar-2),brush,0.5,bar-2,1.0
00:07:47,(Sensemaking+bar-4),brush,0.0,bar-4,1.0
00:07:51,(Question+bar-4),brush,0.0,bar-4,1.0
00:07:52,(Question+bar-4),brush,0.0,bar-4,1.0
00:07:53,(Question+bar-4),brush,0.0,bar-4,1.0
00:07:53,(Sensemaking+bar-4),brush,0.0,bar-4,1.0
00:07:54,(Sensemaking+bar-4),brush,0.0,bar-4,1.0
00:07:56,(Sensemaking+bar-4),brush,0.0,bar-4,1.0
00:07:57,(Sensemaking+bar-4),brush,0.25,bar-4,2.0
00:07:59,(Sensemaking+bar-4),brush,0.25,bar-4,2.0
00:08:00,(Sensemaking+bar-4),brush,0.25,bar-4,2.0
00:08:01,(Sensemaking+bar-4),brush,0.25,bar-4,2.0
00:08:04,(Sensemaking+bar-4),brush,0.25,bar-4,2.0
00:08:05,(Sensemaking+bar-4),brush,0.25,bar-4,2.0
00:08:13,(Sensemaking+bar-4),range select,0.25,bar-4,2.0
00:08:14,(Sensemaking+bar-4),range select,0.25,bar-4,2.0
00:08:15,(Sensemaking+bar-4),range select,0.25,bar-4,2.0
00:08:32,(Sensemaking+bar-4),range select,0.25,bar-4,2.0
00:08:34,(Sensemaking+bar-4),range select,0.25,bar-4,2.0
00:08:35,(Sensemaking+bar-4),range select,0.25,bar-4,2.0
00:08:37,(Sensemaking+bar-4),range select,0.25,bar-4,2.0
00:08:38,(Sensemaking+bar-4),range select,0.25,bar-4,2.0
00:08:39,(Sensemaking+bar-4),range select,0.25,bar-4,2.0
00:08:41,(Sensemaking+bar-4),range select,0.25,bar-4,2.0
00:08:46,(Sensemaking+bar-4),range select,0.25,bar-4,2.0
00:08:48,(Sensemaking+bar-4),brush,0.25,bar-4,2.0
00:08:49,(Sensemaking+bar-4),range select,0.25,bar-4,2.0
00:09:01,(Sensemaking+bar-4),range select,0.25,bar-4,2.0
00:09:02,(Sensemaking+bar-4),range select,0.25,bar-4,2.0
00:09:03,(Sensemaking+bar-4),range select,0.25,bar-4,2.0
00:09:04,(Sensemaking+bar-4),range select,0.25,bar-4,2.0
00:09:10,(Sensemaking+bar-4),range select,0.25,bar-4,2.0
00:09:11,(Sensemaking+bar-4),range select,0.25,bar-4,2.0
00:09:12,(Sensemaking+bar-4),range select,0.25,bar-4,2.0
00:09:13,(Sensemaking+bar-4),range select,0.25,bar-4,2.0
00:09:14,(Sensemaking+bar-4),range select,0.25,bar-4,2.0
00:09:16,(Sensemaking+bar-4),range select,0.25,bar-4,2.0
00:09:17,(Sensemaking+bar-4),range select,0.25,bar-4,2.0
00:09:18,(Sensemaking+bar-4),range select,0.25,bar-4,2.0
00:09:19,(Sensemaking+bar-4),range select,0.25,bar-4,2.0
00:09:21,(Sensemaking+bar-4),range select,0.25,bar-4,2.0
00:09:22,(Sensemaking+bar-4),range select,0.25,bar-4,2.0
