Time,State,action,reward,visualization,subtask
00:06:48,(Sensemaking+bar-2),brush,0.25,bar-2,3.0
00:06:49,(Sensemaking+bar-2),brush,0.25,bar-2,3.0
00:06:50,(Sensemaking+bar-2),brush,0.25,bar-2,3.0
00:06:51,(Sensemaking+bar-2),brush,0.25,bar-2,3.0
00:06:54,(Sensemaking+bar-2),brush,0.25,bar-2,3.0
00:06:55,(Sensemaking+bar-2),brush,0.25,bar-2,3.0
00:06:56,(Sensemaking+bar-2),brush,0.25,bar-2,3.0
00:06:57,(Sensemaking+bar-2),brush,0.25,bar-2,3.0
00:06:57,(Sensemaking+hist-3),brush,0.25,hist-3,3.0
00:06:57,(Sensemaking+bar-2),brush,0.25,bar-2,3.0
00:06:58,(Sensemaking+bar-2),brush,0.25,bar-2,3.0
00:07:20,(Sensemaking+bar-4),brush,0.25,bar-4,3.0
00:07:21,(Sensemaking+bar-4),brush,0.25,bar-4,3.0
00:07:23,(Sensemaking+bar-4),brush,0.25,bar-4,3.0
00:07:24,(Sensemaking+bar-4),brush,0.25,bar-4,3.0
00:07:25,(Sensemaking+bar-4),brush,0.25,bar-4,3.0
00:07:26,(Sensemaking+bar-4),brush,0.25,bar-4,3.0
00:07:27,(Sensemaking+bar-4),brush,0.25,bar-4,3.0
00:07:28,(Sensemaking+bar-4),brush,0.25,bar-4,3.0
00:07:29,(Sensemaking+bar-4),brush,0.25,bar-4,3.0
00:07:30,(Sensemaking+bar-4),brush,0.25,bar-4,3.0
00:07:32,(Sensemaking+bar-4),range select,0.25,bar-4,3.0
00:07:37,(Sensemaking+bar-4),brush,0.25,bar-4,3.0
00:07:43,(Sensemaking+bar-4),brush,0.25,bar-4,3.0
00:07:45,(Sensemaking+bar-4),brush,0.25,bar-4,3.0
00:07:46,(Sensemaking+bar-4),brush,0.25,bar-4,3.0
00:07:47,(Sensemaking+bar-4),brush,0.25,bar-4,3.0
00:07:48,(Sensemaking+bar-4),brush,0.25,bar-4,3.0
00:07:49,(Sensemaking+bar-4),range select,0.25,bar-4,3.0
00:07:55,(Sensemaking+bar-4),range select,0.25,bar-4,3.0
00:07:56,(Sensemaking+bar-4),brush,0.25,bar-4,3.0
00:07:57,(Sensemaking+bar-4),brush,0.25,bar-4,3.0
00:07:58,(Sensemaking+bar-4),brush,0.25,bar-4,3.0
00:07:59,(Sensemaking+bar-4),brush,0.25,bar-4,3.0
00:08:00,(Sensemaking+bar-4),brush,1.0,bar-4,3.0
00:08:01,(Sensemaking+bar-4),brush,1.0,bar-4,3.0
00:08:02,(Sensemaking+bar-4),brush,1.0,bar-4,3.0
00:08:03,(Sensemaking+bar-4),brush,1.0,bar-4,3.0
00:08:05,(Sensemaking+bar-4),brush,1.0,bar-4,3.0
00:08:06,(Sensemaking+bar-4),brush,1.0,bar-4,3.0
00:08:08,(Question+bar-4),brush,0.0,bar-4,4.0
00:08:09,(Question+bar-4),brush,0.0,bar-4,4.0
00:08:10,(Question+bar-4),brush,0.0,bar-4,4.0
00:08:12,(Question+bar-4),brush,0.0,bar-4,4.0
00:08:13,(Question+bar-4),brush,0.0,bar-4,4.0
00:08:14,(Question+bar-4),brush,0.0,bar-4,4.0
00:08:15,(Question+bar-4),brush,0.0,bar-4,4.0
00:08:16,(Question+bar-4),brush,0.0,bar-4,4.0
00:08:17,(Question+bar-4),brush,0.0,bar-4,4.0
00:08:18,(Question+bar-4),brush,0.0,bar-4,4.0
00:08:19,(Question+bar-4),brush,0.0,bar-4,4.0
00:08:20,(Question+bar-4),brush,0.0,bar-4,4.0
00:08:21,(Question+bar-4),brush,0.0,bar-4,4.0
00:08:22,(Question+bar-4),brush,0.0,bar-4,4.0
00:08:26,(Sensemaking+bar-4),brush,0.25,bar-4,4.0
00:08:27,(Sensemaking+bar-4),brush,0.25,bar-4,4.0
00:08:33,(Sensemaking+bar-4),brush,0.25,bar-4,4.0
00:08:34,(Sensemaking+bar-4),brush,0.25,bar-4,4.0
00:08:35,(Sensemaking+bar-4),brush,0.25,bar-4,4.0
00:08:36,(Sensemaking+bar-4),brush,0.25,bar-4,4.0
00:08:37,(Sensemaking+bar-4),brush,0.25,bar-4,4.0
00:08:38,(Sensemaking+bar-4),brush,0.25,bar-4,4.0
00:08:39,(Sensemaking+bar-4),brush,0.25,bar-4,4.0
00:08:40,(Sensemaking+bar-4),brush,0.25,bar-4,4.0
00:08:41,(Sensemaking+bar-4),brush,0.25,bar-4,4.0
00:08:42,(Sensemaking+bar-4),brush,0.25,bar-4,4.0
00:08:43,(Sensemaking+bar-4),brush,0.25,bar-4,4.0
00:08:44,(Sensemaking+bar-4),brush,0.25,bar-4,4.0
00:08:46,(Sensemaking+bar-4),brush,0.25,bar-4,4.0
00:08:47,(Sensemaking+bar-4),brush,0.25,bar-4,4.0
00:08:53,(Question+bar-4),brush,0.0,bar-4,4.0
00:09:02,(Question+bar-4),brush,0.0,bar-4,4.0
00:09:03,(Question+bar-4),brush,0.0,bar-4,4.0
00:09:04,(Question+bar-4),brush,0.0,bar-4,4.0
00:09:05,(Question+bar-4),brush,0.0,bar-4,4.0
00:09:06,(Question+bar-4),brush,0.0,bar-4,4.0
00:09:07,(Question+bar-4),brush,0.0,bar-4,4.0
00:09:08,(Question+bar-4),brush,0.0,bar-4,4.0
00:09:09,(Question+bar-4),brush,0.0,bar-4,4.0
00:09:10,(Question+bar-4),brush,0.0,bar-4,4.0
00:09:11,(Question+bar-4),brush,0.0,bar-4,4.0
00:09:15,(Sensemaking+scatterplot-0-1),pan,0.25,scatterplot-0-1,4.0
00:09:17,(Sensemaking+scatterplot-0-1),pan,0.25,scatterplot-0-1,4.0
00:09:18,(Sensemaking+scatterplot-0-1),pan,0.25,scatterplot-0-1,4.0
00:09:19,(Sensemaking+scatterplot-0-1),pan,0.25,scatterplot-0-1,4.0
00:09:20,(Sensemaking+scatterplot-0-1),zoom,0.25,scatterplot-0-1,4.0
00:09:28,(Sensemaking+scatterplot-0-1),range select,0.25,scatterplot-0-1,4.0
00:09:29,(Sensemaking+scatterplot-0-1),range select,0.25,scatterplot-0-1,4.0
00:09:30,(Sensemaking+scatterplot-0-1),range select,0.25,scatterplot-0-1,4.0
00:09:31,(Sensemaking+scatterplot-0-1),range select,0.25,scatterplot-0-1,4.0
00:09:32,(Sensemaking+scatterplot-0-1),range select,0.25,scatterplot-0-1,4.0
00:09:48,(Sensemaking+scatterplot-0-1),range select,0.25,scatterplot-0-1,4.0
00:09:49,(Sensemaking+scatterplot-0-1),range select,0.25,scatterplot-0-1,4.0
00:10:30,(Sensemaking+scatterplot-0-1),range select,0.5,scatterplot-0-1,4.0
00:10:31,(Sensemaking+scatterplot-0-1),range select,0.25,scatterplot-0-1,4.0
00:10:32,(Sensemaking+scatterplot-0-1),range select,0.25,scatterplot-0-1,4.0
00:10:33,(Sensemaking+scatterplot-0-1),range select,0.25,scatterplot-0-1,4.0
00:10:34,(Sensemaking+scatterplot-0-1),range select,0.25,scatterplot-0-1,4.0
00:10:36,(Sensemaking+scatterplot-0-1),range select,0.25,scatterplot-0-1,4.0
00:10:37,(Sensemaking+scatterplot-0-1),range select,0.25,scatterplot-0-1,4.0
00:10:39,(Sensemaking+scatterplot-0-1),pan,0.25,scatterplot-0-1,4.0
00:10:42,(Sensemaking+scatterplot-0-1),pan,0.25,scatterplot-0-1,4.0
00:10:43,(Sensemaking+scatterplot-0-1),pan,0.25,scatterplot-0-1,4.0
00:10:44,(Sensemaking+scatterplot-0-1),pan,0.25,scatterplot-0-1,4.0
00:10:46,(Sensemaking+scatterplot-0-1),range select,0.25,scatterplot-0-1,4.0
00:10:48,(Sensemaking+scatterplot-0-1),zoom,0.25,scatterplot-0-1,4.0
00:10:51,(Sensemaking+scatterplot-0-1),range select,0.25,scatterplot-0-1,4.0
00:10:52,(Sensemaking+scatterplot-0-1),range select,0.25,scatterplot-0-1,4.0
00:10:54,(Sensemaking+scatterplot-0-1),range select,0.25,scatterplot-0-1,4.0
00:10:55,(Sensemaking+scatterplot-0-1),range select,0.25,scatterplot-0-1,4.0
00:10:58,(Sensemaking+scatterplot-0-1),pan,0.25,scatterplot-0-1,4.0
00:11:00,(Sensemaking+scatterplot-0-1),range select,0.25,scatterplot-0-1,4.0
00:11:04,(Sensemaking+scatterplot-0-1),pan,0.25,scatterplot-0-1,4.0
00:11:05,(Sensemaking+scatterplot-0-1),pan,0.25,scatterplot-0-1,4.0
00:11:17,(Sensemaking+scatterplot-0-1),range select,0.25,scatterplot-0-1,4.0
00:11:18,(Question+scatterplot-0-1),range select,0.0,scatterplot-0-1,4.0
00:11:28,(Sensemaking+scatterplot-0-1),range select,0.25,scatterplot-0-1,4.0
00:11:29,(Sensemaking+scatterplot-0-1),range select,0.5,scatterplot-0-1,4.0
00:11:47,(Sensemaking+scatterplot-0-1),range select,0.5,scatterplot-0-1,4.0
00:11:48,(Sensemaking+scatterplot-0-1),range select,0.5,scatterplot-0-1,4.0
00:12:21,(Sensemaking+scatterplot-0-1),range select,0.5,scatterplot-0-1,4.0
00:12:22,(Sensemaking+scatterplot-0-1),range select,0.5,scatterplot-0-1,4.0
00:12:32,(Sensemaking+scatterplot-0-1),range select,0.5,scatterplot-0-1,4.0
00:12:33,(Sensemaking+scatterplot-0-1),range select,0.5,scatterplot-0-1,4.0
