['p8', '00:37:51', 'pan', 'geo-0-1', '0', '1', 'Exploration']
['p8', '00:37:51', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p8', '00:37:51', 'pan', 'geo-0-1', '0', '1', 'Exploration']
['p8', '00:37:51', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p8', '00:37:51', 'pan', 'geo-0-1', '1', '1', 'Exploration']
['p8', '00:37:51', 'pan', 'geo-0-1', '1', '2', 'Exploration']
['p8', '00:37:51', 'pan', 'geo-0-1', '1', '1', 'Exploration']
['p8', '00:37:51', 'pan', 'geo-0-1', '0', '1', 'Exploration']
['p8', '00:37:51', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p8', '00:37:51', 'pan', 'geo-0-1', '1', '1', 'Exploration']
['p8', '00:37:51', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p8', '00:37:57', 'range select', 'geo-0-1', '0-1038-1038-4_1-686-687-4_', 'Sensemaking']
['p8', '00:37:57', 'range select', 'geo-0-1', '0-1038-1042-4_1-686-691-4_', 'Sensemaking']
['p8', '00:37:57', 'range select', 'geo-0-1', '0-1038-1043-4_1-686-692-4_', 'Sensemaking']
['p8', '00:37:57', 'range select', 'geo-0-1', '0-1038-1045-4_1-686-694-4_', 'Sensemaking']
['p8', '00:37:57', 'range select', 'geo-0-1', '0-1038-1046-4_1-686-694-4_', 'Sensemaking']
['p8', '00:37:57', 'range select', 'geo-0-1', '0-1038-1046-4_1-686-695-4_', 'Sensemaking']
['p8', '00:37:58', 'range select', 'geo-0-1', '0-1038-1048-4_1-686-697-4_', 'Sensemaking']
['p8', '00:37:58', 'range select', 'geo-0-1', '0-1038-1048-4_1-686-698-4_', 'Sensemaking']
['p8', '00:37:58', 'range select', 'geo-0-1', '0-1038-1050-4_1-686-698-4_', 'Sensemaking']
['p8', '00:37:58', 'range select', 'geo-0-1', '0-1038-1050-4_1-686-699-4_', 'Sensemaking']
['p8', '00:37:58', 'range select', 'geo-0-1', '0-1038-1051-4_1-686-699-4_', 'Sensemaking']
['p8', '00:37:58', 'range select', 'geo-0-1', '0-1038-1052-4_1-686-700-4_', 'Sensemaking']
['p8', '00:37:58', 'range select', 'geo-0-1', '0-1038-1053-4_1-686-702-4_', 'Sensemaking']
['p8', '00:37:58', 'range select', 'geo-0-1', '0-1038-1055-4_1-686-703-4_', 'Sensemaking']
['p8', '00:37:58', 'range select', 'geo-0-1', '0-1038-1057-4_1-686-705-4_', 'Sensemaking']
['p8', '00:37:58', 'range select', 'geo-0-1', '0-1038-1060-4_1-686-708-4_', 'Sensemaking']
['p8', '00:37:58', 'range select', 'geo-0-1', '0-1038-1061-4_1-686-709-4_', 'Sensemaking']
['p8', '00:37:58', 'range select', 'geo-0-1', '0-1038-1062-4_1-686-710-4_', 'Sensemaking']
['p8', '00:37:58', 'range select', 'geo-0-1', '0-1038-1063-4_1-686-711-4_', 'Sensemaking']
['p8', '00:37:58', 'range select', 'geo-0-1', '0-1038-1065-4_1-686-714-4_', 'Sensemaking']
['p8', '00:37:58', 'range select', 'geo-0-1', '0-1038-1066-4_1-686-715-4_', 'Sensemaking']
['p8', '00:37:58', 'range select', 'geo-0-1', '0-1038-1067-4_1-686-716-4_', 'Sensemaking']
['p8', '00:37:58', 'range select', 'geo-0-1', '0-1038-1070-4_1-686-718-4_', 'Sensemaking']
['p8', '00:37:58', 'range select', 'geo-0-1', '0-1038-1071-4_1-686-719-4_', 'Sensemaking']
['p8', '00:37:58', 'range select', 'geo-0-1', '0-1038-1072-4_1-686-720-4_', 'Sensemaking']
['p8', '00:37:58', 'range select', 'geo-0-1', '0-1038-1073-4_1-686-722-4_', 'Sensemaking']
['p8', '00:37:58', 'range select', 'geo-0-1', '0-1038-1074-4_1-686-723-4_', 'Sensemaking']
['p8', '00:37:58', 'range select', 'geo-0-1', '0-1038-1076-4_1-686-724-4_', 'Sensemaking']
['p8', '00:37:58', 'range select', 'geo-0-1', '0-1038-1077-4_1-686-724-4_', 'Sensemaking']
['p8', '00:37:58', 'range select', 'geo-0-1', '0-1038-1078-4_1-686-724-4_', 'Sensemaking']
['p8', '00:37:58', 'range select', 'geo-0-1', '0-1038-1079-4_1-686-724-4_', 'Sensemaking']
['p8', '00:37:58', 'range select', 'geo-0-1', '0-1038-1080-4_1-686-724-4_', 'Sensemaking']
['p8', '00:37:58', 'range select', 'geo-0-1', '0-1038-1081-4_1-686-724-4_', 'Sensemaking']
['p8', '00:37:58', 'range select', 'geo-0-1', '0-1038-1082-4_1-686-724-4_', 'Sensemaking']
['p8', '00:37:58', 'range select', 'geo-0-1', '0-1038-1083-4_1-686-724-4_', 'Sensemaking']
['p8', '00:37:58', 'range select', 'geo-0-1', '0-1038-1085-4_1-686-723-4_', 'Sensemaking']
['p8', '00:37:58', 'range select', 'geo-0-1', '0-1038-1086-4_1-686-723-4_', 'Sensemaking']
['p8', '00:37:58', 'range select', 'geo-0-1', '0-1038-1087-4_1-686-723-4_', 'Sensemaking']
['p8', '00:37:59', 'range select', 'geo-0-1', '0-1038-1088-4_1-686-722-4_', 'Sensemaking']
['p8', '00:37:59', 'range select', 'geo-0-1', '0-1038-1089-4_1-686-722-4_', 'Sensemaking']
