['p8', '00:39:33', 'repaintFg', 'color slider', '66369-227312', 'Exploration']
['p8', '00:39:33', 'repaintBg', 'color slider', '66746-227312', 'Exploration']
['p8', '00:39:33', 'repaintFg', 'color slider', '66746-227312', 'Exploration']
['p8', '00:39:33', 'repaintBg', 'color slider', '67502-227312', 'Exploration']
['p8', '00:39:33', 'repaintFg', 'color slider', '67502-227312', 'Exploration']
['p8', '00:39:33', 'repaintBg', 'color slider', '70145-227312', 'Exploration']
['p8', '00:39:33', 'repaintFg', 'color slider', '70145-227312', 'Exploration']
['p8', '00:39:33', 'repaintBg', 'color slider', '74676-227312', 'Exploration']
['p8', '00:39:33', 'repaintFg', 'color slider', '74676-227312', 'Exploration']
['p8', '00:39:33', 'repaintBg', 'color slider', '80717-227312', 'Exploration']
['p8', '00:39:33', 'repaintFg', 'color slider', '80717-227312', 'Exploration']
['p8', '00:39:33', 'repaintBg', 'color slider', '84871-227312', 'Exploration']
['p8', '00:39:33', 'repaintFg', 'color slider', '84871-227312', 'Exploration']
['p8', '00:39:33', 'repaintBg', 'color slider', '89402-227312', 'Exploration']
['p8', '00:39:33', 'repaintFg', 'color slider', '89402-227312', 'Exploration']
['p8', '00:39:33', 'repaintBg', 'color slider', '93178-227312', 'Exploration']
['p8', '00:39:33', 'repaintFg', 'color slider', '93178-227312', 'Exploration']
['p8', '00:39:33', 'repaintBg', 'color slider', '95066-227312', 'Exploration']
['p8', '00:39:33', 'repaintFg', 'color slider', '95066-227312', 'Exploration']
['p8', '00:39:33', 'repaintBg', 'color slider', '100352-227312', 'Exploration']
['p8', '00:39:33', 'repaintFg', 'color slider', '100352-227312', 'Exploration']
['p8', '00:39:33', 'repaintBg', 'color slider', '106394-227312', 'Exploration']
['p8', '00:39:33', 'repaintFg', 'color slider', '106394-227312', 'Exploration']
['p8', '00:39:33', 'repaintBg', 'color slider', '113568-227312', 'Exploration']
['p8', '00:39:33', 'repaintFg', 'color slider', '113568-227312', 'Exploration']
['p8', '00:39:33', 'repaintBg', 'color slider', '119232-227312', 'Exploration']
['p8', '00:39:33', 'repaintFg', 'color slider', '119232-227312', 'Exploration']
['p8', '00:39:33', 'repaintBg', 'color slider', '123763-227312', 'Exploration']
['p8', '00:39:33', 'repaintFg', 'color slider', '123763-227312', 'Exploration']
['p8', '00:39:33', 'repaintBg', 'color slider', '129049-227312', 'Exploration']
['p8', '00:39:33', 'repaintFg', 'color slider', '129049-227312', 'Exploration']
['p8', '00:39:33', 'repaintBg', 'color slider', '132448-227312', 'Exploration']
['p8', '00:39:33', 'repaintFg', 'color slider', '132448-227312', 'Exploration']
['p8', '00:39:33', 'repaintBg', 'color slider', '134713-227312', 'Exploration']
['p8', '00:39:33', 'repaintFg', 'color slider', '134713-227312', 'Exploration']
['p8', '00:39:33', 'repaintBg', 'color slider', '138112-227312', 'Exploration']
['p8', '00:39:33', 'repaintFg', 'color slider', '138112-227312', 'Exploration']
['p8', '00:39:33', 'repaintBg', 'color slider', '144908-227312', 'Exploration']
['p8', '00:39:33', 'repaintFg', 'color slider', '144908-227312', 'Exploration']
['p8', '00:39:33', 'repaintBg', 'color slider', '149817-227312', 'Exploration']
['p8', '00:39:33', 'repaintFg', 'color slider', '149817-227312', 'Exploration']
['p8', '00:39:33', 'repaintBg', 'color slider', '155103-227312', 'Exploration']
['p8', '00:39:33', 'repaintFg', 'color slider', '155103-227312', 'Exploration']
['p8', '00:39:33', 'repaintBg', 'color slider', '159634-227312', 'Exploration']
['p8', '00:39:33', 'repaintFg', 'color slider', '159634-227312', 'Exploration']
['p8', '00:39:33', 'repaintBg', 'color slider', '166053-227312', 'Exploration']
['p8', '00:39:33', 'repaintFg', 'color slider', '166053-227312', 'Exploration']
['p8', '00:39:34', 'repaintBg', 'color slider', '170585-227312', 'Exploration']
['p8', '00:39:34', 'repaintFg', 'color slider', '170585-227312', 'Exploration']
['p8', '00:39:34', 'repaintBg', 'color slider', '174360-227312', 'Exploration']
['p8', '00:39:34', 'repaintFg', 'color slider', '174360-227312', 'Exploration']
['p8', '00:39:34', 'repaintBg', 'color slider', '178514-227312', 'Exploration']
['p8', '00:39:34', 'repaintFg', 'color slider', '178514-227312', 'Exploration']
['p8', '00:39:34', 'repaintBg', 'color slider', '181535-227312', 'Exploration']
