['p8', '00:34:25', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p8', '00:34:25', 'pan', 'geo-0-1', '1', '1', 'Sensemaking']
['p8', '00:34:25', 'pan', 'geo-0-1', '2', '3', 'Sensemaking']
['p8', '00:34:25', 'pan', 'geo-0-1', '6', '3', 'Sensemaking']
['p8', '00:34:25', 'pan', 'geo-0-1', '6', '4', 'Sensemaking']
['p8', '00:34:25', 'pan', 'geo-0-1', '5', '5', 'Sensemaking']
['p8', '00:34:25', 'pan', 'geo-0-1', '6', '4', 'Sensemaking']
['p8', '00:34:25', 'pan', 'geo-0-1', '4', '4', 'Sensemaking']
['p8', '00:34:25', 'pan', 'geo-0-1', '4', '3', 'Sensemaking']
['p8', '00:34:25', 'pan', 'geo-0-1', '2', '2', 'Sensemaking']
['p8', '00:34:25', 'pan', 'geo-0-1', '3', '2', 'Sensemaking']
['p8', '00:34:25', 'pan', 'geo-0-1', '3', '3', 'Sensemaking']
['p8', '00:34:25', 'pan', 'geo-0-1', '6', '6', 'Sensemaking']
['p8', '00:34:25', 'pan', 'geo-0-1', '2', '1', 'Sensemaking']
['p8', '00:34:25', 'pan', 'geo-0-1', '2', '2', 'Sensemaking']
['p8', '00:34:25', 'pan', 'geo-0-1', '1', '1', 'Sensemaking']
['p8', '00:34:25', 'pan', 'geo-0-1', '1', '2', 'Sensemaking']
['p8', '00:34:25', 'pan', 'geo-0-1', '1', '1', 'Sensemaking']
['p8', '00:34:25', 'pan', 'geo-0-1', '2', '2', 'Sensemaking']
['p8', '00:34:25', 'pan', 'geo-0-1', '0', '1', 'Sensemaking']
['p8', '00:34:25', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p8', '00:34:25', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p8', '00:34:27', 'pan', 'geo-0-1', '-359', '245', 'Sensemaking']
['p8', '00:34:28', 'zoom', 'geo-0-1', '3', 'Sensemaking']
['p8', '00:34:28', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p8', '00:34:28', 'tile cached', 'undefined', '0-0-255-3x1-768-1023-3x4-0-23-0', 'Sensemaking']
['p8', '00:34:28', 'tile cached', 'undefined', '0-256-511-3x1-768-1023-3x4-0-23-0', 'Sensemaking']
['p8', '00:34:28', 'tile cached', 'undefined', '0-512-767-3x1-768-1023-3x4-0-23-0', 'Sensemaking']
['p8', '00:34:28', 'tile cached', 'undefined', '0-768-1023-3x1-768-1023-3x4-0-23-0', 'Sensemaking']
['p8', '00:34:28', 'tile cached', 'undefined', '0-0-255-3x1-256-511-3x2-0-11-0', 'Sensemaking']
['p8', '00:34:28', 'tile cached', 'undefined', '0-0-255-3x1-512-767-3x2-0-11-0', 'Sensemaking']
['p8', '00:34:28', 'tile cached', 'undefined', '0-256-511-3x1-256-511-3x2-0-11-0', 'Sensemaking']
['p8', '00:34:28', 'tile cached', 'undefined', '0-256-511-3x1-512-767-3x2-0-11-0', 'Sensemaking']
['p8', '00:34:28', 'tile cached', 'undefined', '0-512-767-3x1-512-767-3x2-0-11-0', 'Sensemaking']
['p8', '00:34:28', 'tile cached', 'undefined', '0-512-767-3x1-256-511-3x2-0-11-0', 'Sensemaking']
['p8', '00:34:28', 'tile cached', 'undefined', '0-0-255-3x1-256-511-3x3-0-30-0', 'Sensemaking']
['p8', '00:34:28', 'tile cached', 'undefined', '0-0-255-3x1-512-767-3x3-0-30-0', 'Sensemaking']
['p8', '00:34:28', 'tile cached', 'undefined', '0-256-511-3x1-256-511-3x3-0-30-0', 'Sensemaking']
['p8', '00:34:28', 'tile cached', 'undefined', '0-256-511-3x1-512-767-3x3-0-30-0', 'Sensemaking']
['p8', '00:34:28', 'tile cached', 'undefined', '0-512-767-3x1-512-767-3x3-0-30-0', 'Sensemaking']
['p8', '00:34:28', 'tile cached', 'undefined', '0-0-255-3x1-256-511-3x4-0-23-0', 'Sensemaking']
['p8', '00:34:28', 'tile cached', 'undefined', '0-512-767-3x1-256-511-3x3-0-30-0', 'Sensemaking']
['p8', '00:34:28', 'tile cached', 'undefined', '0-0-255-3x1-512-767-3x4-0-23-0', 'Sensemaking']
['p8', '00:34:28', 'tile cached', 'undefined', '0-256-511-3x1-256-511-3x4-0-23-0', 'Sensemaking']
['p8', '00:34:28', 'tile cached', 'undefined', '0-256-511-3x1-512-767-3x4-0-23-0', 'Sensemaking']
['p8', '00:34:28', 'tile cached', 'undefined', '0-512-767-3x1-512-767-3x4-0-23-0', 'Sensemaking']
['p8', '00:34:28', 'tile cached', 'undefined', '0-512-767-3x1-256-511-3x4-0-23-0', 'Sensemaking']
