['p8', '00:32:36', 'brush', 'hist-2', '2-0-0-0_', 'Question / Hypothesis']
['p8', '00:32:36', 'brush', 'hist-2', '2-1-1-0_', 'Question / Hypothesis']
['p8', '00:32:36', 'brush', 'hist-2', '2-6-6-0_', 'Question / Hypothesis']
['p8', '00:32:36', 'brush', 'hist-2', '2-7-7-0_', 'Question / Hypothesis']
['p8', '00:32:36', 'brush', 'hist-2', '2-9-9-0_', 'Question / Hypothesis']
['p8', '00:32:36', 'brush', 'hist-2', '2-10-10-0_', 'Question / Hypothesis']
['p8', '00:32:36', 'brush', 'hist-2', '2-11-11-0_', 'Question / Hypothesis']
['p8', '00:32:36', 'brush', 'hist-2', '2-12-12-0_', 'Question / Hypothesis']
['p8', '00:32:36', 'clear', 'undefined', 'undefined', 'Question / Hypothesis']
['p8', '00:32:44', 'brush', 'hist-3', '3-29-29-0_', 'Question / Hypothesis']
['p8', '00:32:44', 'brush', 'hist-3', '3-26-26-0_', 'Question / Hypothesis']
['p8', '00:32:44', 'clear', 'undefined', 'undefined', 'Question / Hypothesis']
['p8', '00:33:09', 'brush', 'hist-2', '2-0-0-0_', 'Sensemaking']
['p8', '00:33:09', 'brush', 'hist-2', '2-1-1-0_', 'Sensemaking']
['p8', '00:33:09', 'brush', 'hist-2', '2-2-2-0_', 'Sensemaking']
['p8', '00:33:10', 'brush', 'hist-2', '2-3-3-0_', 'Sensemaking']
['p8', '00:33:10', 'brush', 'hist-2', '2-2-2-0_', 'Sensemaking']
['p8', '00:33:10', 'brush', 'hist-2', '2-1-1-0_', 'Sensemaking']
['p8', '00:33:10', 'brush', 'hist-2', '2-0-0-0_', 'Sensemaking']
['p8', '00:33:17', 'brush', 'hist-2', '2-1-1-0_', 'Sensemaking']
['p8', '00:33:18', 'brush', 'hist-2', '2-0-0-0_', 'Sensemaking']
['p8', '00:33:20', 'brush', 'hist-2', '2-1-1-0_', 'Sensemaking']
['p8', '00:33:22', 'brush', 'hist-2', '2-2-2-0_', 'Sensemaking']
['p8', '00:33:24', 'brush', 'hist-2', '2-3-3-0_', 'Sensemaking']
['p8', '00:33:26', 'brush', 'hist-2', '2-4-4-0_', 'Sensemaking']
