Time,State,action,reward,visualization,subtask
00:30:06,(Sensemaking+bar-4),brush,0.0,bar-4,2
00:30:07,(Sensemaking+bar-4),brush,0.0,bar-4,2
00:30:08,(Sensemaking+bar-4),brush,0.0,bar-4,2
00:30:09,(Sensemaking+bar-4),brush,0.0,bar-4,2
00:30:10,(Sensemaking+bar-4),brush,0.0,bar-4,2
00:30:11,(Question+bar-4),brush,0.0,bar-4,2
00:30:12,(Question+bar-4),brush,0.0,bar-4,2
00:30:14,(Question+bar-4),brush,0.0,bar-4,2
00:30:15,(Question+bar-4),brush,0.0,bar-4,2
00:30:16,(Question+bar-4),brush,0.0,bar-4,2
00:30:17,(Question+bar-4),brush,0.0,bar-4,2
00:30:18,(Question+bar-4),brush,0.0,bar-4,2
00:30:19,(Question+bar-4),brush,0.0,bar-4,2
00:30:20,(Question+bar-4),brush,0.0,bar-4,2
00:30:21,(Question+bar-4),brush,0.0,bar-4,2
00:30:22,(Question+bar-4),brush,0.0,bar-4,2
00:30:23,(Question+bar-4),brush,0.0,bar-4,2
00:30:24,(Question+bar-4),brush,0.0,bar-4,2
00:30:25,(Sensemaking+bar-4),brush,0.25,bar-4,2
00:30:26,(Sensemaking+bar-4),brush,0.25,bar-4,2
00:30:27,(Sensemaking+bar-4),brush,0.25,bar-4,2
00:30:28,(Sensemaking+bar-4),brush,0.25,bar-4,2
00:30:31,(Sensemaking+bar-4),brush,0.25,bar-4,2
00:30:32,(Sensemaking+bar-4),brush,0.25,bar-4,2
00:30:33,(Sensemaking+bar-4),brush,0.25,bar-4,2
00:30:37,(Sensemaking+bar-4),brush,0.25,bar-4,2
00:30:38,(Sensemaking+bar-4),brush,0.25,bar-4,2
00:30:39,(Sensemaking+bar-4),brush,0.25,bar-4,2
00:30:40,(Sensemaking+bar-4),brush,0.0,bar-4,2
00:30:41,(Sensemaking+bar-4),brush,0.0,bar-4,2
00:30:42,(Sensemaking+bar-4),brush,0.0,bar-4,2
00:30:43,(Sensemaking+bar-4),brush,0.0,bar-4,2
00:30:48,(Sensemaking+bar-4),brush,0.0,bar-4,2
00:30:49,(Sensemaking+bar-4),brush,0.0,bar-4,2
00:30:50,(Sensemaking+bar-4),brush,0.0,bar-4,2
00:30:51,(Sensemaking+bar-4),brush,0.0,bar-4,2
00:30:52,(Sensemaking+bar-4),brush,0.0,bar-4,2
00:30:53,(Sensemaking+bar-4),brush,0.0,bar-4,2
00:30:54,(Sensemaking+bar-4),brush,0.0,bar-4,2
00:30:55,(Sensemaking+bar-4),brush,0.0,bar-4,2
00:30:58,(Sensemaking+bar-4),brush,0.5,bar-4,2
00:30:59,(Sensemaking+bar-4),brush,0.5,bar-4,2
00:31:00,(Sensemaking+bar-4),brush,0.5,bar-4,2
00:31:01,(Sensemaking+bar-4),brush,0.5,bar-4,2
00:31:03,(Sensemaking+bar-4),brush,0.5,bar-4,2
00:31:04,(Sensemaking+bar-4),brush,0.5,bar-4,2
00:31:05,(Sensemaking+bar-4),brush,0.5,bar-4,2
00:31:06,(Sensemaking+bar-4),brush,0.5,bar-4,2
00:31:07,(Sensemaking+bar-4),brush,0.5,bar-4,2
00:31:08,(Sensemaking+bar-4),brush,0.5,bar-4,2
00:31:09,(Sensemaking+bar-4),brush,0.5,bar-4,2
00:31:10,(Sensemaking+bar-4),brush,0.5,bar-4,2
00:31:11,(Sensemaking+bar-4),brush,0.5,bar-4,2
00:31:12,(Sensemaking+bar-4),brush,0.5,bar-4,2
00:31:13,(Sensemaking+bar-4),brush,0.5,bar-4,2
00:31:14,(Sensemaking+bar-4),brush,0.5,bar-4,2
00:31:15,(Sensemaking+bar-4),brush,0.5,bar-4,2
00:31:16,(Sensemaking+bar-4),brush,0.5,bar-4,2
00:31:17,(Sensemaking+bar-4),brush,0.5,bar-4,2
00:31:18,(Sensemaking+bar-4),brush,0.5,bar-4,2
00:31:19,(Sensemaking+bar-4),brush,0.5,bar-4,2
00:31:20,(Sensemaking+bar-4),brush,0.5,bar-4,2
00:31:21,(Sensemaking+bar-4),brush,0.5,bar-4,2
00:31:22,(Sensemaking+bar-4),brush,0.5,bar-4,2
00:31:23,(Sensemaking+bar-4),brush,0.5,bar-4,2
00:31:24,(Sensemaking+bar-4),brush,0.5,bar-4,2
00:31:27,(Sensemaking+bar-4),brush,0.5,bar-4,2
00:31:28,(Sensemaking+bar-4),brush,0.5,bar-4,2
00:31:29,(Sensemaking+bar-4),brush,0.5,bar-4,2
00:31:30,(Sensemaking+bar-4),brush,0.5,bar-4,2
00:31:31,(Sensemaking+bar-4),brush,0.5,bar-4,2
00:35:18,(Sensemaking+scatterplot-0-1),pan,0.0,scatterplot-0-1,2
00:35:19,(Question+scatterplot-0-1),pan,0.0,scatterplot-0-1,2
