['p5', '00:03:39', 'repaintFg', 'log scale', 'false', 'Sensemaking']
['p5', '00:04:46', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:04:46', 'pan', 'geo-0-1', '0', '1', 'Sensemaking']
['p5', '00:04:46', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p5', '00:04:46', 'pan', 'geo-0-1', '3', '-1', 'Sensemaking']
['p5', '00:04:46', 'pan', 'geo-0-1', '6', '-1', 'Sensemaking']
['p5', '00:04:46', 'pan', 'geo-0-1', '12', '-1', 'Sensemaking']
['p5', '00:04:46', 'pan', 'geo-0-1', '4', '-1', 'Sensemaking']
['p5', '00:04:46', 'pan', 'geo-0-1', '3', '0', 'Sensemaking']
['p5', '00:04:47', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p5', '00:04:47', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p5', '00:04:47', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:04:47', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p5', '00:04:47', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:04:47', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p5', '00:04:47', 'pan', 'geo-0-1', '2', '1', 'Sensemaking']
['p5', '00:04:47', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p5', '00:04:47', 'pan', 'geo-0-1', '4', '0', 'Sensemaking']
['p5', '00:04:47', 'pan', 'geo-0-1', '4', '-1', 'Sensemaking']
['p5', '00:04:47', 'pan', 'geo-0-1', '3', '0', 'Sensemaking']
['p5', '00:04:47', 'pan', 'geo-0-1', '4', '-1', 'Sensemaking']
['p5', '00:04:47', 'pan', 'geo-0-1', '3', '0', 'Sensemaking']
['p5', '00:04:47', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:04:49', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p5', '00:04:49', 'pan', 'geo-0-1', '-509', '0', 'Sensemaking']
['p5', '00:04:49', 'pan', 'geo-0-1', '4', '0', 'Sensemaking']
['p5', '00:04:49', 'pan', 'geo-0-1', '3', '0', 'Sensemaking']
['p5', '00:04:49', 'pan', 'geo-0-1', '6', '-1', 'Sensemaking']
['p5', '00:04:49', 'pan', 'geo-0-1', '3', '0', 'Sensemaking']
['p5', '00:04:49', 'pan', 'geo-0-1', '3', '-1', 'Sensemaking']
['p5', '00:04:49', 'pan', 'geo-0-1', '3', '0', 'Sensemaking']
['p5', '00:04:49', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p5', '00:04:49', 'pan', 'geo-0-1', '2', '-1', 'Sensemaking']
['p5', '00:04:49', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p5', '00:04:49', 'pan', 'geo-0-1', '0', '1', 'Sensemaking']
['p5', '00:04:49', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:04:50', 'pan', 'geo-0-1', '7', '0', 'Sensemaking']
['p5', '00:04:50', 'pan', 'geo-0-1', '5', '0', 'Sensemaking']
['p5', '00:04:50', 'pan', 'geo-0-1', '4', '0', 'Sensemaking']
['p5', '00:04:50', 'pan', 'geo-0-1', '5', '0', 'Sensemaking']
['p5', '00:04:50', 'pan', 'geo-0-1', '4', '0', 'Sensemaking']
['p5', '00:04:50', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p5', '00:04:50', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p5', '00:04:51', 'pan', 'geo-0-1', '1', '1', 'Sensemaking']
['p5', '00:04:51', 'pan', 'geo-0-1', '5', '3', 'Sensemaking']
['p5', '00:04:51', 'pan', 'geo-0-1', '3', '1', 'Sensemaking']
['p5', '00:04:51', 'pan', 'geo-0-1', '2', '1', 'Sensemaking']
['p5', '00:04:51', 'pan', 'geo-0-1', '4', '3', 'Sensemaking']
['p5', '00:04:51', 'pan', 'geo-0-1', '4', '2', 'Sensemaking']
['p5', '00:04:51', 'pan', 'geo-0-1', '11', '4', 'Sensemaking']
['p5', '00:04:51', 'pan', 'geo-0-1', '4', '1', 'Sensemaking']
['p5', '00:04:51', 'pan', 'geo-0-1', '7', '3', 'Sensemaking']
['p5', '00:04:51', 'pan', 'geo-0-1', '8', '-1', 'Sensemaking']
['p5', '00:04:51', 'pan', 'geo-0-1', '4', '-1', 'Sensemaking']
['p5', '00:04:51', 'pan', 'geo-0-1', '3', '-1', 'Sensemaking']
['p5', '00:04:51', 'pan', 'geo-0-1', '2', '-2', 'Sensemaking']
['p5', '00:04:51', 'pan', 'geo-0-1', '2', '-1', 'Sensemaking']
['p5', '00:04:51', 'pan', 'geo-0-1', '4', '-2', 'Sensemaking']
['p5', '00:04:51', 'pan', 'geo-0-1', '5', '-2', 'Sensemaking']
['p5', '00:04:51', 'pan', 'geo-0-1', '22', '0', 'Sensemaking']
['p5', '00:04:51', 'pan', 'geo-0-1', '5', '0', 'Sensemaking']
['p5', '00:04:52', 'pan', 'geo-0-1', '7', '0', 'Sensemaking']
['p5', '00:04:52', 'pan', 'geo-0-1', '12', '0', 'Sensemaking']
['p5', '00:04:52', 'pan', 'geo-0-1', '7', '0', 'Sensemaking']
['p5', '00:04:52', 'pan', 'geo-0-1', '11', '0', 'Sensemaking']
['p5', '00:04:52', 'pan', 'geo-0-1', '3', '0', 'Sensemaking']
['p5', '00:04:52', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p5', '00:04:52', 'pan', 'geo-0-1', '7', '0', 'Sensemaking']
['p5', '00:04:52', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p5', '00:04:52', 'pan', 'geo-0-1', '5', '0', 'Sensemaking']
['p5', '00:04:52', 'pan', 'geo-0-1', '5', '3', 'Sensemaking']
['p5', '00:04:52', 'pan', 'geo-0-1', '8', '4', 'Sensemaking']
['p5', '00:04:52', 'pan', 'geo-0-1', '1', '1', 'Sensemaking']
['p5', '00:04:52', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p5', '00:04:53', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:04:53', 'pan', 'geo-0-1', '0', '2', 'Sensemaking']
['p5', '00:04:53', 'pan', 'geo-0-1', '0', '3', 'Sensemaking']
['p5', '00:04:53', 'pan', 'geo-0-1', '0', '2', 'Sensemaking']
['p5', '00:04:53', 'pan', 'geo-0-1', '0', '4', 'Sensemaking']
['p5', '00:04:53', 'pan', 'geo-0-1', '0', '2', 'Sensemaking']
['p5', '00:04:53', 'pan', 'geo-0-1', '0', '3', 'Sensemaking']
['p5', '00:04:53', 'pan', 'geo-0-1', '0', '1', 'Sensemaking']
['p5', '00:04:53', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:04:53', 'pan', 'geo-0-1', '0', '1', 'Sensemaking']
['p5', '00:04:53', 'pan', 'geo-0-1', '-3', '1', 'Sensemaking']
['p5', '00:04:53', 'pan', 'geo-0-1', '-2', '1', 'Sensemaking']
['p5', '00:04:53', 'pan', 'geo-0-1', '-3', '1', 'Sensemaking']
['p5', '00:04:54', 'pan', 'geo-0-1', '-1', '-1', 'Sensemaking']
['p5', '00:04:54', 'pan', 'geo-0-1', '0', '-1', 'Sensemaking']
['p5', '00:04:54', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:04:54', 'pan', 'geo-0-1', '1', '-1', 'Sensemaking']
['p5', '00:04:54', 'pan', 'geo-0-1', '1', '-2', 'Sensemaking']
['p5', '00:04:54', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:04:54', 'pan', 'geo-0-1', '0', '-1', 'Sensemaking']
['p5', '00:04:55', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:04:58', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p5', '00:04:58', 'pan', 'geo-0-1', '3', '0', 'Sensemaking']
