Time,State,action,reward,visualization,subtask,raw_actions
00:27:47,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:27:47,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:27:47,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:27:47,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:27:47,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:27:47,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:27:47,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:27:47,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:27:47,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:27:47,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:27:47,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:27:48,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:27:48,(Sensemaking+undefined),observation,0.25,undefined,2,clear
00:27:49,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:27:50,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:27:50,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:27:50,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:27:50,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:27:50,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:27:50,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:27:50,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:27:50,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:27:50,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:27:51,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:27:51,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:27:51,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:27:51,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:27:52,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:27:52,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:27:52,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:27:52,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:27:53,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:27:53,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:27:54,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:27:56,(Question+bar-2),steer,0.0,bar-2,2,brush
00:27:56,(Question+bar-2),steer,0.0,bar-2,2,brush
00:27:56,(Question+bar-2),steer,0.0,bar-2,2,brush
00:27:56,(Question+bar-2),steer,0.0,bar-2,2,brush
00:27:56,(Question+bar-2),steer,0.0,bar-2,2,brush
00:27:56,(Question+bar-2),steer,0.0,bar-2,2,brush
00:27:56,(Question+bar-2),steer,0.0,bar-2,2,brush
00:27:57,(Question+bar-2),steer,0.0,bar-2,2,brush
00:27:57,(Question+bar-2),steer,0.0,bar-2,2,brush
00:27:57,(Question+bar-2),steer,0.0,bar-2,2,brush
00:27:57,(Question+bar-2),steer,0.0,bar-2,2,brush
00:27:58,(Question+bar-2),steer,0.0,bar-2,2,brush
00:27:58,(Question+bar-2),steer,0.0,bar-2,2,brush
00:27:58,(Question+bar-2),steer,0.0,bar-2,2,brush
00:27:58,(Question+bar-2),steer,0.0,bar-2,2,brush
00:27:58,(Question+bar-2),steer,0.0,bar-2,2,brush
00:27:58,(Question+bar-2),steer,0.0,bar-2,2,brush
00:27:59,(Question+bar-2),steer,0.0,bar-2,2,brush
00:27:59,(Question+bar-2),steer,0.0,bar-2,2,brush
00:27:59,(Question+bar-2),steer,0.0,bar-2,2,brush
00:28:00,(Question+bar-2),steer,0.0,bar-2,2,brush
00:28:00,(Question+undefined),steer,0.0,undefined,2,clear
00:28:00,(Question+bar-2),steer,0.0,bar-2,2,brush
00:28:02,(Question+bar-2),steer,0.0,bar-2,2,brush
00:28:02,(Question+bar-2),steer,0.0,bar-2,2,brush
00:28:02,(Question+bar-2),steer,0.0,bar-2,2,brush
00:28:03,(Question+bar-2),steer,0.0,bar-2,2,brush
00:28:03,(Question+bar-2),steer,0.0,bar-2,2,brush
00:28:03,(Question+bar-2),steer,0.0,bar-2,2,brush
00:28:03,(Question+bar-2),steer,0.0,bar-2,2,brush
00:28:03,(Question+bar-2),steer,0.0,bar-2,2,brush
00:28:03,(Question+bar-2),steer,0.0,bar-2,2,brush
00:28:03,(Question+bar-2),steer,0.0,bar-2,2,brush
00:28:03,(Question+bar-2),steer,0.0,bar-2,2,brush
00:28:03,(Question+bar-2),steer,0.0,bar-2,2,brush
00:28:04,(Question+bar-2),steer,0.0,bar-2,2,brush
00:28:04,(Question+bar-2),steer,0.0,bar-2,2,brush
00:28:04,(Question+bar-2),steer,0.0,bar-2,2,brush
00:28:04,(Question+bar-2),steer,0.0,bar-2,2,brush
00:28:04,(Question+bar-2),steer,0.0,bar-2,2,brush
00:28:04,(Question+bar-2),steer,0.0,bar-2,2,brush
00:28:04,(Question+bar-2),steer,0.0,bar-2,2,brush
00:28:04,(Question+bar-2),steer,0.0,bar-2,2,brush
00:28:04,(Question+bar-2),steer,0.0,bar-2,2,brush
00:28:04,(Question+bar-2),steer,0.0,bar-2,2,brush
00:28:04,(Question+bar-2),steer,0.0,bar-2,2,brush
00:28:04,(Question+bar-2),steer,0.0,bar-2,2,brush
00:28:04,(Question+bar-2),steer,0.0,bar-2,2,brush
00:28:05,(Question+bar-2),steer,0.0,bar-2,2,brush
00:28:05,(Question+bar-2),steer,0.0,bar-2,2,brush
00:28:05,(Question+bar-2),steer,0.0,bar-2,2,brush
00:28:05,(Question+bar-2),steer,0.0,bar-2,2,brush
00:28:05,(Question+bar-2),steer,0.0,bar-2,2,brush
00:28:05,(Question+bar-2),steer,0.0,bar-2,2,brush
00:28:05,(Question+bar-2),steer,0.0,bar-2,2,brush
00:28:05,(Question+bar-2),steer,0.0,bar-2,2,brush
00:28:06,(Question+bar-2),steer,0.0,bar-2,2,brush
00:28:06,(Question+bar-2),steer,0.0,bar-2,2,brush
00:28:06,(Question+bar-2),steer,0.0,bar-2,2,brush
00:28:06,(Question+bar-2),steer,0.0,bar-2,2,brush
00:28:06,(Question+bar-2),steer,0.0,bar-2,2,brush
00:28:06,(Question+bar-2),steer,0.0,bar-2,2,brush
00:28:06,(Question+bar-2),steer,0.0,bar-2,2,brush
