['p12', '00:43:51', 'repaintFg', 'log scale', 'false', 'Sensemaking']
['p12', '00:44:08', 'pan', 'geo-0-1', '-9', '0', 'Sensemaking']
['p12', '00:44:08', 'pan', 'geo-0-1', '-14', '0', 'Sensemaking']
['p12', '00:44:08', 'pan', 'geo-0-1', '-22', '-1', 'Sensemaking']
['p12', '00:44:08', 'pan', 'geo-0-1', '-31', '0', 'Sensemaking']
['p12', '00:44:08', 'pan', 'geo-0-1', '-27', '0', 'Sensemaking']
['p12', '00:44:08', 'pan', 'geo-0-1', '-15', '0', 'Sensemaking']
['p12', '00:44:08', 'pan', 'geo-0-1', '-11', '0', 'Sensemaking']
['p12', '00:44:08', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p12', '00:44:08', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p12', '00:44:08', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p12', '00:44:08', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p12', '00:44:08', 'pan', 'geo-0-1', '0', '-1', 'Sensemaking']
['p12', '00:44:08', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p12', '00:44:08', 'pan', 'geo-0-1', '5', '0', 'Sensemaking']
['p12', '00:44:08', 'pan', 'geo-0-1', '5', '-1', 'Sensemaking']
['p12', '00:44:08', 'pan', 'geo-0-1', '14', '0', 'Sensemaking']
['p12', '00:44:08', 'pan', 'geo-0-1', '11', '0', 'Sensemaking']
['p12', '00:44:08', 'pan', 'geo-0-1', '7', '1', 'Sensemaking']
['p12', '00:44:08', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p12', '00:44:09', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p12', '00:44:10', 'range select', 'bar-5', '5-14-14-1_', 'Sensemaking']
['p12', '00:44:12', 'range select', 'bar-5', '5-12-12-1_', 'Sensemaking']
['p12', '00:44:13', 'range select', 'bar-5', '5-11-11-1_', 'Sensemaking']
['p12', '00:44:14', 'range select', 'bar-5', '5-20-20-1_', 'Sensemaking']
['p12', '00:44:16', 'range select', 'bar-5', '5-18-18-1_', 'Sensemaking']
