['p4', '00:32:34', 'range select', 'geo-0-1', '0-11233-11245-9_1-26143-26158-9_', 'Question / Hypothesis']
['p4', '00:32:34', 'range select', 'geo-0-1', '0-11233-11247-9_1-26143-26160-9_', 'Question / Hypothesis']
['p4', '00:32:35', 'range select', 'geo-0-1', '0-11227-11228-9_1-26150-26150-9_', 'Question / Hypothesis']
['p4', '00:32:35', 'range select', 'geo-0-1', '0-11227-11228-9_1-26150-26151-9_', 'Question / Hypothesis']
['p4', '00:32:35', 'range select', 'geo-0-1', '0-11227-11230-9_1-26150-26153-9_', 'Question / Hypothesis']
['p4', '00:32:35', 'range select', 'geo-0-1', '0-11227-11232-9_1-26150-26155-9_', 'Question / Hypothesis']
['p4', '00:32:35', 'range select', 'geo-0-1', '0-11227-11236-9_1-26150-26157-9_', 'Question / Hypothesis']
['p4', '00:32:35', 'range select', 'geo-0-1', '0-11227-11241-9_1-26150-26160-9_', 'Question / Hypothesis']
['p4', '00:32:35', 'range select', 'geo-0-1', '0-11227-11250-9_1-26150-26164-9_', 'Question / Hypothesis']
['p4', '00:32:36', 'range select', 'geo-0-1', '0-11225-11225-9_1-26159-26160-9_', 'Question / Hypothesis']
['p4', '00:32:36', 'range select', 'geo-0-1', '0-11225-11229-9_1-26159-26162-9_', 'Question / Hypothesis']
['p4', '00:32:36', 'range select', 'geo-0-1', '0-11225-11232-9_1-26159-26165-9_', 'Question / Hypothesis']
['p4', '00:32:36', 'range select', 'geo-0-1', '0-11225-11235-9_1-26159-26168-9_', 'Question / Hypothesis']
['p4', '00:32:36', 'range select', 'geo-0-1', '0-11225-11237-9_1-26159-26170-9_', 'Question / Hypothesis']
['p4', '00:32:36', 'range select', 'geo-0-1', '0-11225-11240-9_1-26159-26172-9_', 'Question / Hypothesis']
['p4', '00:32:36', 'range select', 'geo-0-1', '0-11225-11241-9_1-26159-26173-9_', 'Question / Hypothesis']
['p4', '00:32:37', 'range select', 'geo-0-1', '0-11228-11229-9_1-26156-26157-9_', 'Question / Hypothesis']
['p4', '00:32:37', 'range select', 'geo-0-1', '0-11228-11232-9_1-26157-26158-9_', 'Question / Hypothesis']
['p4', '00:32:37', 'range select', 'geo-0-1', '0-11228-11234-9_1-26157-26160-9_', 'Question / Hypothesis']
['p4', '00:32:37', 'range select', 'geo-0-1', '0-11228-11237-9_1-26157-26163-9_', 'Question / Hypothesis']
['p4', '00:32:37', 'range select', 'geo-0-1', '0-11228-11241-9_1-26157-26165-9_', 'Question / Hypothesis']
['p4', '00:32:37', 'range select', 'geo-0-1', '0-11228-11245-9_1-26157-26168-9_', 'Question / Hypothesis']
['p4', '00:32:37', 'range select', 'geo-0-1', '0-11227-11227-9_1-26166-26166-9_', 'Question / Hypothesis']
['p4', '00:32:37', 'range select', 'geo-0-1', '0-11227-11229-9_1-26166-26167-9_', 'Question / Hypothesis']
['p4', '00:32:37', 'range select', 'geo-0-1', '0-11227-11231-9_1-26166-26169-9_', 'Question / Hypothesis']
['p4', '00:32:37', 'range select', 'geo-0-1', '0-11227-11234-9_1-26166-26171-9_', 'Question / Hypothesis']
['p4', '00:32:37', 'range select', 'geo-0-1', '0-11227-11238-9_1-26166-26174-9_', 'Question / Hypothesis']
['p4', '00:32:37', 'range select', 'geo-0-1', '0-11227-11241-9_1-26166-26176-9_', 'Question / Hypothesis']
['p4', '00:32:37', 'range select', 'geo-0-1', '0-11227-11242-9_1-26166-26176-9_', 'Question / Hypothesis']
['p4', '00:32:37', 'range select', 'geo-0-1', '0-11227-11243-9_1-26166-26176-9_', 'Question / Hypothesis']
['p4', '00:32:38', 'range select', 'geo-0-1', '0-11228-11229-9_1-26161-26161-9_', 'Question / Hypothesis']
['p4', '00:32:38', 'range select', 'geo-0-1', '0-11228-11230-9_1-26161-26162-9_', 'Question / Hypothesis']
['p4', '00:32:38', 'range select', 'geo-0-1', '0-11228-11233-9_1-26161-26163-9_', 'Question / Hypothesis']
['p4', '00:32:38', 'range select', 'geo-0-1', '0-11228-11236-9_1-26161-26166-9_', 'Question / Hypothesis']
['p4', '00:32:38', 'range select', 'geo-0-1', '0-11228-11241-9_1-26161-26168-9_', 'Question / Hypothesis']
['p4', '00:32:38', 'range select', 'geo-0-1', '0-11228-11246-9_1-26161-26172-9_', 'Question / Hypothesis']
